,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160
v1,0,43,32,48,30,62,18,51,21,20,18,18,30,20,36,10,36,21,17,9,48,34,8,27,19,13,27,40,6,16,18,31,10,49,38,6,22,34,23,34,50,29,48,28,28,10,24,36,13,24,20,42,56,22,32,32,46,7,48,35,28,11,33,25,27,11,25,30,42,23,9,25,23,35,23,42,24,19,14,41,21,7,37,15,6,24,7,25,15,18,38,18,41,31,30,36,58,38,42,28,24,9,26,47,54,33,51,28,40,21,17,30,31,20,32,42,32,6,29,31,49,49,40,35,16,5,40,32,22,43,39,22,10,8,30,33,22,8,30,44,36,22,21,29,25,36,43,55,38,30,45,24,25,26,5,22,34,40,34,30
v2,43,0,11,9,45,21,57,28,64,23,43,27,33,23,19,45,13,30,60,34,25,45,51,70,24,36,24,39,37,39,39,22,33,20,61,37,65,19,42,9,25,14,15,71,51,49,45,15,30,49,45,33,27,45,39,55,27,38,11,30,51,54,56,28,34,36,48,25,35,22,34,18,24,8,46,19,41,62,29,2,44,46,28,28,37,19,50,48,28,53,29,61,14,44,47,7,15,33,35,23,27,34,17,36,23,22,16,71,25,64,60,17,54,25,43,37,33,47,52,38,6,8,5,8,47,48,41,21,65,38,4,45,53,39,13,10,45,47,27,33,25,65,38,14,68,27,40,12,61,29,32,19,38,33,40,51,35,35,31,35
v3,32,11,0,16,44,30,46,29,53,18,40,26,32,12,18,34,12,19,49,27,26,44,40,59,15,35,13,28,26,38,28,21,28,19,60,26,54,18,31,2,24,9,16,60,50,38,34,14,19,38,42,22,26,44,28,54,26,29,16,19,50,43,55,27,23,25,47,24,24,21,23,11,13,5,45,20,30,51,18,9,43,35,27,17,26,8,39,47,19,42,18,50,13,43,36,4,26,32,34,22,26,23,6,35,22,11,19,60,24,53,49,16,53,24,42,26,32,36,51,27,17,17,8,3,38,37,30,10,54,27,7,44,42,30,6,3,34,36,16,22,24,54,27,7,57,16,39,23,60,28,31,8,27,22,29,40,24,34,20,34
v4,48,9,16,0,36,14,62,37,69,28,48,30,24,28,12,50,12,35,65,39,34,36,56,75,29,35,29,44,42,34,44,17,38,11,52,42,70,14,47,14,16,19,6,76,42,54,50,22,35,54,50,38,18,36,44,46,18,43,2,35,42,59,47,23,39,41,45,18,40,25,39,23,29,13,37,28,46,67,34,9,35,51,19,33,42,24,55,39,33,58,34,66,7,35,52,12,10,24,26,20,24,39,22,27,14,27,7,76,16,69,65,18,45,28,34,42,24,52,43,43,3,1,14,13,52,53,46,26,70,43,9,48,58,44,18,15,50,52,32,38,16,70,43,19,73,32,31,7,52,20,23,24,43,38,45,56,40,26,36,26
v5,30,45,44,36,0,32,44,73,51,26,30,18,12,34,26,32,32,43,47,21,70,4,38,57,29,17,49,62,24,16,40,23,20,25,16,24,52,26,45,42,20,35,30,58,20,36,46,58,31,46,32,64,26,12,54,16,18,25,34,57,14,41,11,17,49,33,27,20,64,23,29,33,45,49,17,64,46,49,26,45,11,33,17,35,24,42,37,5,25,40,60,48,31,1,52,44,34,12,12,22,18,23,46,17,24,55,29,58,20,51,47,28,9,20,2,64,12,34,7,53,39,37,50,45,34,35,62,54,52,65,41,30,40,26,50,41,44,34,52,66,20,52,43,37,55,58,13,33,16,16,15,46,47,48,27,44,56,10,56,10
v6,62,21,30,14,32,0,76,49,83,42,62,44,32,42,26,64,26,49,79,53,46,28,70,89,43,49,43,58,56,48,58,31,52,13,44,56,84,28,61,28,12,33,14,90,52,68,64,34,49,68,64,52,6,44,58,48,16,57,14,49,46,73,41,37,53,55,59,32,54,39,53,37,43,27,49,40,60,81,48,21,43,65,25,47,56,38,69,37,47,72,48,80,21,31,66,26,10,24,20,34,38,53,36,15,8,41,11,90,22,83,79,32,41,42,30,56,30,66,35,57,15,13,26,27,66,67,60,40,84,57,23,62,72,58,32,29,64,66,46,52,26,84,57,33,87,46,19,9,40,32,17,38,57,52,59,70,54,22,50,32
v7,18,57,46,62,44,76,0,33,23,34,36,32,44,34,50,28,50,27,13,23,32,48,20,13,33,31,33,22,20,34,18,45,24,63,56,20,8,48,15,48,64,43,62,14,46,28,12,42,27,8,38,24,70,40,18,50,60,25,62,27,46,23,51,39,23,21,43,44,24,37,23,39,33,49,41,44,16,25,28,55,39,25,51,29,20,38,17,43,29,4,28,8,55,45,12,50,72,52,56,42,38,23,40,61,68,35,65,16,54,7,9,44,49,34,46,24,46,24,47,19,63,63,54,49,34,13,22,36,8,25,53,40,16,26,44,47,12,10,30,26,50,10,19,43,11,30,57,69,56,44,59,38,19,24,17,6,22,54,26,44
v8,51,28,29,37,73,49,33,0,56,47,69,55,61,39,47,61,41,30,46,56,3,73,53,46,44,64,24,15,53,67,33,50,57,48,89,49,41,47,28,31,53,38,43,47,79,61,27,15,42,27,71,9,55,73,19,83,55,58,39,16,79,56,84,56,24,40,76,53,11,50,44,40,28,24,74,11,27,58,47,28,72,58,56,38,51,31,50,76,48,33,13,41,42,72,23,29,39,61,63,51,55,50,27,64,51,18,44,49,53,40,42,45,82,53,71,13,61,57,80,20,34,36,23,28,67,46,17,19,41,14,32,73,49,59,23,32,29,43,21,9,53,43,30,36,44,15,68,40,89,57,60,27,26,25,46,29,17,63,17,63
v9,21,64,53,69,51,83,23,56,0,41,21,39,51,41,57,19,57,34,10,30,53,55,13,12,40,34,40,45,27,35,25,52,31,70,39,27,21,55,28,55,71,50,69,15,31,15,29,49,34,29,19,47,77,39,37,35,67,26,69,40,37,10,42,46,32,28,24,51,47,44,30,46,40,56,34,51,29,2,35,62,40,18,58,36,27,45,14,46,36,23,43,15,62,52,35,57,79,59,63,49,45,30,47,68,75,42,72,7,61,22,14,51,42,41,53,47,53,17,48,36,70,70,61,56,17,16,45,43,17,48,60,21,11,25,51,54,27,17,37,49,57,13,26,50,12,41,64,76,43,51,66,45,30,31,24,27,39,61,39,51
v10,20,23,18,28,26,42,34,47,41,0,22,8,14,8,16,22,16,17,37,11,44,26,28,47,3,17,23,36,14,20,16,11,10,29,42,14,42,14,19,16,30,9,28,48,32,26,22,32,7,26,24,38,36,26,28,36,26,15,28,31,32,31,37,9,23,13,29,10,38,3,11,7,19,23,27,38,20,39,6,21,25,23,17,9,14,16,27,29,5,30,34,38,21,25,26,18,38,18,22,8,8,11,20,27,34,29,31,48,20,41,37,10,35,6,24,38,14,24,33,27,29,29,24,19,24,25,36,28,42,39,19,26,30,16,24,15,22,24,26,40,16,42,17,11,45,32,23,35,42,10,25,20,21,22,17,28,30,20,30,16
v11,18,43,40,48,30,62,36,69,21,22,0,18,30,30,36,8,36,39,23,13,66,34,16,27,25,13,45,58,16,14,36,31,12,49,20,20,34,34,41,38,50,31,48,28,10,8,42,54,27,42,2,60,56,18,50,14,46,11,48,53,16,13,21,25,45,29,7,30,60,23,25,29,41,45,13,60,42,19,22,41,19,11,37,31,18,38,19,25,21,36,56,28,41,31,48,40,58,38,42,28,24,19,42,47,54,51,51,28,40,35,27,30,21,20,32,60,32,12,27,49,49,49,46,41,4,23,58,50,30,61,39,4,20,10,46,37,40,26,48,62,36,26,39,33,25,54,43,55,22,30,45,42,43,44,23,40,52,40,52,30
v12,18,27,26,30,18,44,32,55,39,8,18,0,12,16,18,20,18,25,35,9,52,18,26,45,11,9,31,44,12,12,22,13,8,31,34,12,40,16,27,24,32,17,30,46,24,24,28,40,13,28,20,46,38,18,36,28,28,13,30,39,24,29,29,7,31,15,21,12,46,5,11,15,27,31,19,46,28,37,8,27,17,21,19,17,12,24,25,21,7,28,42,36,23,17,34,26,40,20,24,10,6,9,28,29,36,37,33,46,22,39,35,12,27,2,16,46,14,22,25,35,31,31,32,27,22,23,44,36,40,47,23,18,28,14,32,23,26,22,34,48,18,40,25,19,43,40,25,37,34,12,27,28,29,30,15,26,38,22,38,12
v13,30,33,32,24,12,32,44,61,51,14,30,12,0,22,14,32,20,31,47,21,58,12,38,57,17,17,37,50,24,16,28,11,20,19,28,24,52,14,33,30,20,23,18,58,20,36,34,46,19,36,32,52,26,12,42,22,16,25,22,45,18,41,23,5,37,23,27,8,52,11,21,21,33,37,17,52,34,49,16,33,11,33,7,23,24,30,37,15,15,40,48,48,19,11,40,32,28,8,12,10,6,21,34,17,24,43,21,58,10,51,47,16,21,10,10,52,2,34,19,41,27,25,38,33,34,35,50,42,52,53,29,30,40,26,38,29,32,34,40,54,8,52,31,25,55,46,13,25,28,4,15,34,35,36,27,38,44,10,44,2
v14,20,23,12,28,34,42,34,39,41,8,30,16,22,0,16,22,16,9,37,17,36,34,28,47,5,25,15,28,14,28,16,11,18,29,50,14,42,14,19,14,30,9,28,48,40,26,22,24,7,26,32,30,36,34,20,44,26,19,28,23,40,31,45,17,15,13,37,14,30,11,11,5,11,15,35,30,18,39,8,21,33,23,17,5,14,8,27,37,9,30,26,38,21,33,24,16,38,22,24,12,16,11,12,27,34,21,31,48,20,41,37,10,43,14,32,30,22,24,41,19,29,29,20,15,28,25,28,20,42,31,19,34,30,20,16,13,22,24,18,32,16,42,15,9,45,24,29,35,50,18,25,12,15,14,17,28,22,24,22,24
v15,36,19,18,12,26,26,50,47,57,16,36,18,14,16,0,38,6,23,53,27,44,26,44,63,17,23,23,36,30,22,32,5,26,13,42,30,58,2,35,16,14,9,12,64,32,42,38,32,23,42,38,38,20,26,32,36,10,31,12,31,32,47,37,11,27,29,33,6,38,13,27,11,19,23,27,38,34,55,22,19,25,39,9,21,30,16,43,29,21,46,34,54,5,25,40,18,22,14,16,8,12,27,20,17,18,29,15,64,6,57,53,6,35,16,24,38,14,40,33,31,13,13,24,19,40,41,36,28,58,39,15,36,46,32,24,15,38,40,26,40,6,58,31,11,61,32,21,19,42,10,13,20,31,26,33,44,30,16,30,16
v16,10,45,34,50,32,64,28,61,19,22,8,20,32,22,38,0,38,31,15,11,58,36,8,25,21,15,37,50,8,16,28,33,12,51,28,12,26,36,33,36,52,31,50,26,18,4,34,46,19,34,10,52,58,20,42,22,48,7,50,45,18,9,23,27,37,21,15,32,52,25,17,27,33,37,15,52,34,17,16,43,21,3,39,23,10,30,11,27,17,28,48,20,43,33,40,38,60,40,44,30,26,11,34,49,56,43,53,26,42,27,19,32,23,22,34,52,34,4,29,41,51,51,42,37,6,15,50,42,22,53,41,12,12,6,38,35,32,18,40,54,38,20,31,31,23,46,45,57,28,32,47,34,35,36,15,32,44,42,44,32
v17,36,13,12,12,32,26,50,41,57,16,36,18,20,16,6,38,0,23,53,27,38,32,44,63,17,23,17,32,30,26,32,9,26,13,48,30,58,6,35,10,14,7,12,64,38,42,38,26,23,42,38,32,20,32,32,42,14,31,12,25,38,47,43,15,27,29,35,12,32,13,27,11,17,17,33,32,34,55,22,13,31,39,15,21,30,12,43,35,21,46,28,54,5,31,40,12,22,20,22,10,14,27,14,23,18,23,15,64,12,57,53,6,41,16,30,32,20,40,39,31,13,13,18,13,40,41,34,22,58,33,9,36,46,32,18,9,38,40,20,34,12,58,31,7,61,26,27,19,48,16,19,14,31,26,33,44,28,22,24,22
v18,21,30,19,35,43,49,27,30,34,17,39,25,31,9,23,31,23,0,30,26,27,43,23,40,14,34,6,19,23,37,9,20,27,36,59,19,35,21,12,21,37,16,35,41,49,31,15,15,12,19,41,21,43,43,11,53,33,28,35,14,49,26,54,26,6,10,46,23,21,20,14,12,6,22,44,21,11,32,17,28,42,28,26,8,21,11,20,46,18,23,17,31,28,42,17,23,45,31,33,21,25,20,13,34,41,12,38,41,27,34,30,17,52,23,41,21,31,27,50,10,36,36,27,22,37,18,19,11,35,22,26,43,23,29,17,20,15,17,9,23,23,35,8,16,38,15,38,42,59,27,32,11,8,5,16,21,13,33,13,33
