,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160
v1,0,38,8,43,24,28,29,20,20,15,40,23,23,37,30,28,38,48,31,41,9,36,37,33,11,11,23,24,1,22,30,40,38,5,35,21,26,25,33,37,19,25,9,11,25,24,8,24,32,26,28,30,24,27,21,34,14,25,15,28,38,10,20,28,17,25,17,28,35,9,12,30,47,41,36,12,47,44,31,33,24,27,19,36,31,36,25,20,37,18,14,15,37,45,27,30,5,24,38,20,15,23,29,18,42,23,25,31,30,18,37,32,19,30,4,43,34,8,10,26,38,20,14,38,12,23,8,22,37,24,27,13,33,53,18,38,33,48,29,35,38,27,29,29,13,31,26,19,25,23,37,16,30,36,17,14,19,21,19,20
v2,38,0,46,5,30,30,67,58,58,45,6,59,23,39,28,14,50,10,35,39,47,74,45,5,37,49,61,20,37,16,52,78,54,41,15,17,24,63,31,15,37,37,29,27,63,62,42,14,70,46,26,28,56,47,19,72,48,13,39,58,76,48,58,66,29,23,21,48,33,29,40,56,45,3,74,26,85,48,69,9,36,25,25,34,19,6,47,18,75,52,24,23,35,7,29,10,39,14,40,58,53,21,21,56,40,25,63,69,68,32,35,12,57,40,34,41,10,30,46,56,76,18,46,76,50,47,38,46,49,62,11,31,55,51,44,36,59,86,27,37,76,53,63,15,45,7,44,57,43,47,75,36,68,74,41,26,19,41,19,18
v3,8,46,0,51,26,30,21,12,12,13,48,25,23,39,28,36,36,56,33,39,5,28,39,41,9,3,17,32,9,30,32,32,36,7,43,29,24,17,31,45,21,23,17,19,17,16,6,32,24,24,34,32,26,29,29,26,12,33,13,26,30,6,12,20,17,29,25,26,33,17,10,28,45,49,28,20,39,42,23,41,22,27,21,34,39,44,27,28,29,16,22,23,35,53,29,38,7,32,36,12,15,27,37,12,40,25,17,23,22,20,35,40,11,28,12,41,42,16,12,28,30,28,12,30,12,25,8,20,35,16,35,15,31,51,20,36,31,40,31,37,30,25,27,37,15,39,28,11,27,21,29,14,22,28,15,20,27,19,27,28
v4,43,5,51,0,35,33,72,63,63,50,3,64,28,44,31,15,55,5,40,36,52,79,50,10,42,54,66,19,42,21,57,83,59,46,12,22,29,68,34,12,42,42,34,32,68,67,47,19,75,51,23,25,61,52,22,77,53,18,44,63,81,53,63,71,34,22,26,53,30,34,45,61,42,2,79,31,90,53,74,10,41,24,30,31,16,9,52,23,80,57,29,28,36,2,34,13,44,19,45,63,58,24,18,61,37,28,68,74,73,37,32,11,62,45,39,42,13,35,51,61,81,23,51,81,55,52,43,51,54,67,16,36,60,48,49,33,64,91,24,40,81,58,68,18,50,12,49,62,48,52,80,41,73,79,46,31,24,46,24,23
v5,24,30,26,35,0,4,39,28,28,39,32,29,47,13,54,40,62,40,7,65,31,44,15,25,35,25,43,46,25,38,22,48,62,19,41,33,50,33,57,41,7,49,27,23,33,42,32,34,48,50,52,54,26,17,13,42,38,29,39,52,46,32,28,36,41,49,15,52,59,29,36,54,71,33,44,18,55,68,47,35,48,51,43,60,45,28,17,38,45,42,20,39,61,37,3,36,29,22,62,28,23,47,47,26,66,9,33,49,38,6,61,38,27,54,26,67,26,26,16,26,46,16,38,46,20,17,32,46,61,32,19,11,57,77,14,62,57,56,53,11,46,51,53,21,15,31,14,27,13,47,45,40,46,44,41,38,39,45,21,44
v6,28,30,30,33,4,0,43,32,32,43,36,33,51,13,58,44,66,36,9,69,35,48,19,27,39,29,47,50,29,42,26,52,66,23,45,37,54,37,61,45,11,53,31,27,37,46,36,38,52,54,56,58,30,21,11,46,42,33,43,56,50,36,32,40,45,53,19,56,63,33,40,58,75,31,48,22,59,72,51,39,52,55,47,64,49,24,21,42,49,46,24,43,65,35,3,40,33,26,66,32,27,51,51,30,70,5,37,53,42,10,65,42,31,58,30,71,22,30,20,30,50,20,42,50,24,21,36,50,65,36,23,15,61,81,18,66,61,60,57,7,50,55,57,17,19,35,18,31,17,51,49,44,50,48,45,42,43,49,25,48
v7,29,67,21,72,39,43,0,25,15,22,69,38,44,52,41,57,23,77,46,42,20,15,52,62,30,18,6,53,30,51,45,11,23,26,64,50,43,24,38,66,34,30,38,40,26,5,25,53,9,21,55,53,39,42,50,23,19,54,28,13,9,19,21,7,38,50,46,19,46,38,27,15,32,70,7,41,18,29,8,62,31,48,42,43,60,65,40,49,8,15,43,44,36,74,42,59,28,53,27,13,28,48,58,25,37,46,14,10,1,35,44,61,24,27,33,30,63,37,25,41,11,49,21,9,25,38,29,21,22,17,56,36,18,38,33,43,18,19,52,50,21,14,14,58,28,60,41,18,40,20,8,31,7,7,26,41,48,26,48,49
v8,20,58,12,63,28,32,25,0,10,25,60,13,35,27,40,48,48,68,23,51,17,16,27,53,21,11,29,44,21,42,20,20,48,17,55,41,36,5,43,57,21,35,29,31,5,28,18,44,34,36,46,44,14,17,41,14,24,45,25,38,28,18,4,18,29,41,37,38,45,29,22,40,57,61,22,32,27,54,33,53,34,39,33,46,51,56,15,40,17,28,34,35,47,65,29,50,19,44,48,12,5,39,49,2,52,37,11,35,24,26,47,52,1,40,24,53,54,28,12,16,18,40,24,20,8,13,20,32,47,8,47,27,43,63,14,48,43,28,43,27,18,37,39,49,13,51,16,7,15,33,27,26,32,20,27,32,39,31,39,40
v9,20,58,12,63,28,32,15,10,0,15,60,23,35,37,32,48,38,68,31,41,11,16,37,53,21,9,19,44,21,42,30,20,38,17,55,41,34,9,33,57,21,25,29,31,11,18,16,44,24,26,46,44,24,27,41,14,14,45,19,28,18,10,6,8,29,41,37,28,37,29,18,30,47,61,16,32,27,44,23,53,24,39,33,36,51,56,25,40,17,18,34,35,37,65,29,50,19,44,38,2,13,39,49,10,42,37,5,25,14,26,37,52,9,30,24,43,54,28,12,26,18,40,14,18,10,23,20,22,37,4,47,27,33,53,18,38,33,28,43,35,18,27,29,49,13,51,26,3,25,23,17,22,22,16,17,32,39,21,39,40
v10,15,45,13,50,39,43,22,25,15,0,47,38,22,52,19,35,23,55,46,26,8,29,52,40,8,14,16,31,14,29,45,33,23,20,42,28,21,24,18,44,34,10,16,18,26,17,7,31,25,11,33,31,39,42,32,27,3,32,6,13,31,7,21,21,16,28,24,13,24,16,5,15,32,48,29,21,40,29,24,40,9,26,20,21,38,43,40,27,30,7,21,22,22,52,42,37,10,31,23,13,28,26,36,25,27,38,18,24,23,33,22,39,24,15,13,28,41,15,25,41,31,27,1,31,25,38,7,7,22,17,34,28,18,38,33,23,18,41,30,50,31,12,18,36,28,38,41,18,40,8,30,9,23,29,4,19,26,6,26,27
v11,40,6,48,3,32,36,69,60,60,47,0,61,25,45,28,12,52,8,39,33,49,76,47,9,39,51,63,16,39,18,54,80,56,43,9,19,26,65,31,9,39,39,31,29,65,64,44,16,72,48,20,22,58,49,25,74,50,15,41,60,78,50,60,68,31,19,23,50,27,31,42,58,39,5,76,28,87,50,71,7,38,21,27,28,13,12,49,20,77,54,26,25,33,5,35,10,41,16,42,60,55,21,15,58,34,31,65,71,70,34,29,8,59,42,36,39,16,32,48,58,78,20,48,78,52,49,40,48,51,64,13,33,57,45,46,30,61,88,21,43,78,55,65,21,47,9,46,59,45,49,77,38,70,76,43,28,21,43,21,20
v12,23,59,25,64,29,33,38,13,23,38,61,0,46,20,53,49,61,69,24,64,30,23,14,54,34,24,42,45,24,43,7,27,61,18,56,42,49,14,56,58,22,48,30,32,12,41,31,45,47,49,51,53,3,12,42,15,37,46,38,51,41,31,17,31,40,48,38,51,58,30,35,53,70,62,35,33,28,67,46,54,47,50,42,59,52,57,12,41,30,41,35,38,60,66,30,51,28,45,61,25,10,46,50,13,65,38,24,48,37,27,60,53,14,53,25,66,55,29,13,3,27,41,37,33,13,12,31,45,60,21,48,28,56,76,15,61,56,29,52,28,17,50,52,50,14,52,15,20,16,46,40,39,45,33,40,37,40,44,40,43
v13,23,23,23,28,47,51,44,35,35,22,25,46,0,60,7,13,27,33,54,18,24,51,60,24,14,26,38,9,22,9,53,55,31,28,20,14,3,40,10,22,42,14,20,24,40,39,19,13,47,23,11,9,47,50,40,49,25,18,16,35,53,25,35,43,6,6,32,25,12,18,17,33,24,26,51,29,62,25,46,18,13,4,4,13,16,27,48,9,52,29,27,8,14,30,50,15,18,25,17,35,36,4,14,33,19,46,40,46,45,41,14,17,34,17,21,20,31,21,33,49,53,31,23,53,33,46,15,23,26,39,28,36,32,30,41,15,36,63,8,58,53,30,40,36,36,16,49,34,48,24,52,13,45,51,18,9,8,18,26,5
v14,37,39,39,44,13,13,52,27,37,52,45,20,60,0,67,53,75,49,6,78,44,37,6,36,48,38,56,59,38,51,13,41,75,32,54,46,63,28,70,54,18,62,40,36,26,55,45,47,61,63,65,67,17,10,22,33,51,42,52,65,55,45,31,45,54,62,28,65,72,42,49,67,84,42,49,31,46,81,60,48,61,64,56,73,58,37,12,51,44,55,33,52,74,46,10,49,42,35,75,39,24,60,60,27,79,18,38,62,51,19,74,51,28,67,39,80,35,39,27,17,41,29,51,47,27,14,45,59,74,35,32,24,70,90,19,75,70,47,66,8,37,64,66,30,24,44,11,34,12,60,54,53,59,47,54,51,52,58,34,57
v15,30,28,28,31,54,58,41,40,32,19,28,53,7,67,0,16,24,36,61,11,23,48,67,31,19,29,35,12,29,16,60,52,28,35,23,21,4,39,3,25,49,11,27,31,41,36,22,20,44,20,14,12,54,57,47,46,22,25,15,32,50,22,36,40,13,9,39,22,5,25,18,30,17,29,48,36,59,22,43,21,10,7,11,6,19,34,55,16,49,26,34,15,7,33,57,18,25,32,14,32,43,7,17,40,12,53,37,43,42,48,7,20,39,14,28,13,38,28,40,56,50,38,20,50,40,53,22,20,23,36,35,43,29,23,48,8,33,60,11,65,50,27,37,43,43,23,56,33,55,21,49,14,42,48,15,16,15,15,33,10
v16,28,14,36,15,40,44,57,48,48,35,12,49,13,53,16,0,40,20,47,25,37,64,53,17,27,39,51,6,27,6,46,68,44,31,7,7,14,53,19,9,35,27,19,17,53,52,32,6,60,36,12,14,46,43,33,62,38,11,29,48,66,38,48,56,19,9,25,38,19,19,30,46,31,13,64,22,75,38,59,5,26,11,15,20,5,20,41,8,65,42,20,13,21,17,43,4,29,18,30,48,43,9,7,46,26,39,53,59,58,34,21,4,47,30,24,27,24,20,36,46,66,24,36,66,40,39,28,36,39,52,21,29,45,37,34,22,49,76,13,51,66,43,53,29,35,9,42,47,41,37,65,26,58,64,31,16,9,31,19,8
v17,38,50,36,55,62,66,23,48,38,23,52,61,27,75,24,40,0,60,69,25,31,38,75,45,27,37,19,36,37,34,68,34,4,43,47,33,26,47,21,49,57,13,35,39,49,20,30,36,20,12,38,36,62,65,55,46,24,37,23,10,26,30,44,30,21,33,47,10,29,33,26,8,15,53,26,44,35,6,19,45,14,31,25,26,43,48,63,32,31,20,42,27,19,57,65,42,33,40,10,36,51,31,41,48,20,61,37,19,24,56,27,44,47,10,36,13,46,36,48,64,34,46,24,28,48,61,30,16,1,40,43,51,5,15,56,26,9,36,35,73,44,11,13,51,51,43,64,41,63,15,25,22,18,28,21,24,31,17,41,32
v18,48,10,56,5,40,36,77,68,68,55,8,69,33,49,36,20,60,0,45,35,57,84,55,15,47,59,71,24,47,26,62,88,64,51,13,27,34,73,39,11,47,47,39,37,73,72,52,24,80,56,22,24,66,57,27,82,58,23,49,68,86,58,68,76,39,27,31,58,31,39,50,66,45,7,84,36,95,58,79,15,46,29,35,34,17,12,57,28,85,62,34,33,41,3,39,18,49,24,50,68,63,29,19,66,40,31,73,79,78,42,33,16,67,50,44,47,14,40,56,66,86,28,56,86,60,57,48,56,59,72,21,41,65,49,54,34,69,96,25,41,86,63,73,19,55,17,54,67,53,57,85,46,78,84,51,36,29,51,29,28
v19,31,35,33,40,7,9,46,23,31,46,39,24,54,6,61,47,69,45,0,72,38,39,10,30,42,32,50,53,32,45,17,43,69,26,48,40,57,28,64,48,12,56,34,30,28,49,39,41,55,57,59,61,21,12,18,37,45,36,46,59,49,39,25,39,48,56,22,59,66,36,43,61,78,38,43,25,50,75,54,42,55,58,50,67,52,33,12,45,40,49,27,46,68,42,6,43,36,29,69,33,18,54,54,21,73,14,32,56,45,13,68,45,22,61,33,74,31,33,21,21,41,23,45,41,21,12,39,53,68,29,26,18,64,84,13,69,64,51,60,4,41,58,60,26,18,38,9,28,8,54,48,47,53,41,48,45,46,52,28,51
