,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160
v1,0,40,21,46,6,13,33,34,40,37,18,26,35,56,43,29,31,40,15,45,15,50,20,25,35,22,16,46,43,37,5,12,42,43,34,29,17,57,12,16,29,21,27,42,28,11,13,26,49,27,24,19,1,14,41,17,25,14,4,36,31,42,22,43,14,30,28,28,49,13,43,23,49,30,30,13,47,29,42,16,19,29,14,37,36,59,35,26,29,8,39,50,20,15,8,30,48,15,42,22,39,13,22,20,26,24,27,46,45,32,29,8,10,20,48,11,21,25,8,21,5,19,53,15,18,27,20,6,24,34,45,12,30,21,38,23,20,32,17,60,29,24,52,31,62,24,20,36,21,14,51,44,49,37,19,20,9,10,65,52
v2,40,0,19,36,38,53,33,32,4,27,58,14,9,16,33,13,35,28,25,35,47,40,30,65,33,32,54,16,13,27,41,40,10,5,22,39,33,17,38,50,39,19,67,34,50,47,27,36,9,13,52,21,41,28,23,47,19,26,38,12,11,16,32,19,26,34,12,12,39,27,17,33,19,24,22,47,7,17,6,24,21,33,54,21,20,19,25,36,11,48,19,10,60,43,32,20,38,55,52,20,17,53,24,30,14,18,21,10,13,24,15,48,46,26,38,51,31,15,40,25,43,23,43,49,38,33,42,46,16,18,11,32,40,31,14,57,28,22,31,20,35,18,12,21,22,16,58,4,23,48,17,24,39,3,51,20,49,30,25,12
v3,21,19,0,27,25,34,14,41,19,18,39,21,18,35,24,22,16,37,10,26,34,31,39,46,42,41,35,25,22,18,22,31,21,22,13,48,14,36,19,35,48,10,48,23,31,30,24,45,28,6,33,26,22,33,32,28,6,17,19,21,10,25,41,28,25,15,21,17,30,28,22,42,28,11,31,32,26,26,21,33,2,14,35,30,29,38,16,45,8,29,18,29,41,24,21,11,29,36,61,3,18,34,33,39,19,5,8,25,24,13,24,29,27,7,29,32,40,4,27,6,24,32,34,30,37,42,39,27,5,13,24,13,49,40,17,38,37,13,36,39,16,27,31,12,41,21,39,15,4,33,30,33,30,16,32,29,30,21,44,31
v4,46,36,27,0,52,53,13,68,40,17,34,48,45,40,9,49,15,64,37,7,61,6,66,43,69,68,30,52,27,9,41,58,46,31,18,75,29,43,34,62,75,37,43,10,26,57,51,72,33,23,28,53,45,60,59,29,21,44,42,48,25,52,68,55,52,16,48,44,5,55,27,69,55,16,58,59,39,53,30,60,27,17,48,57,56,43,11,72,25,52,23,40,36,31,48,16,6,39,88,24,23,35,60,66,46,22,19,30,49,14,51,44,36,26,4,55,67,31,54,25,41,59,7,31,64,69,66,40,22,18,47,34,76,67,22,33,64,16,63,44,17,54,36,15,46,48,34,38,25,60,53,60,3,37,27,56,51,48,49,36
v5,6,38,25,52,0,15,39,32,38,43,20,24,33,54,49,27,37,38,15,51,9,56,16,27,33,16,22,44,41,43,11,6,40,41,38,27,23,55,18,12,23,19,29,48,34,9,11,20,47,29,30,17,7,10,39,23,31,12,10,34,29,40,16,41,12,36,26,26,55,11,41,17,47,36,28,9,45,27,40,14,25,35,16,35,34,57,41,20,27,10,37,48,22,21,6,36,54,17,36,28,37,17,20,14,24,30,33,44,43,38,27,10,16,26,54,13,15,23,2,27,11,17,59,21,12,25,14,12,30,34,43,18,24,17,36,29,18,38,11,58,35,22,50,37,60,22,26,34,27,10,49,42,55,35,25,18,11,8,63,50
v6,13,53,34,53,15,0,40,47,53,46,21,39,48,69,50,42,38,53,28,52,8,57,31,12,48,29,23,59,56,44,12,13,55,56,47,42,24,70,19,9,22,34,20,49,35,6,26,35,62,40,31,32,12,25,54,24,34,27,15,49,44,55,23,56,27,37,41,41,56,26,56,26,62,37,43,6,60,42,55,29,32,36,5,50,49,72,42,31,42,5,52,63,21,22,21,37,55,14,35,33,52,18,35,23,39,35,34,59,58,39,42,9,17,27,55,2,28,38,13,28,12,32,60,22,15,40,13,13,37,47,58,21,31,32,51,30,33,45,22,73,36,37,65,40,75,37,27,49,30,7,64,57,56,50,26,33,4,23,78,65
v7,33,33,14,13,39,40,0,55,33,26,25,35,32,49,10,36,2,51,24,16,48,17,53,32,56,55,21,39,36,18,28,45,35,36,27,62,16,50,21,49,62,24,34,9,17,44,38,59,42,20,19,40,32,47,46,16,14,31,29,35,24,39,55,42,39,3,35,31,16,42,36,56,42,9,45,46,40,40,35,47,14,4,35,44,43,52,8,59,22,39,32,43,27,18,35,17,15,26,75,13,32,22,47,53,33,15,12,39,38,9,38,31,23,13,15,42,54,18,41,12,28,46,20,18,51,56,53,27,17,27,38,21,63,54,31,24,51,25,50,53,4,41,45,20,55,35,25,29,12,47,44,47,16,30,18,43,38,35,58,45
v8,34,32,41,68,32,47,55,0,28,59,52,20,23,32,65,19,53,6,31,67,41,72,16,59,1,18,48,16,45,59,35,34,22,37,54,7,39,25,34,44,25,31,61,64,50,41,21,12,35,45,46,15,35,22,9,41,47,24,32,20,43,16,24,13,20,52,20,24,71,21,49,21,15,52,10,41,29,15,38,18,41,51,48,11,12,25,57,16,43,42,51,28,54,37,26,52,70,49,20,44,49,47,12,24,22,46,49,42,19,54,17,42,40,42,70,45,19,37,34,43,37,15,75,43,32,7,36,40,46,50,21,34,16,15,46,51,14,54,25,30,51,14,32,53,30,20,52,30,43,42,17,10,71,31,45,14,43,24,31,34
v9,40,4,19,40,38,53,33,28,0,31,58,14,5,16,37,11,35,24,25,39,47,44,26,65,29,28,54,12,17,31,41,40,6,9,26,35,33,17,38,50,35,19,67,36,50,47,27,32,9,17,52,21,41,28,19,47,19,26,38,8,15,12,30,15,26,34,12,12,43,27,21,29,15,24,18,47,7,13,10,24,21,33,54,17,16,19,29,32,15,48,23,10,60,43,32,24,42,55,48,20,21,53,20,30,14,18,21,14,9,26,11,48,46,26,42,51,27,15,40,25,43,21,47,49,38,29,42,46,18,22,7,32,36,27,18,57,24,26,31,20,35,16,12,25,22,16,58,4,23,48,13,20,43,3,51,20,49,30,25,12
v10,37,27,18,17,43,46,26,59,31,0,51,39,36,27,26,40,28,55,28,10,52,13,57,58,60,59,47,43,14,8,34,49,37,22,5,66,26,34,31,53,66,28,60,27,43,48,42,63,24,14,45,44,36,51,50,40,12,35,33,39,16,43,59,46,43,27,39,35,12,46,10,60,46,17,49,50,30,44,21,51,18,26,47,48,47,34,18,63,16,43,8,31,53,36,39,9,23,48,79,15,10,46,51,57,37,13,14,17,40,17,42,41,39,19,21,46,58,22,45,18,36,50,16,42,55,60,57,39,13,9,38,25,67,58,13,50,55,5,54,29,28,45,27,6,29,39,51,29,16,51,44,51,20,28,44,47,42,39,32,25
