,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160
v1,0,30,57,23,23,41,32,23,29,35,3,11,58,30,24,44,5,15,12,28,26,26,35,38,24,39,48,44,35,16,32,13,23,38,30,26,18,21,12,19,21,11,34,18,13,21,22,19,19,9,14,44,20,20,24,25,7,29,25,34,39,9,32,45,23,35,34,6,32,34,14,41,36,29,25,2,20,44,33,34,35,31,48,16,42,31,15,29,48,25,22,29,20,44,34,6,30,14,8,10,18,43,18,27,27,22,26,46,6,48,20,13,34,17,27,47,18,6,16,16,30,29,47,41,30,29,27,50,25,52,35,6,36,9,33,29,33,26,29,13,34,45,27,21,38,24,48,16,41,29,15,20,21,22,33,39,21,28,32,21
v2,30,0,35,47,49,71,12,49,59,65,33,25,36,10,50,74,27,23,34,54,52,12,61,56,50,69,40,34,65,28,10,43,25,68,60,52,14,47,42,45,51,41,8,46,23,15,52,23,49,39,42,14,46,32,54,33,33,55,55,34,9,35,50,41,53,59,64,36,26,60,40,71,66,1,13,28,50,46,63,10,35,5,78,22,18,31,35,59,32,55,52,17,48,74,64,36,24,44,26,26,12,43,44,57,21,20,56,36,26,36,46,39,14,15,33,35,44,32,46,46,26,27,77,71,2,11,17,80,15,38,49,32,20,35,63,59,63,56,57,21,38,15,27,49,68,54,78,20,11,59,37,50,51,52,53,69,11,58,48,51
v3,57,35,0,34,80,36,43,80,60,30,54,46,1,41,81,41,52,54,65,85,83,31,92,21,33,36,9,13,34,59,25,44,34,33,51,83,45,78,55,38,36,46,27,75,44,46,75,38,38,52,71,49,77,63,53,64,64,28,40,23,44,66,25,12,34,24,45,53,57,91,71,44,51,34,32,55,43,13,34,25,22,36,49,41,17,26,66,68,9,32,63,28,37,45,31,59,55,55,49,57,41,14,75,36,30,51,43,11,57,9,77,70,45,40,64,10,75,63,69,57,57,28,42,38,35,42,30,45,32,5,22,63,51,66,30,32,52,49,28,44,23,50,30,78,45,67,45,51,46,62,42,51,58,69,24,54,42,53,25,74
v4,23,47,34,0,46,24,49,46,26,18,20,22,35,47,47,27,20,32,31,51,49,35,58,15,3,22,25,21,18,33,37,10,22,21,17,49,35,44,21,4,4,12,39,41,24,38,41,24,4,18,37,61,43,37,19,42,30,8,8,13,56,32,9,22,6,12,17,19,49,57,37,24,19,46,34,21,9,21,16,37,12,48,31,25,29,16,32,34,25,8,29,30,3,27,17,25,47,21,21,27,35,20,41,10,26,39,9,23,23,25,43,36,51,32,44,24,41,29,35,23,47,20,30,24,47,46,30,33,32,29,12,29,53,32,16,12,18,15,10,26,11,62,20,44,21,33,31,33,58,28,10,17,24,35,10,22,38,19,9,40
v5,23,49,80,46,0,44,49,2,20,52,26,34,81,47,3,39,28,32,29,13,23,49,12,61,47,44,71,67,46,33,55,36,46,49,29,9,35,8,25,42,44,34,57,5,36,38,5,42,42,28,9,61,13,37,27,42,22,52,40,57,56,14,55,68,46,58,35,27,49,15,27,36,29,50,48,25,37,67,46,57,58,48,31,39,65,54,32,12,71,48,17,52,43,35,49,21,47,25,31,27,39,66,23,44,50,39,37,69,23,71,9,24,51,40,44,70,21,17,11,23,47,52,38,42,47,46,50,37,48,75,58,17,53,24,50,48,28,31,52,36,57,62,50,2,35,13,35,33,58,18,38,29,22,11,56,26,38,27,55,6
v6,41,71,36,24,44,0,73,44,24,8,38,46,37,71,45,5,44,56,53,49,47,59,56,17,21,2,31,37,6,57,61,28,46,5,15,47,59,42,29,26,20,30,63,39,48,62,39,48,22,32,35,85,41,61,17,66,46,16,16,37,80,36,21,30,18,14,9,35,73,55,51,8,15,70,58,43,21,25,8,61,36,72,13,49,53,40,56,32,39,16,27,54,23,9,7,35,71,27,45,51,59,28,47,14,50,63,15,35,47,35,41,48,75,56,68,36,45,41,33,25,71,44,6,2,71,70,54,9,56,33,22,39,77,48,8,12,16,15,14,50,33,86,44,42,9,31,9,57,82,26,34,21,22,33,18,18,62,17,23,38
v7,32,12,43,49,49,73,0,51,61,67,35,27,44,2,46,76,29,17,22,42,40,14,49,58,52,71,42,36,67,16,18,45,27,70,62,40,14,41,44,47,53,43,20,48,25,11,54,25,51,41,44,12,36,20,56,21,27,57,57,36,7,37,52,43,55,61,66,38,14,48,28,73,68,13,15,30,52,48,65,20,37,7,80,24,28,33,23,61,34,57,54,19,50,76,66,38,12,46,28,22,14,45,32,59,23,10,58,38,26,38,40,27,2,17,21,37,32,32,48,48,14,29,79,73,10,3,19,82,17,40,51,34,8,25,65,61,65,58,59,23,40,13,29,51,70,56,80,16,9,61,39,52,53,54,55,71,11,60,50,53
v8,23,49,80,46,2,44,51,0,20,52,26,34,81,49,5,39,28,34,31,15,25,49,12,61,47,44,71,67,46,35,55,36,46,49,29,11,37,10,25,42,44,34,57,5,36,40,5,42,42,28,9,63,15,39,27,44,24,52,40,57,58,14,55,68,46,58,35,27,51,17,29,36,29,50,48,25,37,67,46,57,58,50,31,39,65,54,34,12,71,48,17,52,43,35,49,21,49,25,31,29,39,66,25,44,50,41,37,69,25,71,11,26,53,40,46,70,23,19,11,23,49,52,38,42,49,48,50,37,48,75,58,17,55,26,50,48,28,31,52,36,57,64,50,2,35,13,35,35,60,18,38,29,22,11,56,26,40,27,55,6
v9,29,59,60,26,20,24,61,20,0,32,26,34,61,59,21,19,32,44,41,25,35,47,32,41,27,24,51,47,26,45,49,16,34,29,9,23,47,20,17,22,24,18,51,15,36,50,15,36,22,20,17,73,25,49,7,54,34,32,20,37,68,24,35,48,26,38,15,23,61,31,39,16,9,58,46,31,17,47,26,49,38,60,19,37,45,34,44,8,51,28,7,42,23,15,29,23,59,15,33,39,47,46,35,24,38,51,17,49,35,51,21,36,63,44,56,50,33,29,13,13,59,32,18,22,59,58,42,21,44,55,38,27,65,36,30,28,8,11,32,38,37,74,32,18,15,7,19,45,70,2,22,9,8,9,36,10,50,7,35,14
v10,35,65,30,18,52,8,67,52,32,0,32,40,29,65,53,13,38,50,47,57,55,53,64,9,15,8,25,31,6,51,55,22,40,3,23,55,53,50,27,20,14,24,57,47,42,56,47,42,16,26,43,79,49,55,25,60,40,10,12,31,74,38,15,24,12,6,17,29,67,63,45,16,23,64,52,37,15,19,6,55,30,66,21,43,47,34,50,40,33,10,35,48,17,17,3,31,65,27,39,45,53,22,47,8,44,57,15,29,41,29,49,42,69,50,62,30,47,35,41,29,65,38,14,10,65,64,48,15,50,27,16,35,71,42,2,6,24,21,8,44,27,80,38,50,17,39,17,51,76,34,28,23,30,41,12,26,56,25,17,46
