,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160
v1,0,14,23,58,12,26,5,26,33,8,45,54,60,50,18,49,13,44,38,14,43,20,21,62,31,35,26,12,9,45,13,44,38,57,40,34,24,37,55,29,8,29,28,26,33,9,24,34,61,21,34,15,49,41,51,47,16,11,29,22,47,44,34,58,21,4,61,9,54,2,22,5,53,43,36,66,40,12,49,15,44,74,3,4,54,38,17,37,39,49,18,44,29,57,35,56,27,35,52,33,52,26,35,69,30,54,20,50,39,11,45,38,30,38,35,55,34,19,10,34,24,61,14,39,25,55,48,13,25,40,44,7,44,37,40,18,7,25,41,46,24,55,21,12,47,40,8,51,52,65,46,31,42,11,22,19,33,59,25,59
v2,14,0,35,70,26,38,13,16,45,20,57,66,72,38,32,61,7,56,36,10,55,10,33,74,17,47,40,22,21,57,5,56,50,69,26,46,36,49,41,15,20,41,40,38,45,15,38,20,47,33,20,29,61,53,63,33,28,25,43,20,37,40,32,70,35,12,47,21,40,14,14,19,43,39,42,78,52,2,61,29,56,86,13,16,40,50,29,49,39,61,30,30,43,69,47,68,39,47,44,19,64,38,47,81,16,66,32,62,51,5,57,50,42,38,47,67,46,17,10,46,36,73,20,51,33,67,60,21,13,52,56,21,56,25,52,32,19,29,53,58,24,67,33,24,35,52,16,63,42,77,58,43,30,23,34,5,21,71,11,71
v3,23,35,0,35,15,9,28,33,10,15,22,31,37,57,11,26,36,51,45,25,36,27,10,39,38,40,19,19,14,22,36,33,43,34,47,37,7,14,62,36,15,16,15,11,20,20,17,41,68,12,41,12,26,18,28,54,23,14,22,29,54,51,41,35,14,27,68,14,61,25,29,24,60,50,43,43,47,35,26,14,21,51,26,27,61,15,8,14,46,40,5,51,22,34,12,33,34,12,59,40,33,13,18,46,37,31,15,33,20,30,22,15,15,45,22,32,27,26,33,11,5,38,21,28,32,40,25,20,32,17,21,18,47,44,21,11,16,32,32,23,31,32,16,11,54,17,19,28,59,42,27,30,49,12,1,30,40,36,32,36
v4,58,70,35,0,50,32,63,54,25,50,15,26,24,52,44,9,71,46,40,60,31,60,37,14,55,35,32,48,49,13,71,28,38,11,48,32,34,21,57,61,50,29,30,32,25,55,40,52,63,37,50,47,11,17,7,49,42,49,33,50,49,46,38,10,37,62,63,49,56,60,56,59,55,45,38,18,42,70,9,49,14,20,61,62,56,20,41,21,41,35,40,48,35,23,23,2,31,23,54,55,28,32,23,25,54,4,38,28,19,65,13,20,28,40,23,7,24,53,68,24,34,25,50,23,37,35,10,49,57,18,14,53,42,45,18,40,51,41,27,18,46,21,37,46,49,18,54,13,54,13,22,27,44,47,36,65,49,5,59,1
v5,12,26,15,50,0,18,13,38,25,20,37,46,52,62,6,41,21,56,50,26,41,32,15,54,43,45,18,24,11,37,21,38,48,49,52,42,16,29,67,41,6,21,20,18,25,21,12,46,73,13,46,3,41,33,43,59,28,1,17,34,59,56,46,50,13,14,73,19,66,12,34,9,65,55,48,58,52,24,41,3,36,66,13,12,66,30,13,29,51,45,10,56,17,49,27,48,39,27,64,45,44,18,27,61,42,46,20,42,31,23,37,30,22,50,27,47,32,31,18,26,16,53,26,33,37,47,40,25,37,32,36,5,52,49,32,10,9,37,37,38,36,47,21,8,59,32,20,43,64,57,38,35,54,7,14,31,45,51,37,51
v6,26,38,9,32,18,0,31,42,7,24,29,40,38,66,12,23,39,60,54,30,45,36,19,36,47,49,10,28,17,19,39,42,52,31,56,46,16,11,71,45,18,7,6,2,11,25,8,50,77,5,50,15,25,15,25,63,32,17,13,38,63,60,50,32,5,30,77,23,70,28,38,27,69,59,52,40,56,38,23,17,18,48,29,30,70,12,17,11,55,49,10,60,13,37,9,30,43,19,68,49,42,4,27,43,46,28,24,42,29,33,19,18,24,54,31,29,36,35,36,8,4,39,30,37,41,49,24,29,41,14,24,21,56,53,30,8,19,41,41,32,40,35,25,14,63,14,24,27,68,39,36,39,58,15,8,35,49,33,41,33
v7,5,13,28,63,13,31,0,25,38,13,50,59,65,49,19,54,8,49,37,13,48,19,26,67,30,40,31,15,14,50,8,49,43,62,39,39,29,42,54,28,13,34,33,31,38,8,25,33,60,26,33,16,54,46,56,46,21,14,30,21,46,43,33,63,26,1,60,14,53,3,21,6,52,42,35,71,45,11,54,16,49,79,2,3,53,43,22,42,38,54,23,43,30,62,40,61,32,40,51,32,57,31,40,74,29,59,25,55,44,10,50,43,35,37,40,60,39,18,5,39,29,66,13,44,26,60,53,14,24,45,49,10,49,36,45,23,12,24,46,51,23,60,26,17,46,45,9,56,51,70,51,36,41,16,27,18,32,64,24,64
v8,26,16,33,54,38,42,25,0,39,18,41,50,56,24,44,45,19,40,20,12,39,6,23,58,5,31,52,14,27,41,17,40,34,53,14,30,26,41,29,7,32,49,48,44,53,17,50,8,35,45,8,41,45,37,47,21,12,37,55,4,21,24,16,54,47,24,35,19,28,26,4,31,27,23,26,62,36,16,45,41,40,70,25,28,28,42,25,33,23,45,32,18,55,53,33,52,23,31,28,7,48,46,31,65,4,50,18,46,35,15,41,34,26,22,31,51,30,7,22,42,38,57,12,35,17,51,44,13,3,36,40,33,40,11,36,44,29,13,37,42,8,51,17,30,21,40,18,47,26,61,42,27,16,31,34,11,7,55,5,55
v9,33,45,10,25,25,7,38,39,0,25,26,37,35,63,19,16,46,57,51,35,42,35,16,29,44,46,13,25,24,12,46,39,49,24,53,43,13,4,68,42,25,10,9,7,14,30,15,47,74,12,47,22,22,8,18,60,29,24,16,35,60,57,47,25,12,37,74,24,67,35,35,34,66,56,49,33,53,45,16,24,11,41,36,37,67,5,16,6,52,46,15,57,16,34,6,23,40,16,65,46,39,7,24,36,43,21,21,39,26,40,12,15,21,51,28,22,33,32,43,3,9,36,27,34,38,46,21,26,38,11,21,28,53,50,27,15,26,38,38,29,37,32,22,21,60,7,29,24,65,32,33,36,55,22,11,40,46,26,38,26
v10,8,20,15,50,20,24,13,18,25,0,37,46,52,42,26,41,21,36,30,10,35,12,13,54,23,27,34,4,9,37,21,36,30,49,32,26,16,29,47,21,14,31,30,26,35,5,32,26,53,27,26,23,41,33,43,39,8,19,37,14,39,36,26,50,29,12,53,1,46,10,14,13,45,35,28,58,32,20,41,23,36,66,11,12,46,30,9,29,31,41,14,36,37,49,27,48,19,27,44,25,44,28,27,61,22,46,12,42,31,15,37,30,22,30,27,47,26,11,18,26,20,53,6,31,17,47,40,5,17,32,36,15,36,29,32,26,11,17,33,38,16,47,13,12,39,32,4,43,44,57,38,23,34,13,16,15,25,51,17,51
