,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160
v1,0,32,23,24,38,9,45,32,22,13,32,30,27,40,26,36,16,33,22,30,24,29,18,22,33,18,5,23,23,20,22,13,4,38,26,27,19,10,9,20,41,15,12,37,25,13,13,19,31,19,37,43,12,41,26,17,38,2,26,20,36,35,28,50,34,25,10,17,23,7,13,22,15,36,22,40,35,6,40,32,24,15,25,9,23,25,15,37,16,22,21,12,8,35,54,18,26,34,35,38,31,34,26,26,34,29,30,36,7,11,20,22,24,26,20,26,53,20,38,6,39,31,14,40,48,20,18,21,11,37,37,10,24,10,15,28,20,16,28,3,16,36,43,32,21,13,11,16,16,12,30,23,34,30,25,36,28,18,6,12
v2,32,0,55,8,6,41,13,18,46,45,20,26,5,30,6,50,48,27,20,26,40,19,50,16,1,50,29,9,35,48,22,25,30,70,58,41,51,40,35,52,9,45,26,5,47,31,19,47,3,31,31,11,44,9,42,31,24,34,36,38,50,49,22,18,16,7,24,33,11,25,19,36,41,26,24,54,27,38,72,64,10,47,7,41,55,57,17,41,32,36,11,44,24,67,40,14,58,48,49,38,45,20,40,28,48,43,62,38,27,21,44,36,48,22,52,40,39,52,70,34,53,19,46,16,34,16,16,53,41,23,25,42,46,30,33,44,26,48,8,31,16,16,37,44,11,37,43,48,48,20,44,55,8,62,47,68,60,50,30,44
v3,23,55,0,47,61,14,68,45,41,32,55,53,50,25,49,55,15,56,45,29,15,36,25,39,56,5,26,46,46,7,45,36,25,15,15,46,4,15,28,33,64,34,29,60,44,24,36,8,54,42,24,66,17,64,13,40,31,21,19,17,55,54,33,73,57,48,33,22,46,30,36,19,14,29,45,59,58,17,17,9,47,8,48,20,34,34,38,18,23,41,44,11,31,12,35,41,3,53,54,19,50,47,45,49,53,48,13,17,28,34,39,41,43,49,5,45,34,9,15,25,58,36,25,63,29,39,39,36,14,42,60,25,9,25,22,11,43,27,51,24,39,59,24,13,44,32,24,7,11,35,49,10,57,7,8,21,5,23,25,15
v4,24,8,47,0,14,33,21,14,40,37,24,30,9,22,4,54,40,31,24,18,32,11,42,8,9,42,23,5,39,40,26,29,22,62,50,45,43,32,27,44,17,37,18,13,43,23,11,39,7,35,23,19,36,17,34,35,20,26,28,30,54,53,14,26,20,3,28,25,15,23,15,28,33,18,28,58,31,30,64,56,14,39,3,33,47,49,11,33,24,40,5,36,26,59,36,6,50,52,53,30,49,16,44,32,52,47,54,30,25,13,38,40,42,26,44,44,35,44,62,26,57,13,38,20,30,8,8,45,33,19,29,34,38,22,25,36,30,40,12,23,8,20,29,36,15,31,35,40,40,22,48,47,10,54,39,60,52,42,22,36
v5,38,6,61,14,0,47,7,18,52,51,20,26,11,36,12,50,54,27,20,32,46,25,56,22,5,56,35,15,35,54,22,25,36,76,64,45,57,46,41,58,3,51,32,1,53,37,25,53,7,31,37,5,50,3,48,31,30,40,42,44,50,49,28,12,16,13,28,39,15,31,25,42,47,32,24,54,27,44,78,70,14,53,13,47,61,63,23,47,38,38,17,50,30,73,40,20,64,48,49,44,45,20,44,28,48,43,68,44,33,27,50,36,54,22,58,40,39,58,76,40,53,25,52,16,40,22,22,59,47,23,25,48,52,36,39,50,26,54,10,37,22,16,43,50,17,43,49,54,54,26,44,61,8,68,53,74,66,56,36,50
v6,9,41,14,33,47,0,54,31,27,18,41,39,36,35,35,41,7,42,31,25,19,24,11,25,42,13,12,32,32,15,31,22,11,29,17,32,10,5,14,19,50,20,15,46,30,10,22,14,40,28,32,52,3,50,21,26,33,7,21,15,41,40,23,59,43,34,19,12,32,16,22,17,10,31,31,45,44,3,31,23,33,10,34,6,20,20,24,32,11,27,30,5,17,26,49,27,17,39,40,33,36,33,31,35,39,34,21,31,14,20,25,27,29,35,11,31,48,11,29,11,44,26,11,49,43,25,25,22,6,32,46,11,19,11,10,23,29,13,37,10,25,45,38,27,30,18,10,9,7,21,35,14,43,21,20,27,19,9,11,3
v7,45,13,68,21,7,54,0,23,59,58,15,21,18,43,19,45,61,22,23,39,53,32,63,29,12,63,42,22,30,61,23,32,43,83,71,52,64,53,48,65,8,58,39,8,60,44,32,60,14,26,44,2,57,6,55,28,37,47,49,51,45,44,35,7,11,20,35,46,22,38,32,49,54,39,23,49,22,51,85,77,21,60,20,54,68,70,30,54,45,45,24,57,37,80,45,27,71,43,44,51,40,25,51,23,43,46,75,51,40,34,57,35,61,19,65,35,44,65,83,47,48,32,59,11,47,29,29,66,54,28,20,55,59,43,46,57,25,61,17,44,29,11,50,57,24,50,56,61,61,33,43,68,13,75,60,81,73,63,43,57
v8,32,18,45,14,18,31,23,0,54,45,38,44,23,20,18,68,38,45,38,16,30,9,40,10,17,40,37,9,53,38,40,43,28,60,48,59,41,30,41,46,19,47,20,19,57,21,21,37,15,49,21,21,34,19,32,49,14,34,26,28,68,67,12,30,34,17,42,23,29,37,29,26,31,16,42,72,45,28,62,54,28,37,11,33,47,47,25,31,22,54,19,34,40,57,22,20,48,66,67,28,63,2,58,46,66,61,52,28,39,21,52,54,56,40,42,58,21,42,60,38,71,9,38,34,24,12,14,49,31,5,43,38,36,22,23,34,44,40,26,35,22,34,27,34,29,45,37,38,38,36,62,45,12,52,37,58,50,40,26,34
v9,22,46,41,40,52,27,59,54,0,9,46,44,41,62,40,16,26,47,36,52,46,51,16,44,47,40,17,45,37,42,36,27,26,30,26,7,37,32,13,8,55,7,34,51,3,35,33,41,45,33,59,57,24,55,48,31,60,20,48,42,14,15,50,64,48,39,24,39,37,21,27,44,37,58,36,18,49,26,26,36,38,37,43,21,9,11,29,59,38,14,35,32,22,29,76,34,42,16,27,60,27,56,8,40,28,13,28,58,19,33,2,24,2,40,36,24,75,32,26,16,17,53,16,54,70,42,40,7,33,59,51,16,46,32,37,50,34,14,42,19,32,50,65,54,35,9,17,36,30,26,16,31,48,34,47,22,42,18,28,26
v10,13,45,32,37,51,18,58,45,9,0,45,43,40,53,39,23,17,46,35,43,37,42,7,35,46,31,16,36,36,33,35,26,17,25,17,14,28,23,10,7,54,2,25,50,12,26,26,32,44,32,50,56,15,54,39,30,51,11,39,33,23,22,41,63,47,38,23,30,36,20,26,35,28,49,35,27,48,17,27,27,37,28,38,12,10,12,28,50,29,13,34,23,21,22,67,31,33,21,26,51,26,47,13,39,27,16,19,49,18,24,7,23,11,39,27,23,66,23,25,11,26,44,7,53,61,33,31,8,24,50,50,7,37,23,28,41,33,5,41,14,29,49,56,45,34,8,8,27,21,25,17,22,47,25,38,23,33,9,19,17
