,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160
v1,0,42,62,40,57,61,48,19,51,21,48,49,20,18,45,69,29,36,39,75,17,31,50,22,68,31,17,4,54,70,31,25,63,37,27,56,8,53,11,35,56,69,25,37,11,35,17,35,31,26,43,48,52,67,37,41,20,9,40,54,45,32,23,29,38,39,43,55,33,47,46,20,34,19,12,57,54,52,17,72,55,65,13,15,56,16,18,31,44,60,16,32,56,46,35,36,16,38,46,48,29,76,30,27,23,4,34,64,25,50,44,8,44,6,22,22,29,51,10,44,53,24,55,35,44,35,45,51,12,35,16,42,2,36,41,42,1,43,25,28,39,58,66,30,55,42,30,48,59,23,31,35,36,30,55,31,54,40,45,31
v2,42,0,20,16,25,19,28,35,19,45,40,41,22,24,13,27,15,28,17,33,47,19,42,38,26,11,25,38,12,28,23,33,21,21,37,48,38,21,43,7,14,27,17,13,31,27,25,27,11,16,31,24,10,25,17,17,22,51,2,32,37,30,21,21,18,31,11,19,29,39,8,40,26,23,54,15,14,10,25,30,13,23,55,53,14,26,26,19,30,18,26,32,24,38,19,14,26,32,16,6,27,34,34,27,19,44,8,22,17,22,36,38,2,36,20,20,13,9,32,34,45,26,13,9,18,15,25,43,30,17,26,34,44,28,25,30,43,35,17,14,15,16,24,42,13,34,24,22,17,31,13,15,6,22,47,23,16,24,9,25
v3,62,20,0,22,27,11,26,55,21,65,42,43,42,44,17,17,33,30,23,13,67,31,44,58,12,31,45,58,14,14,33,53,7,25,57,50,58,23,63,27,6,7,37,25,51,35,45,37,31,36,29,26,10,19,25,21,42,71,22,34,39,30,39,37,24,43,19,21,29,41,16,60,36,43,74,5,12,12,45,10,7,3,75,73,10,46,44,31,32,20,46,52,26,40,27,26,46,52,16,14,33,14,54,47,39,64,28,22,37,24,40,58,18,56,40,40,33,11,52,36,47,38,13,27,20,27,23,45,50,27,46,36,64,40,23,32,63,43,37,34,23,8,4,62,7,36,32,24,13,41,31,27,26,32,49,31,14,26,17,31
v4,40,16,22,0,41,21,12,33,35,43,56,57,20,22,5,31,11,44,1,35,45,35,58,36,28,9,23,36,28,30,39,33,23,5,35,64,36,37,41,9,16,29,15,29,29,43,23,43,25,14,15,40,12,33,33,1,24,49,18,48,53,14,17,37,2,47,27,35,13,55,24,38,42,21,52,17,14,26,23,32,15,25,53,51,24,24,22,9,46,34,24,40,40,54,5,30,24,46,6,18,11,36,38,35,17,42,8,36,15,38,52,36,14,34,18,18,11,19,30,50,61,16,27,7,34,31,9,59,28,5,24,50,42,44,9,46,41,51,29,12,1,22,26,40,15,50,10,38,27,19,29,5,14,10,63,39,14,40,7,9
v5,57,25,27,41,0,38,53,50,6,60,37,24,37,39,38,12,40,25,42,24,62,26,25,53,15,34,40,53,13,13,28,48,20,46,52,27,53,4,58,32,31,30,32,20,46,30,48,32,26,41,56,9,29,10,20,42,37,66,23,7,28,55,46,32,43,38,14,6,54,28,17,55,31,38,69,30,39,15,40,21,28,28,70,68,17,41,51,44,13,7,41,47,1,13,44,21,41,47,41,23,52,25,49,42,34,59,33,7,32,7,35,53,27,51,35,35,30,22,47,13,32,51,14,34,13,22,50,18,45,42,47,25,59,35,50,15,58,38,32,29,40,19,23,57,34,27,49,9,14,56,26,40,27,47,26,26,41,17,34,50
v6,61,19,11,21,38,0,15,54,32,64,53,54,41,43,16,28,32,41,22,14,66,32,55,57,23,30,44,57,25,25,36,52,18,24,56,61,57,34,62,26,7,8,36,26,50,40,44,40,30,35,18,37,9,30,30,20,41,70,21,45,50,29,38,36,23,44,24,32,28,52,21,59,39,42,73,8,7,23,44,17,10,10,74,72,21,45,43,30,43,31,45,51,37,51,26,27,45,51,15,15,32,15,53,46,38,63,27,33,36,35,49,57,17,55,39,39,32,16,51,47,58,37,24,26,31,28,16,56,49,26,45,47,63,41,20,43,62,48,36,33,22,19,15,61,6,47,31,35,24,40,30,26,25,31,60,36,7,37,16,30
v7,48,28,26,12,53,15,0,41,47,51,68,69,28,30,15,43,19,56,11,29,53,47,70,44,38,19,31,44,40,40,51,45,33,11,47,76,44,49,49,21,22,23,23,41,37,55,31,55,37,22,5,52,24,45,45,11,36,57,30,60,65,16,25,49,10,59,39,47,15,67,36,46,54,29,60,23,14,38,31,32,25,25,61,59,36,32,30,17,58,46,32,52,52,66,13,42,32,58,12,30,19,28,50,47,25,50,20,48,23,50,64,44,26,42,30,28,23,31,38,62,73,24,39,19,46,43,3,71,36,13,32,62,50,56,7,58,49,63,41,24,13,34,30,50,19,62,18,50,39,27,41,13,26,18,75,51,12,52,19,17
v8,19,35,55,33,50,54,41,0,44,10,29,30,19,11,38,62,26,25,32,68,12,24,31,3,61,24,12,23,47,63,22,6,56,32,8,37,11,46,8,28,49,62,18,30,12,20,34,18,24,27,42,41,45,60,30,34,13,16,33,47,26,41,32,18,31,20,36,48,40,28,39,5,19,22,19,50,47,45,14,65,48,58,20,18,49,19,37,30,37,53,21,13,49,39,30,29,15,19,39,41,38,69,11,8,20,15,27,57,18,43,25,27,37,13,15,15,22,44,25,37,34,37,48,28,37,28,38,34,19,28,33,25,19,17,36,35,18,24,18,21,32,51,59,11,48,23,35,41,52,42,24,28,29,33,36,24,47,33,38,36
v9,51,19,21,35,6,32,47,44,0,54,31,22,31,33,32,18,34,19,36,24,56,20,23,47,17,28,34,47,7,19,22,42,14,40,46,29,47,2,52,26,25,24,26,14,40,24,42,26,20,35,50,5,23,16,14,36,31,60,17,13,22,49,40,26,37,32,8,4,48,22,11,49,25,32,63,24,33,9,34,21,22,22,64,62,11,35,45,38,11,9,35,41,5,19,38,15,35,41,35,17,46,25,43,36,28,53,27,13,26,3,29,47,21,45,29,29,24,16,41,15,26,45,8,28,7,16,44,24,39,36,41,19,53,29,44,11,52,32,26,23,34,13,17,51,28,21,43,3,8,50,20,34,21,41,28,20,35,11,28,44
v10,21,45,65,43,60,64,51,10,54,0,27,36,23,21,48,72,32,35,42,78,4,34,35,7,71,34,20,25,57,73,32,12,66,40,8,35,13,56,10,38,59,72,28,40,14,30,36,28,34,29,46,51,55,70,40,44,23,12,43,57,32,43,34,28,41,22,46,58,42,32,49,5,29,24,11,60,57,55,20,75,58,68,10,8,59,21,39,34,47,63,23,13,59,49,38,39,19,17,49,51,40,79,11,18,26,17,37,67,28,53,25,29,47,15,25,25,32,54,27,47,32,39,58,38,47,38,48,44,21,38,35,35,21,25,44,45,20,22,28,31,42,61,69,9,58,33,37,51,62,44,34,38,39,35,34,34,57,43,48,38
