,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v211,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v231,v232,v233,v234,v235,v236,v237,v238,v239,v240,v241,v242,v243,v244,v245,v246,v247,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261,v262,v263,v264,v265,v266,v267,v268,v269,v270,v271,v272,v273,v274,v275,v276,v277,v278,v279,v280,v281,v282,v283,v284,v285,v286,v287,v288,v289,v290,v291,v292,v293,v294,v295,v296,v297,v298,v299,v300,v301,v302,v303,v304,v305,v306,v307,v308,v309,v310,v311,v312,v313,v314,v315,v316,v317,v318,v319,v320
v1,0,67,18,28,7,48,47,76,43,25,47,57,36,25,27,49,40,4,60,39,24,49,35,56,40,73,20,56,53,46,42,44,5,28,54,11,49,54,44,44,40,6,39,10,26,39,49,30,32,3,52,37,60,66,20,22,46,41,29,13,24,20,40,32,38,15,80,22,37,22,36,43,80,38,36,28,63,40,23,37,36,48,39,37,14,43,80,15,39,75,60,44,73,26,56,11,32,7,50,30,50,50,33,74,60,39,16,48,47,49,40,19,29,47,45,7,20,50,23,33,7,52,39,41,24,47,31,47,50,59,69,59,48,59,30,46,14,14,19,35,31,10,37,19,33,54,45,47,35,45,18,22,35,40,24,10,24,26,50,44,55,65,46,37,19,24,14,36,26,24,39,70,47,59,34,55,25,12,31,21,35,54,48,4,51,37,48,34,50,31,71,43,11,24,38,49,53,15,24,45,57,43,3,36,21,8,39,13,32,47,30,39,81,49,31,34,16,59,71,15,40,12,21,30,58,48,29,33,59,45,50,23,38,50,16,31,41,49,50,5,65,28,8,40,17,37,33,56,27,10,17,38,49,31,71,64,20,4,39,16,17,6,14,51,24,61,53,49,52,65,39,50,45,35,15,49,34,30,37,56,43,39,34,45,46,31,55,37,45,13,35,59,32,51,36,35,24,10,27,12,19,21,29,16,18,43,58,29,30,5,11,42,53,3,61,48,54,21,26,7
v2,67,0,49,39,60,33,20,9,24,42,42,20,31,42,66,38,31,65,9,28,43,20,32,45,27,6,69,11,14,43,27,23,72,55,43,56,18,13,35,33,35,69,36,59,69,56,18,37,47,66,15,30,25,7,47,61,35,26,54,68,47,51,45,35,29,78,13,45,30,49,35,24,13,33,31,39,4,47,48,30,49,23,28,30,53,24,13,60,28,8,15,23,6,57,45,56,39,70,17,37,17,17,34,9,17,36,51,21,30,34,41,48,42,20,22,60,57,17,72,44,64,15,28,26,43,38,40,36,27,8,2,14,37,18,59,21,53,53,48,42,50,57,30,48,34,13,22,28,32,36,49,45,46,31,71,57,43,55,39,23,44,14,23,30,48,43,71,59,41,45,34,3,46,8,33,14,42,55,36,60,32,21,37,65,34,40,19,51,39,36,6,24,78,69,41,18,42,52,59,22,10,40,64,31,46,59,28,54,35,36,41,28,14,38,36,33,59,8,4,66,29,55,46,41,47,19,38,34,8,22,17,50,29,23,67,36,38,20,17,62,2,39,63,27,50,30,62,11,40,57,50,29,18,54,8,17,47,63,28,51,76,73,53,32,43,6,14,18,29,2,54,39,22,32,52,22,33,37,38,11,24,38,33,28,21,36,44,30,22,80,32,48,61,40,39,52,65,57,52,63,70,46,38,51,73,30,15,38,63,62,56,25,14,70,10,39,17,50,63,60
v3,18,49,0,10,17,30,29,58,25,33,61,45,18,7,41,63,54,16,42,43,34,45,29,70,22,55,34,38,35,60,24,34,23,42,68,7,31,36,26,58,54,20,21,10,40,53,39,12,46,17,40,41,50,48,14,36,60,23,43,27,38,34,54,14,20,29,62,32,35,36,18,25,62,20,42,26,45,54,37,45,50,48,21,19,20,35,62,29,21,57,42,26,55,40,70,9,14,21,42,12,32,32,15,56,42,53,10,46,55,59,22,3,43,29,27,15,34,32,37,47,21,34,25,49,6,61,15,61,52,41,51,41,62,41,44,38,6,24,7,49,45,24,19,5,47,36,31,29,35,27,20,10,49,22,38,22,8,40,64,28,69,47,48,27,9,28,28,50,22,10,21,52,61,41,34,39,7,6,13,35,39,46,62,18,59,51,30,48,64,15,53,25,29,38,20,37,67,17,38,29,39,57,15,18,7,14,47,7,14,61,16,35,63,63,37,16,30,41,53,29,54,16,27,44,72,30,19,15,41,27,32,37,20,48,30,43,55,31,32,13,47,10,22,30,23,19,47,38,9,18,19,20,41,45,53,46,34,14,21,26,31,24,16,57,18,43,35,31,54,47,53,64,41,37,27,31,16,44,19,38,25,21,48,27,28,13,69,37,33,31,17,73,46,65,18,49,38,12,41,26,33,3,11,20,32,25,40,13,44,13,7,24,35,21,43,62,36,35,40,21
v4,28,39,10,0,21,20,19,48,15,23,51,35,14,13,31,53,44,26,32,33,24,35,19,60,12,45,30,28,25,50,14,24,33,32,58,17,21,26,20,48,44,30,21,20,30,43,29,2,36,27,30,31,40,38,8,26,50,13,33,29,28,24,44,4,10,39,52,22,25,26,20,15,52,18,32,16,35,44,27,35,40,38,11,9,14,25,52,21,11,47,32,16,45,30,60,17,24,31,32,6,22,22,5,46,32,43,12,36,45,49,26,13,33,19,17,21,24,22,33,37,25,24,15,39,12,51,25,51,42,31,41,31,52,31,34,28,14,14,9,39,35,18,9,15,37,26,21,19,25,21,10,6,39,16,32,18,18,30,54,18,59,37,38,17,9,18,32,40,12,20,19,42,51,31,24,29,17,16,3,25,29,36,52,26,49,41,20,38,54,5,43,15,39,30,26,27,57,13,28,19,29,47,25,10,7,20,37,15,4,51,26,25,53,53,27,8,20,31,43,27,44,16,17,34,62,20,9,13,31,17,22,27,10,38,28,33,45,21,22,23,37,14,24,20,13,9,37,28,11,18,11,12,31,35,43,36,24,24,11,16,37,34,14,47,8,33,25,21,44,37,43,54,31,27,17,21,14,34,23,28,15,23,38,17,18,5,59,27,23,41,7,63,36,55,24,39,28,18,31,24,31,11,3,12,34,15,30,23,34,23,17,14,25,31,33,52,26,25,30,21
v5,7,60,17,21,0,41,40,69,36,18,44,50,29,20,24,46,37,7,53,32,17,42,28,53,33,66,17,49,46,43,35,37,12,25,51,14,42,47,37,41,37,9,32,13,23,36,42,23,29,6,45,30,53,59,13,19,43,34,26,10,21,17,37,25,31,18,73,15,30,19,29,36,73,31,29,21,56,37,20,30,33,41,32,30,7,36,73,12,32,68,53,37,66,23,53,8,31,10,43,23,43,43,26,67,53,36,9,41,40,42,33,20,26,40,38,2,17,43,20,30,4,45,32,34,19,44,32,44,43,52,62,52,45,52,27,39,11,7,12,32,28,7,30,22,30,47,38,40,28,38,11,15,32,33,21,5,25,23,47,37,52,58,39,30,12,17,11,33,19,27,32,63,44,52,27,48,24,13,24,18,28,47,45,5,44,34,41,31,47,24,64,36,18,21,33,42,50,8,21,38,50,40,6,29,14,3,32,10,25,44,33,32,74,46,24,27,13,52,64,12,37,5,14,27,55,41,22,26,52,38,43,20,31,43,13,26,38,42,43,8,58,21,5,33,10,30,30,49,20,3,10,31,42,28,64,57,17,7,32,9,16,13,7,44,17,54,46,42,45,58,36,47,38,28,10,42,27,27,30,49,36,32,31,38,39,24,52,30,38,20,28,56,29,48,31,32,21,5,24,9,16,18,22,9,15,36,51,30,27,6,10,35,46,10,54,45,47,18,23,4
v6,48,33,30,20,41,0,13,40,11,41,69,53,12,23,49,71,62,46,42,51,42,53,37,78,10,35,50,34,23,68,6,42,53,50,76,37,21,22,4,66,62,50,9,40,50,61,47,20,54,47,48,49,58,26,28,44,68,29,51,49,46,42,62,18,14,59,32,40,43,44,12,27,36,10,50,34,33,62,45,53,58,56,15,17,34,43,38,41,25,35,48,32,33,48,78,37,16,51,50,18,20,40,15,42,16,61,32,54,63,67,8,29,51,35,19,41,42,30,53,55,45,24,33,57,24,69,17,69,60,39,35,47,70,15,52,46,34,34,29,57,53,38,21,29,55,34,39,5,43,3,30,26,57,8,52,38,24,48,72,36,77,47,56,35,29,36,52,58,30,26,9,32,69,33,42,47,23,36,17,43,47,54,70,46,67,59,26,56,72,23,27,19,59,50,10,45,75,33,46,37,27,65,45,12,27,40,55,35,22,69,18,43,35,71,45,14,40,25,37,47,62,36,35,52,80,18,27,15,27,35,28,45,20,56,48,51,63,13,26,43,35,20,44,38,31,25,55,44,21,38,31,10,49,53,41,50,42,44,29,34,57,54,34,65,26,31,25,33,62,31,61,72,49,45,35,11,14,52,11,22,17,9,56,5,28,17,77,45,41,61,17,81,54,73,12,57,46,38,49,44,51,27,19,32,54,5,18,19,52,43,37,32,29,51,23,70,16,43,48,41
v7,47,20,29,19,40,13,0,29,4,28,56,40,11,22,46,58,49,45,29,38,29,40,24,65,7,26,49,21,10,55,7,29,52,37,63,36,8,9,15,53,49,49,16,39,49,48,34,17,41,46,35,36,45,19,27,41,55,16,38,48,33,31,49,15,9,58,33,27,30,31,15,14,33,13,37,21,20,49,32,40,45,43,8,10,33,30,33,40,12,28,35,19,26,37,65,36,19,50,37,17,7,27,14,29,13,48,31,41,50,54,21,28,38,22,6,40,37,17,52,42,44,11,20,44,23,56,20,56,47,26,22,34,57,12,39,33,33,33,28,44,40,37,10,28,42,21,26,8,30,16,29,25,44,11,51,37,23,35,59,23,64,34,43,22,28,23,51,45,21,25,14,23,56,20,29,34,22,35,16,40,34,41,57,45,54,46,13,43,59,16,24,6,58,49,21,32,62,32,39,24,14,52,44,11,26,39,42,34,15,56,21,30,34,58,32,13,39,12,24,46,49,35,26,39,67,5,18,14,14,22,15,32,9,43,47,38,50,2,13,42,22,19,43,25,30,12,42,31,20,37,30,9,36,40,28,37,29,43,16,31,56,53,33,52,23,18,12,20,49,18,48,59,36,32,32,2,13,39,18,9,4,18,43,8,15,16,64,32,28,60,12,68,41,60,19,44,45,37,36,43,50,26,18,31,53,10,11,18,43,42,36,19,16,50,14,57,7,30,43,40
v8,76,9,58,48,69,40,29,0,33,51,51,19,40,51,75,33,40,74,16,37,52,27,41,46,36,5,78,20,23,52,34,32,81,64,36,65,27,22,42,32,44,78,43,68,78,65,27,46,56,75,24,39,18,14,56,70,34,35,63,77,56,60,54,44,38,87,8,54,39,58,42,33,4,40,40,48,13,56,57,39,58,28,37,39,62,33,4,69,37,5,16,32,7,66,44,65,46,79,26,46,26,26,43,2,24,45,60,28,29,27,48,57,51,29,31,69,66,26,81,53,73,24,37,35,52,47,47,31,26,17,7,17,46,25,68,30,62,62,57,51,59,66,39,57,43,22,31,35,41,43,58,54,55,38,80,66,52,64,38,32,37,11,30,39,57,52,80,68,50,54,41,8,55,17,42,21,51,64,45,69,41,22,38,74,27,49,28,60,44,45,13,33,87,78,48,27,37,61,68,31,19,49,73,40,55,68,37,63,44,39,48,37,5,35,45,42,68,17,5,75,38,64,55,50,46,28,47,43,17,31,26,59,38,26,76,45,47,27,26,71,11,48,72,36,59,39,71,20,49,66,59,38,27,63,5,12,56,72,37,60,85,82,62,25,52,15,23,27,24,11,63,32,31,41,61,29,42,46,45,20,33,45,42,35,30,45,41,39,31,89,41,41,70,37,46,61,74,66,61,72,79,55,47,60,82,37,22,47,72,71,65,34,23,79,17,48,24,59,72,69
v9,43,24,25,15,36,11,4,33,0,30,58,42,7,18,42,60,51,41,31,40,31,42,26,67,3,30,45,23,12,57,5,31,48,39,65,32,10,11,13,55,51,45,14,35,45,50,36,13,43,42,37,38,47,23,23,37,57,18,40,44,35,31,51,11,5,54,37,29,32,33,13,16,37,11,39,23,22,51,34,42,47,45,4,6,29,32,37,36,14,32,37,21,30,37,67,32,17,46,39,13,9,29,10,31,17,50,27,43,52,56,19,24,40,24,8,36,33,19,48,44,40,13,22,46,19,58,18,58,49,28,26,36,59,16,41,35,29,29,24,46,42,33,10,24,44,23,28,6,32,14,25,21,46,9,47,33,19,37,61,25,66,36,45,24,24,25,47,47,19,21,12,27,58,22,31,36,18,31,12,36,36,43,59,41,56,48,15,45,61,12,28,8,54,45,19,34,64,28,35,26,16,54,40,7,22,35,44,30,11,58,19,32,38,60,34,9,35,16,28,42,51,31,24,41,69,7,16,10,16,24,17,34,9,45,43,40,52,6,15,38,24,15,39,27,26,14,44,33,16,33,26,5,38,42,30,39,31,39,18,27,52,49,29,54,19,20,14,22,51,22,50,61,38,34,28,6,9,41,16,13,6,16,45,6,17,12,66,34,30,56,8,70,43,62,17,46,41,33,38,39,46,22,14,27,49,8,15,16,41,38,32,21,18,46,18,59,11,32,39,36
v10,25,42,33,23,18,41,28,51,30,0,28,32,37,36,24,30,21,23,35,14,1,24,10,37,31,48,27,31,28,27,35,19,30,13,35,30,24,29,43,25,21,27,44,29,27,20,24,21,13,24,27,12,35,41,19,19,27,16,12,26,5,9,21,23,27,36,55,3,12,7,43,18,55,41,11,7,38,21,6,12,17,23,26,24,13,18,55,18,16,50,35,19,48,15,37,24,47,28,25,29,25,25,28,49,35,20,23,23,22,26,49,36,10,22,22,18,15,25,30,14,22,27,14,16,35,28,48,28,25,34,44,34,29,34,17,21,27,11,26,16,12,15,20,38,14,29,20,36,10,44,13,23,16,39,29,15,41,13,31,19,36,40,21,12,24,5,29,17,11,43,42,45,28,34,9,30,40,29,24,18,10,29,29,23,26,18,23,15,31,18,46,22,36,27,49,24,34,16,17,20,32,24,22,33,26,19,14,26,19,28,49,14,56,30,6,31,17,34,46,24,21,17,6,11,39,23,14,36,34,20,25,8,21,25,25,10,22,28,25,24,40,37,21,15,10,16,20,31,34,15,14,35,24,12,46,39,5,23,14,9,34,31,17,26,15,36,28,24,27,40,20,31,20,10,10,30,37,11,46,31,24,46,15,36,21,28,36,12,20,38,24,40,19,32,47,16,23,21,10,21,28,34,26,13,31,38,33,46,21,22,26,17,28,28,36,29,29,8,21,18
