,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v211,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v231,v232,v233,v234,v235,v236,v237,v238,v239,v240,v241,v242,v243,v244,v245,v246,v247,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261,v262,v263,v264,v265,v266,v267,v268,v269,v270,v271,v272,v273,v274,v275,v276,v277,v278,v279,v280,v281,v282,v283,v284,v285,v286,v287,v288,v289,v290,v291,v292,v293,v294,v295,v296,v297,v298,v299,v300,v301,v302,v303,v304,v305,v306,v307,v308,v309,v310,v311,v312,v313,v314,v315,v316,v317,v318,v319,v320
v1,0,57,42,35,36,52,32,34,32,10,33,18,42,11,70,26,52,36,79,38,21,27,32,3,13,11,13,25,8,35,25,40,36,11,34,15,9,16,22,38,41,2,65,46,31,6,47,50,37,60,41,30,69,34,51,10,29,10,37,58,49,31,71,61,25,24,70,15,5,26,53,22,32,24,12,49,23,49,60,21,32,12,52,48,54,25,12,65,45,34,32,20,20,37,8,21,63,48,42,25,48,19,22,27,18,33,62,18,44,57,19,4,40,7,31,63,47,42,17,71,23,32,45,36,5,35,52,80,17,43,12,42,22,37,52,33,45,44,14,21,16,48,11,58,72,41,25,25,47,35,75,55,7,44,18,13,7,34,21,25,59,39,39,13,37,32,22,42,10,57,57,46,51,39,40,30,27,29,31,6,15,16,64,18,38,67,42,42,46,41,39,3,25,16,38,61,20,35,29,48,53,61,13,19,53,45,77,36,54,45,42,23,12,18,31,44,50,62,71,60,48,14,23,51,36,43,31,21,38,32,40,58,40,53,10,26,19,47,43,63,24,26,61,68,40,53,15,41,7,58,39,48,38,16,25,22,13,33,8,9,10,35,6,51,29,42,2,49,37,56,54,34,15,15,43,24,11,19,23,52,17,52,33,45,70,39,4,27,10,45,41,3,26,58,37,55,32,7,33,73,54,58,50,11,40,9,15,20,51,31,12,27,22,33,14,56,48,46,70,43
v2,57,0,59,22,21,11,49,23,25,67,50,39,19,68,13,45,5,53,22,19,58,30,39,54,44,52,44,32,61,22,32,17,21,56,35,60,48,43,35,19,38,55,22,31,26,57,16,33,20,7,26,45,12,41,34,51,28,51,34,13,20,26,22,10,42,33,13,72,52,31,8,35,27,45,55,8,42,38,31,38,49,49,5,9,3,50,45,26,46,39,25,37,43,38,65,36,6,33,51,32,27,50,35,30,39,24,15,39,27,6,38,57,53,50,26,6,14,41,40,14,34,31,28,53,58,22,35,23,62,28,47,59,35,28,5,24,12,45,43,36,45,31,48,25,17,58,32,32,10,22,18,18,54,19,39,44,50,29,38,38,4,48,34,54,20,37,43,31,47,26,4,21,12,44,17,39,30,32,26,55,42,41,23,45,45,24,31,47,11,22,52,58,42,41,21,24,37,52,40,31,12,20,52,38,30,28,20,21,9,12,27,34,45,49,48,15,11,5,20,23,9,43,34,42,53,16,48,36,19,45,57,21,57,40,67,31,38,30,16,6,33,31,16,13,23,14,46,16,50,33,18,13,55,51,32,35,44,26,65,62,61,32,61,6,46,21,57,26,54,13,15,49,42,72,14,45,56,40,34,25,40,13,50,40,21,56,61,30,47,18,32,60,43,11,20,16,33,50,28,18,5,17,21,46,17,56,62,37,26,26,53,30,35,34,43,29,21,11,17,26
v3,42,59,0,75,46,70,10,68,60,44,9,26,78,45,50,68,54,6,49,56,63,45,74,45,55,31,35,53,50,45,43,42,50,53,76,57,43,58,56,68,83,42,37,88,51,48,43,92,57,66,33,72,57,76,93,52,53,32,25,46,39,43,41,49,17,36,46,49,47,54,67,60,32,66,54,59,65,21,30,21,10,54,62,62,60,67,52,35,15,76,52,26,22,21,40,33,59,26,12,33,32,23,52,61,58,57,44,44,86,53,25,46,10,43,59,63,73,18,59,45,37,74,87,6,37,77,94,50,59,31,54,4,38,79,56,43,53,14,50,45,26,90,31,34,42,3,65,45,65,63,45,41,35,40,52,29,49,30,21,21,63,11,25,29,75,74,64,28,44,33,55,80,47,15,66,20,29,71,39,36,29,34,36,24,14,37,84,12,68,37,9,45,17,42,80,35,46,9,19,90,71,39,55,47,29,87,47,48,50,63,84,35,30,60,11,74,70,58,41,36,60,38,55,21,6,75,11,37,60,74,2,38,4,23,46,52,27,89,43,53,46,32,43,46,82,73,27,63,37,28,75,46,4,26,37,58,45,33,44,51,34,77,48,61,15,38,44,33,7,46,44,10,39,45,63,18,31,61,31,34,55,46,11,19,40,3,44,49,38,41,83,41,16,48,69,43,74,39,31,43,54,42,38,31,72,33,57,44,33,57,30,53,40,25,42,30,38,54,42,85
v4,35,22,75,0,29,17,65,7,15,45,66,49,7,46,35,23,21,69,44,19,36,30,17,32,22,44,40,22,39,30,32,33,25,34,13,38,32,21,19,7,16,33,38,13,24,35,32,17,18,25,42,23,34,19,18,29,22,43,50,29,36,32,38,26,58,39,35,50,30,21,18,15,43,23,33,16,20,54,47,54,65,27,17,13,19,28,23,42,62,17,23,49,53,54,43,42,28,49,67,42,43,52,23,14,17,18,31,31,11,22,50,35,69,32,16,28,12,57,18,36,38,9,12,69,38,2,19,45,40,44,25,75,37,6,19,32,22,61,25,30,49,15,44,41,37,74,10,30,12,12,40,34,40,35,23,46,28,45,54,54,24,64,50,46,2,15,21,47,31,42,22,11,28,60,9,55,46,10,36,39,46,41,39,51,61,40,9,63,11,38,68,36,58,33,5,40,29,68,56,15,18,36,30,28,46,12,42,27,25,12,9,40,45,27,64,9,15,27,36,39,15,37,20,58,69,8,64,38,15,23,73,37,73,56,45,23,48,14,32,28,29,43,32,33,7,18,48,12,38,49,4,29,71,49,38,17,30,42,43,40,43,10,39,16,62,37,35,42,70,29,31,65,36,50,12,57,44,18,44,41,20,29,66,56,37,72,39,26,37,34,10,38,59,27,6,32,11,36,44,38,21,33,37,44,5,42,40,31,42,18,45,22,35,50,33,45,37,21,35,10
v5,36,21,46,29,0,24,36,22,14,46,37,20,32,47,34,24,16,40,43,10,37,9,28,33,23,31,23,11,40,1,11,4,4,35,30,39,27,22,14,22,37,34,29,42,5,36,11,46,11,24,13,26,33,30,47,30,7,30,21,22,13,5,35,25,29,12,34,51,31,10,21,14,14,24,34,13,21,25,24,25,36,28,16,16,18,29,24,29,33,30,6,20,24,25,44,15,27,20,38,13,14,29,14,15,18,11,26,18,40,21,21,36,40,29,13,27,27,28,19,35,13,28,41,40,37,31,48,44,41,15,26,46,14,33,16,3,9,32,22,15,24,44,27,22,36,45,19,11,19,17,39,19,33,8,18,23,29,16,25,25,23,35,21,33,29,28,22,18,26,21,21,34,15,31,20,26,17,25,7,34,21,20,28,24,32,31,38,34,22,9,39,37,29,20,34,25,16,39,27,44,25,25,31,17,17,41,41,2,18,17,38,13,24,28,35,28,24,26,35,24,14,22,13,29,40,29,35,15,14,28,44,22,44,27,46,10,19,43,7,27,12,14,25,32,36,27,25,17,29,22,29,12,42,30,11,14,23,13,44,41,40,31,40,15,33,8,36,13,41,20,18,36,21,51,17,28,35,19,15,16,19,16,37,27,34,43,40,9,26,9,37,39,30,22,23,19,28,29,15,37,18,22,14,25,26,35,41,16,15,11,32,9,14,21,22,20,12,10,34,39
v6,52,11,70,17,24,0,60,18,20,62,61,44,10,63,20,40,16,64,27,14,53,25,34,49,39,47,39,27,56,25,27,28,20,51,30,55,43,38,30,14,33,50,33,26,21,52,27,24,15,8,37,40,17,36,23,46,23,46,45,24,31,27,33,21,53,34,24,67,47,26,3,30,38,40,50,11,37,49,42,49,60,44,8,8,10,45,40,37,57,34,20,44,48,49,60,37,11,44,62,37,38,47,30,25,34,19,26,34,16,17,45,52,64,45,21,11,5,52,35,25,33,26,17,64,53,17,24,28,57,39,42,70,32,23,14,27,17,56,38,31,44,22,43,36,28,69,27,27,5,17,29,29,49,30,34,41,45,40,49,49,7,59,45,49,15,32,38,42,42,37,15,10,23,55,12,50,41,27,31,50,41,36,34,46,56,35,26,58,6,33,63,53,53,36,14,35,32,63,51,24,1,31,47,33,41,17,27,22,20,7,22,35,40,44,59,8,2,12,31,34,10,38,29,53,64,9,59,33,14,40,68,32,68,51,62,26,43,21,27,17,28,38,27,24,14,3,43,11,45,44,13,24,66,46,33,30,39,37,60,57,56,27,56,9,57,32,52,37,65,24,26,60,37,67,9,52,51,35,39,36,35,24,61,51,32,67,56,25,42,29,27,55,54,22,15,27,28,45,39,29,16,28,32,41,12,51,57,32,37,21,48,25,30,45,38,40,32,16,28,17
v7,32,49,10,65,36,60,0,58,50,40,5,16,68,41,40,58,44,4,49,46,53,35,64,35,45,25,25,43,40,35,33,32,40,43,66,47,33,48,46,58,73,32,35,78,41,38,33,82,47,56,23,62,47,66,83,42,43,24,15,36,29,33,41,39,11,26,40,45,37,44,57,50,22,56,44,49,55,19,30,11,2,44,52,52,50,57,42,35,15,66,42,16,16,11,38,23,49,18,12,23,22,23,42,51,48,47,34,34,76,43,15,36,10,33,49,53,63,12,49,41,27,64,77,4,31,67,84,50,49,21,44,10,28,69,46,33,43,14,40,35,18,80,21,28,42,9,55,35,55,53,45,31,27,30,42,19,39,20,11,11,53,9,15,27,65,64,54,18,34,27,45,70,37,9,56,10,19,61,29,28,19,24,34,18,8,37,74,12,58,27,9,35,9,32,70,31,36,9,9,80,61,31,45,37,23,77,47,38,40,53,74,25,20,50,11,64,60,48,41,30,50,28,45,21,4,65,7,27,50,64,8,28,8,23,40,42,17,79,33,43,36,22,33,38,72,63,19,53,27,28,65,36,6,24,27,48,35,23,38,41,34,67,38,51,15,28,34,23,7,36,34,4,29,45,53,18,29,51,21,24,45,36,11,15,40,7,34,39,28,31,73,33,8,38,59,33,64,29,21,43,44,32,28,21,62,29,47,34,23,47,26,43,30,15,32,26,28,44,40,75
v8,34,23,68,7,22,18,58,0,8,44,59,42,10,45,36,22,18,62,45,12,35,23,16,31,21,37,33,15,38,23,25,26,18,33,12,37,25,20,12,4,15,32,31,20,17,34,25,24,11,26,35,22,35,18,25,28,15,36,43,24,29,25,37,27,51,32,36,49,29,14,19,12,36,22,32,15,19,47,40,47,58,26,18,14,20,27,22,35,55,16,16,42,46,47,42,35,29,42,60,35,36,45,16,7,16,11,28,24,18,23,43,34,62,27,9,29,13,50,17,37,31,8,19,62,35,9,26,46,39,37,24,68,30,11,18,25,15,54,20,23,42,22,37,34,38,67,9,23,13,5,41,27,33,28,16,39,27,38,47,47,25,57,43,39,7,14,20,40,24,35,23,12,21,53,6,48,39,9,29,32,39,34,32,44,54,33,16,56,12,31,61,35,51,26,12,33,22,61,49,22,19,29,29,21,39,19,43,20,20,11,16,33,38,26,57,10,16,28,37,32,14,30,13,51,62,9,57,31,8,22,66,30,66,49,44,16,41,21,25,29,22,36,27,34,14,19,41,7,31,42,7,22,64,42,31,12,23,35,42,39,38,9,38,17,55,30,34,35,63,22,24,58,29,49,9,50,37,17,37,34,17,22,59,49,36,65,38,19,30,27,15,37,52,24,3,25,10,29,37,39,20,26,30,37,6,35,39,24,35,11,38,15,28,43,26,38,30,14,36,17
v9,32,25,60,15,14,20,50,8,0,42,51,34,18,43,38,20,20,54,47,6,33,15,14,29,19,29,25,7,36,15,17,18,10,31,16,35,23,18,10,8,23,30,33,28,9,32,17,32,5,28,27,20,37,16,33,26,7,28,35,26,21,17,39,29,43,24,38,47,27,6,21,10,28,20,30,17,17,39,32,39,50,24,20,16,22,25,20,33,47,16,8,34,38,39,40,27,31,34,52,27,28,37,10,5,14,3,30,16,26,25,35,32,54,25,1,31,15,42,15,39,23,14,27,54,33,17,34,48,37,29,22,60,22,19,20,17,13,46,18,15,34,30,29,26,40,59,7,15,15,3,43,23,29,20,14,31,25,30,39,39,27,49,35,31,15,14,18,32,22,27,25,20,19,45,8,40,31,11,21,30,31,26,32,36,46,35,24,48,14,23,53,33,43,18,20,29,14,53,41,30,21,29,27,13,31,27,45,12,22,13,24,25,30,24,49,14,18,30,39,28,16,22,9,43,54,15,49,23,6,20,58,26,58,41,42,8,33,29,17,31,14,28,29,36,22,21,33,9,25,34,15,16,56,34,23,10,19,27,40,37,36,17,36,19,47,22,32,27,55,24,22,50,21,47,11,42,31,15,29,26,15,20,51,41,38,57,36,11,22,19,23,35,44,26,9,23,14,25,29,41,22,26,22,29,12,31,37,16,27,3,30,7,20,35,18,30,22,14,38,25
v10,10,67,44,45,46,62,40,44,42,0,35,28,52,1,80,24,62,38,89,48,19,37,30,13,23,15,23,35,6,45,35,50,46,11,32,13,19,24,32,48,39,12,75,44,41,10,57,48,47,70,51,28,79,32,49,16,39,16,47,68,59,41,81,71,29,34,80,5,15,36,63,32,42,22,12,59,25,59,70,29,42,18,62,58,64,23,22,75,55,32,42,30,24,47,4,31,73,58,52,35,58,21,32,37,28,43,72,28,48,67,29,10,50,17,41,73,57,52,27,81,33,36,45,44,9,45,50,90,15,53,20,44,32,39,62,43,55,54,24,31,22,46,19,68,82,43,35,35,57,45,85,65,13,54,28,23,17,44,31,35,69,49,49,15,47,30,24,52,20,67,67,56,61,49,50,40,37,35,41,12,25,26,74,22,48,77,40,52,56,51,49,9,31,26,48,71,30,37,39,46,63,71,15,29,63,49,87,46,64,55,40,33,22,18,33,54,60,72,81,70,58,24,33,61,38,53,33,31,48,30,42,68,42,63,2,36,29,45,53,73,34,36,71,78,48,63,21,51,17,68,49,58,40,18,35,32,23,43,2,7,12,35,6,61,31,52,10,59,39,66,64,44,25,5,53,26,13,27,33,62,27,62,35,55,80,43,6,37,20,55,39,7,32,68,47,65,34,17,43,83,64,68,60,21,50,11,13,30,61,41,14,37,32,43,24,66,58,56,80,45
