,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v211,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v231,v232,v233,v234,v235,v236,v237,v238,v239,v240,v241,v242,v243,v244,v245,v246,v247,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261,v262,v263,v264,v265,v266,v267,v268,v269,v270,v271,v272,v273,v274,v275,v276,v277,v278,v279,v280,v281,v282,v283,v284,v285,v286,v287,v288,v289,v290,v291,v292,v293,v294,v295,v296,v297,v298,v299,v300,v301,v302,v303,v304,v305,v306,v307,v308,v309,v310,v311,v312,v313,v314,v315,v316,v317,v318,v319,v320
v1,0,17,9,15,31,18,20,18,15,15,38,15,23,40,50,27,31,24,43,29,37,23,19,13,13,28,24,39,26,4,3,38,29,26,18,58,27,26,29,17,42,63,23,17,31,26,17,55,8,26,9,27,43,29,33,22,25,20,36,13,25,13,35,34,44,21,20,24,41,36,16,28,38,14,35,42,8,34,32,23,31,22,18,13,29,19,51,44,28,6,16,9,37,30,35,9,15,30,44,25,16,53,14,19,26,50,20,28,32,24,27,30,15,41,24,5,50,34,33,44,43,19,13,18,20,25,26,11,29,60,22,34,15,24,41,31,39,32,44,49,17,20,25,9,35,40,19,33,32,28,23,49,32,17,49,10,30,10,28,45,24,22,53,13,29,21,28,31,49,25,34,27,30,18,37,21,41,6,38,18,35,13,16,10,41,29,16,27,36,26,56,57,30,19,19,50,9,26,22,20,16,45,47,31,19,25,12,11,8,24,33,44,24,23,12,38,27,52,30,31,40,27,23,35,17,20,25,30,35,20,25,27,18,53,43,9,7,19,16,22,42,17,22,41,36,37,25,56,27,38,37,62,25,34,31,12,54,45,26,14,30,32,30,7,14,25,36,8,37,27,40,41,17,28,19,31,38,7,18,16,48,35,15,16,20,10,52,16,36,29,11,5,47,38,61,28,24,13,34,32,31,36,19,30,41,16,17,4,39,29,29,56,22,15,34,14,25,35,7,36
v2,17,0,22,28,42,35,7,35,28,28,55,32,40,53,67,10,44,41,36,46,54,22,36,28,26,41,7,56,43,15,18,55,16,39,35,75,42,43,46,26,59,80,36,34,18,13,4,72,25,29,26,40,60,46,46,35,36,37,49,30,38,16,52,51,61,22,33,27,58,53,25,45,55,31,52,33,13,51,33,40,48,37,35,30,36,32,68,61,15,19,33,22,54,43,52,26,18,43,61,38,5,70,17,36,13,67,37,41,49,41,44,13,2,58,37,22,67,37,50,31,60,32,14,21,37,38,13,16,46,77,23,47,28,37,58,48,28,45,61,66,34,11,42,22,52,57,26,50,37,33,36,66,45,24,66,27,47,17,45,62,41,17,70,30,46,38,45,44,66,40,51,18,31,21,54,38,58,23,33,9,52,16,21,25,58,12,13,44,37,43,73,74,23,10,2,67,22,43,35,9,3,62,64,44,24,42,29,24,21,37,46,61,41,36,5,55,16,69,35,48,57,44,40,28,34,37,42,41,52,35,8,40,31,70,30,8,20,34,1,19,59,30,5,58,49,34,42,73,44,51,54,79,30,35,44,21,71,62,39,31,47,49,43,10,31,12,53,19,54,44,57,54,34,41,36,14,55,18,35,29,65,48,32,29,33,27,69,11,25,42,28,22,64,51,78,27,17,30,51,49,48,53,32,47,58,27,30,13,32,42,42,73,39,4,47,31,42,48,24,53
v3,9,22,0,18,40,27,29,27,12,6,47,24,32,31,59,18,22,33,52,38,46,14,28,22,4,19,17,48,35,13,12,47,38,25,27,67,34,35,38,26,51,72,20,26,40,35,26,64,17,35,18,36,52,38,24,15,34,29,27,22,34,22,44,43,53,30,11,33,50,45,25,37,47,23,44,51,17,43,41,32,40,29,27,22,38,24,60,53,37,7,25,4,46,21,44,18,24,31,53,24,25,62,23,28,35,59,29,23,41,33,36,21,22,50,15,14,59,43,42,53,52,10,22,9,29,28,35,6,38,69,13,25,10,25,50,40,48,23,53,58,26,29,34,18,44,49,28,42,41,37,14,58,29,26,58,19,39,19,37,54,33,31,62,22,38,30,37,22,58,34,43,18,39,27,46,30,50,15,47,27,44,6,25,17,50,20,25,36,45,35,65,66,39,12,24,59,14,35,13,29,25,54,56,22,10,34,21,12,9,23,24,53,33,14,17,47,36,61,39,40,49,36,32,44,26,29,34,39,44,27,16,30,27,62,52,16,4,28,21,31,51,10,21,50,27,46,34,65,36,29,46,71,34,43,34,3,63,54,17,23,39,41,35,14,23,34,45,3,46,36,49,32,26,31,28,22,47,16,27,7,57,44,24,7,11,19,61,11,45,20,20,14,56,29,70,37,15,22,43,41,40,45,22,39,50,7,20,9,48,20,30,65,31,24,35,23,34,30,16,45
v4,15,28,18,0,46,9,35,19,6,18,39,12,30,25,41,36,16,15,58,20,28,32,34,28,14,13,33,30,17,19,18,29,44,11,23,49,16,23,20,32,33,54,8,24,46,41,32,46,13,41,10,42,34,26,18,7,40,11,21,4,40,28,26,31,35,36,19,39,32,27,31,19,29,25,26,57,23,25,47,14,22,11,9,26,44,6,42,35,43,11,11,14,28,15,26,16,30,15,35,10,31,44,29,24,41,41,21,13,23,15,18,39,28,32,15,12,41,49,24,59,34,10,28,27,31,10,41,20,20,51,31,19,8,9,32,22,54,17,35,40,8,35,30,24,42,31,34,24,47,43,16,40,17,32,40,15,21,25,33,36,29,37,44,24,20,20,19,16,40,40,25,36,45,33,28,24,32,11,53,33,26,22,31,5,32,38,31,18,51,31,47,48,45,28,30,41,6,21,19,35,31,36,38,16,28,22,25,6,9,9,18,35,15,8,23,29,42,43,45,44,33,18,14,50,20,11,16,45,28,9,34,12,33,44,58,22,14,34,27,37,33,8,31,38,21,52,16,47,36,23,30,53,40,49,16,21,45,36,15,11,21,23,17,20,5,40,27,17,28,18,31,26,30,13,10,40,29,22,33,19,39,50,18,13,11,17,43,25,51,14,14,10,38,23,52,43,33,14,37,33,22,43,4,29,32,25,2,15,54,14,14,47,13,30,19,5,28,20,16,27
v5,31,42,40,46,0,45,39,27,46,46,13,34,16,71,37,52,62,39,12,52,54,48,12,18,44,59,49,34,33,27,28,17,30,57,23,35,58,23,40,16,17,38,54,22,24,33,38,30,33,13,36,4,38,20,64,53,6,41,67,44,6,26,54,15,39,20,51,15,44,25,17,41,25,21,44,11,29,37,9,32,44,53,49,20,6,50,26,19,31,37,35,40,58,61,60,30,24,61,25,56,37,28,25,22,31,25,25,59,63,43,36,55,40,38,55,34,25,5,26,13,18,50,28,43,15,56,29,36,30,35,47,65,46,55,22,50,14,63,43,24,48,31,16,22,10,43,16,52,5,9,54,36,63,18,28,31,59,25,13,20,17,25,38,22,38,26,33,62,24,6,29,52,11,21,34,22,26,35,9,33,20,38,21,41,48,54,29,48,5,15,31,32,19,44,44,35,40,25,53,33,41,20,24,62,44,24,21,42,39,55,64,51,37,54,37,51,26,27,7,6,15,56,34,14,26,45,38,1,18,51,50,58,13,42,14,34,38,12,41,23,23,48,47,16,67,8,32,31,10,69,16,37,12,7,62,39,37,34,57,35,43,25,61,32,43,30,31,37,36,42,27,72,16,59,38,56,47,24,13,47,47,6,28,47,51,29,29,41,17,60,32,36,42,69,36,15,49,32,9,13,58,11,50,17,28,45,48,31,10,60,60,35,35,38,65,41,18,66,30,59
v6,18,35,27,9,45,0,34,18,15,27,38,11,29,26,32,45,17,6,57,11,19,41,33,27,23,14,42,21,12,20,17,28,43,12,22,40,13,22,11,31,30,45,9,23,45,40,31,37,12,40,9,41,25,25,19,12,39,4,22,5,39,27,17,30,26,35,28,38,23,20,30,10,20,24,17,56,22,16,46,13,13,8,4,25,43,5,33,28,42,20,10,23,19,16,17,15,29,16,26,11,30,35,28,23,40,32,20,14,18,6,9,48,33,23,24,13,32,48,19,58,29,19,27,36,30,11,40,29,15,42,40,20,17,10,23,13,53,18,26,31,3,34,29,23,41,22,33,15,46,42,25,31,18,31,31,14,14,24,32,27,28,36,35,23,11,19,12,17,31,39,16,45,44,32,19,23,23,12,52,32,25,31,30,10,23,47,30,9,50,30,38,39,44,37,37,32,13,20,28,34,34,27,29,19,37,21,24,15,18,10,19,26,8,17,30,20,41,34,44,43,32,11,11,49,19,2,7,44,27,6,43,13,32,35,57,27,23,33,34,36,24,17,40,37,22,51,13,38,35,24,29,44,39,48,17,30,36,27,24,10,12,20,16,25,4,39,18,26,19,9,22,27,29,14,7,49,20,21,32,28,30,49,17,22,20,16,34,34,50,15,13,13,29,24,43,42,42,13,36,32,13,42,5,28,23,34,7,22,53,15,15,38,10,31,20,4,27,21,15,18
v7,20,7,29,35,39,34,0,32,35,35,52,29,37,60,64,17,51,38,33,43,51,29,33,25,33,48,12,53,40,16,17,52,9,46,32,72,47,40,43,23,56,77,43,31,15,6,3,69,22,26,25,37,57,43,53,42,33,34,56,33,35,13,49,48,58,19,40,24,55,50,22,42,52,28,49,30,12,48,30,37,45,42,38,27,33,39,65,58,8,26,30,29,51,50,49,23,15,50,58,45,4,67,14,33,8,64,34,48,52,38,41,20,7,55,44,23,64,34,47,26,57,39,11,28,34,45,10,23,43,74,30,54,35,44,55,45,25,52,58,63,37,8,39,19,49,54,23,47,34,30,43,63,52,21,63,24,48,14,42,59,38,14,67,27,43,35,42,51,63,37,48,25,28,18,51,35,55,24,30,6,49,23,18,30,55,17,10,41,34,40,70,71,20,17,5,64,29,40,42,6,4,59,61,51,31,39,26,31,28,44,53,58,38,43,12,52,13,66,32,45,54,45,37,25,31,34,39,38,49,40,13,47,28,67,25,13,27,31,8,16,56,37,8,55,56,31,39,70,41,58,51,76,27,32,51,28,68,59,46,28,44,46,50,15,32,9,50,26,51,41,54,61,31,48,33,19,52,15,32,36,62,45,29,36,40,24,66,18,22,49,25,25,61,58,75,24,24,27,48,46,47,50,39,44,55,34,37,20,29,49,49,70,36,5,54,30,39,55,21,50
v8,18,35,27,19,27,18,32,0,19,27,20,7,11,44,32,45,35,12,39,25,27,41,15,9,23,32,42,21,8,20,17,20,25,30,4,40,31,8,13,13,24,45,27,5,27,26,31,37,10,22,9,23,25,11,37,26,21,14,40,17,21,19,27,16,26,17,28,20,23,18,12,14,20,6,17,38,22,16,28,5,17,26,22,7,25,23,33,26,24,20,8,23,31,34,33,9,17,34,26,29,30,35,18,5,24,32,2,32,36,16,9,48,33,23,28,13,32,30,15,40,25,23,21,36,12,29,22,29,11,42,40,38,19,28,23,23,35,36,26,31,21,24,11,13,23,22,15,25,28,24,27,31,36,13,31,8,32,18,14,27,10,18,35,5,11,3,10,35,31,21,16,45,26,14,19,5,23,12,34,26,17,31,14,14,23,47,22,21,32,12,38,39,26,37,37,32,13,8,28,26,34,27,29,35,37,7,6,15,18,28,37,26,10,27,30,24,23,34,26,25,22,29,7,31,1,18,11,26,17,24,43,31,14,35,39,27,23,15,34,18,24,21,40,23,40,33,7,38,17,42,19,44,21,30,35,30,36,27,30,8,16,14,34,25,16,23,18,26,19,15,22,45,11,32,11,49,20,17,14,28,30,31,3,22,24,8,34,34,32,33,7,13,29,42,43,24,42,5,18,14,31,24,23,12,23,34,21,22,35,33,33,38,8,31,38,14,9,39,11,32
v9,15,28,12,6,46,15,35,19,0,12,39,12,30,25,47,30,16,21,58,26,34,26,34,28,8,13,27,36,23,19,18,35,44,13,23,55,22,23,26,32,39,60,8,24,46,41,32,52,13,41,10,42,40,26,18,7,40,17,21,10,40,28,32,31,41,36,13,39,38,33,31,25,35,25,32,57,23,31,47,20,28,17,15,26,44,12,48,41,43,9,13,8,34,15,32,16,30,19,41,12,31,50,29,24,41,47,21,13,29,21,24,33,28,38,9,12,47,49,30,59,40,4,28,21,31,16,41,14,26,57,25,19,2,13,38,28,54,17,41,46,14,35,30,24,42,37,34,30,47,43,10,46,17,32,46,15,27,25,33,42,29,37,50,24,26,20,25,16,46,40,31,30,45,33,34,24,38,11,53,33,32,16,31,5,38,32,31,24,51,31,53,54,45,22,30,47,6,23,13,35,31,42,44,16,22,22,25,4,7,11,18,41,21,8,23,35,42,49,45,44,37,24,20,50,20,17,22,45,32,15,28,18,33,50,58,22,8,34,27,37,39,2,27,38,21,52,22,53,36,23,34,59,40,49,22,15,51,42,11,11,27,29,23,20,11,40,33,11,34,24,37,26,30,19,16,34,35,22,33,13,45,50,18,7,5,17,49,19,51,14,14,10,44,23,58,43,27,14,37,33,28,43,10,29,38,19,8,15,54,14,18,53,19,30,23,11,28,20,16,33
v10,15,28,6,18,46,27,35,27,12,0,47,24,32,27,59,18,20,33,58,38,46,14,34,28,4,13,23,48,35,19,18,47,44,25,27,67,34,35,38,32,51,72,20,26,46,41,32,64,17,41,18,42,52,38,20,15,40,29,21,22,40,28,44,43,53,36,5,39,50,45,31,37,47,25,44,57,23,43,47,32,40,29,27,26,44,24,60,53,43,9,25,6,46,15,44,18,30,31,53,24,31,62,29,28,41,59,29,23,41,33,36,21,28,50,9,14,59,49,42,59,52,8,28,9,31,28,41,12,38,69,13,19,10,25,50,40,54,17,53,58,26,35,34,24,44,49,34,42,47,43,8,58,29,32,58,19,39,25,37,54,33,37,62,24,38,30,37,16,58,40,43,18,45,33,46,30,50,15,53,33,44,12,31,17,50,20,31,36,51,35,65,66,45,18,30,59,14,35,7,35,31,54,56,16,10,34,25,12,9,23,24,53,33,10,23,47,42,61,45,44,49,36,32,50,26,29,34,45,44,27,22,30,33,62,58,22,8,34,27,37,51,10,27,50,27,52,34,65,36,23,46,71,40,49,34,7,63,54,11,23,39,41,35,20,23,40,45,9,46,36,49,26,30,31,28,22,47,22,33,1,57,50,24,5,7,19,61,17,51,14,20,14,56,23,70,43,15,22,43,41,40,45,22,39,50,7,20,15,54,20,30,65,31,30,35,23,34,30,16,45
