,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v211,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v231,v232,v233,v234,v235,v236,v237,v238,v239,v240,v241,v242,v243,v244,v245,v246,v247,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261,v262,v263,v264,v265,v266,v267,v268,v269,v270,v271,v272,v273,v274,v275,v276,v277,v278,v279,v280,v281,v282,v283,v284,v285,v286,v287,v288,v289,v290,v291,v292,v293,v294,v295,v296,v297,v298,v299,v300,v301,v302,v303,v304,v305,v306,v307,v308,v309,v310,v311,v312,v313,v314,v315,v316,v317,v318,v319,v320
v1,0,47,65,29,11,39,32,45,40,51,61,23,62,21,37,25,35,36,58,42,27,39,28,32,61,32,11,50,41,50,41,28,31,59,28,67,17,44,32,41,49,46,17,37,37,19,34,33,58,59,57,34,23,27,31,23,30,35,5,49,18,30,16,41,36,30,38,29,10,58,45,21,60,46,41,60,50,38,40,43,38,21,41,13,61,45,45,56,65,38,29,47,37,48,7,21,65,40,25,10,55,43,45,11,30,9,28,48,55,34,12,35,42,42,26,18,12,45,27,13,21,36,56,49,22,36,17,43,27,26,16,45,62,8,34,51,30,8,67,52,2,37,36,25,42,4,15,40,16,42,34,26,18,15,30,34,38,23,64,33,17,37,11,30,42,10,15,37,15,35,68,20,7,64,52,69,56,35,16,8,49,30,22,38,30,30,37,23,22,44,36,30,47,31,40,27,14,13,35,21,47,22,55,19,10,9,46,48,68,5,28,19,79,13,35,22,48,54,52,8,50,40,31,17,63,60,20,19,29,47,30,26,22,13,69,28,28,39,44,10,53,55,32,8,20,53,62,22,20,31,39,10,5,50,6,65,12,43,29,10,46,39,47,50,29,11,43,39,71,10,13,49,35,37,33,49,18,30,12,35,16,64,28,35,13,46,53,52,14,64,25,41,32,70,35,78,14,46,40,65,29,8,59,31,8,14,4,21,35,27,45,6,33,38,5,5,41,40,62,7
v2,47,0,30,30,48,56,21,20,27,6,20,32,15,26,10,22,52,27,33,59,32,40,19,27,42,49,58,17,6,9,26,45,48,12,19,20,30,51,49,58,66,27,46,24,54,28,47,24,35,42,36,13,32,44,34,34,47,34,42,42,29,25,53,34,53,39,9,18,41,11,62,26,13,9,8,41,45,55,21,60,9,50,58,38,14,6,2,21,28,9,46,64,42,11,40,32,20,31,30,37,8,8,30,42,17,44,45,41,72,13,43,52,59,23,31,31,35,40,22,36,36,19,37,6,25,19,30,38,20,43,31,8,15,41,13,68,43,55,36,29,45,20,19,22,51,51,56,49,41,15,23,21,29,32,17,19,21,40,17,34,54,10,58,47,59,37,32,18,32,14,23,37,48,17,49,30,15,12,43,55,36,17,25,19,23,27,36,40,29,3,41,17,16,24,53,20,41,34,52,36,4,39,12,28,37,38,49,65,21,44,19,28,32,42,24,37,65,21,5,47,3,35,48,52,20,27,33,36,30,36,37,33,45,40,22,27,45,34,61,45,18,42,19,39,37,46,31,39,35,48,36,45,52,7,53,32,45,60,26,37,41,54,6,49,40,36,32,22,32,51,60,12,12,20,14,14,39,31,35,46,43,21,19,20,46,29,16,17,33,25,22,14,35,23,52,31,61,53,57,24,18,39,26,48,55,55,45,38,12,20,24,41,32,17,52,52,58,7,35,48
v3,65,30,0,36,66,36,45,20,25,36,10,50,15,44,28,40,36,29,7,37,38,26,41,45,12,35,76,15,26,21,24,53,58,28,37,14,48,21,53,42,36,19,64,28,48,46,31,46,7,12,8,37,42,38,34,42,57,30,60,16,47,35,71,24,49,35,27,36,59,23,40,44,23,21,38,11,15,33,25,30,37,68,36,56,24,36,32,9,2,33,44,40,28,19,58,50,10,25,40,55,28,38,20,60,35,62,51,17,42,43,61,50,43,23,39,49,53,20,38,54,44,49,9,24,43,49,48,22,38,53,49,38,23,59,31,38,35,73,6,13,63,50,49,40,23,69,74,25,59,23,31,39,47,50,41,47,27,54,23,32,72,28,76,59,35,55,50,48,50,30,7,47,66,17,19,4,15,38,61,73,16,35,43,27,43,45,28,48,47,33,29,35,18,44,25,38,59,52,32,54,34,57,18,46,55,56,19,35,11,62,37,46,14,60,48,55,35,11,25,65,31,25,44,70,10,5,45,46,48,18,35,39,63,58,8,37,49,26,31,63,12,12,45,57,45,16,3,47,53,52,26,63,70,37,71,2,63,30,44,55,19,26,36,19,36,54,22,52,6,69,78,18,30,50,36,16,57,35,53,30,61,9,37,48,64,19,14,13,51,5,40,24,33,17,40,13,79,23,41,6,38,57,6,40,73,73,63,44,34,38,20,59,32,27,70,70,40,35,5,66
v4,29,30,36,0,30,26,45,16,11,36,32,36,33,10,24,24,22,7,29,29,2,10,41,45,32,19,40,21,26,21,12,17,22,30,13,38,12,21,19,28,36,17,28,8,24,30,17,46,29,30,28,37,6,14,4,6,21,6,24,20,11,5,35,12,23,9,27,18,23,29,32,18,31,21,38,31,21,25,11,30,37,32,28,20,32,36,32,27,36,33,16,34,12,19,22,34,36,11,4,19,28,38,16,24,27,26,15,19,42,43,25,22,29,13,3,31,17,16,8,18,8,49,27,24,13,49,22,14,16,17,27,38,33,23,17,38,13,37,38,23,27,50,49,28,21,33,38,19,23,15,7,39,19,20,41,47,9,18,35,4,36,20,40,23,29,19,28,48,14,16,39,11,30,35,23,40,27,38,29,37,20,29,29,11,43,43,8,12,35,33,11,21,18,44,23,20,27,16,22,34,34,21,26,10,19,20,19,35,39,26,35,14,50,24,48,35,35,25,25,29,31,11,18,34,34,31,9,10,42,18,7,3,27,22,40,3,15,10,31,27,24,26,45,21,9,24,33,11,33,18,10,27,34,37,35,36,27,30,42,19,17,24,36,21,10,20,14,52,42,33,42,20,22,50,36,20,31,1,21,16,25,35,31,48,28,17,24,23,15,35,32,16,5,41,22,49,43,23,27,36,38,21,30,18,37,37,27,8,34,18,16,23,4,13,34,34,28,35,33,30
v5,11,48,66,30,0,30,43,46,41,52,62,34,63,22,38,26,30,37,59,31,28,40,39,43,62,31,10,51,42,51,42,17,20,60,29,68,18,45,21,30,38,47,6,38,26,28,35,44,59,60,58,35,24,28,32,24,19,36,16,50,19,31,5,42,25,31,39,30,21,59,34,22,61,47,42,61,51,33,41,36,39,10,30,10,62,46,46,57,66,39,22,36,38,49,12,32,66,41,26,11,56,44,46,22,31,4,17,49,44,41,5,24,31,43,27,29,13,46,28,12,22,47,57,50,23,47,20,44,28,15,25,46,63,7,35,40,31,7,68,53,11,48,47,26,43,13,8,41,7,43,35,37,19,18,39,45,39,12,65,34,6,38,10,19,31,17,26,46,16,36,69,19,18,65,53,70,57,36,27,11,50,31,27,39,41,41,38,18,33,45,37,31,48,42,41,28,25,14,34,32,48,11,56,20,11,10,47,37,69,16,33,20,80,6,46,33,37,55,53,19,51,41,22,6,64,61,21,20,40,48,31,27,11,8,70,29,17,40,41,3,54,56,43,19,21,54,63,19,31,20,40,21,6,51,11,66,3,44,40,13,47,40,48,51,30,18,44,50,72,3,12,50,36,48,34,50,29,31,19,36,5,65,29,46,2,47,54,53,15,65,30,42,33,71,26,79,13,47,29,66,36,15,60,26,9,7,7,22,36,28,46,11,34,39,12,14,30,41,63,4
v6,39,56,36,26,30,0,71,36,29,62,36,62,41,36,50,50,4,29,29,3,24,16,67,71,32,7,40,39,52,47,30,17,22,54,39,40,36,15,17,6,10,29,28,32,12,56,9,72,29,30,28,63,24,12,22,22,21,22,44,20,31,31,35,22,13,17,53,44,49,49,6,44,49,47,64,31,21,3,35,6,63,32,2,26,50,62,58,35,36,59,10,8,14,45,40,60,36,25,26,39,54,64,26,50,53,30,15,19,16,69,27,14,7,33,25,57,39,16,34,26,20,75,27,50,39,75,48,18,42,17,53,64,49,31,43,12,13,37,38,27,39,76,75,54,13,41,38,11,23,41,33,65,45,46,67,73,35,18,49,22,36,46,40,23,3,45,54,74,34,42,39,19,46,43,23,40,41,64,55,39,20,55,55,37,69,69,20,16,61,59,15,47,40,70,11,46,53,28,4,60,60,21,44,34,33,36,17,9,39,44,61,40,50,26,74,61,9,35,51,47,57,21,8,34,36,31,23,20,68,20,19,23,27,26,40,29,13,22,11,29,38,26,71,47,19,24,33,17,59,16,20,49,34,63,39,36,27,14,68,41,17,10,62,21,16,46,24,78,42,33,42,44,48,76,62,42,57,25,47,10,25,35,57,74,28,27,40,39,33,35,58,42,21,43,4,49,43,17,5,36,64,43,30,8,37,37,35,18,60,44,32,39,24,39,40,42,4,61,33,32
v7,32,21,45,45,43,71,0,35,42,25,35,11,36,35,21,21,67,42,48,74,47,55,4,6,57,64,41,32,19,24,41,60,63,33,32,41,35,66,64,73,81,42,49,39,69,15,62,3,50,57,51,8,47,59,49,49,62,49,27,57,40,40,48,49,68,54,18,27,22,32,77,27,34,24,15,56,60,70,36,75,12,53,73,45,35,19,19,36,43,12,61,79,57,26,31,11,39,46,45,32,29,17,45,21,18,41,60,56,87,8,44,67,74,38,46,14,32,55,37,45,51,8,52,23,32,10,23,53,29,58,18,19,36,40,28,83,58,38,51,44,32,5,4,17,66,30,47,64,48,30,38,6,26,25,4,2,36,55,38,49,49,25,43,62,74,26,17,11,37,29,42,52,27,38,64,45,30,9,22,34,51,16,16,34,2,6,51,55,10,18,56,24,31,3,68,25,20,43,67,15,21,54,29,37,38,35,64,80,42,27,10,31,53,45,3,16,80,36,26,26,24,50,63,49,37,42,48,51,9,51,52,48,54,45,43,42,60,49,76,42,33,57,2,24,52,61,46,54,14,63,51,24,37,24,32,47,44,75,5,30,56,69,21,64,55,25,47,7,47,42,39,27,23,11,9,29,18,46,24,61,48,38,14,3,45,44,31,32,38,40,13,29,50,44,67,52,42,68,72,39,7,28,41,63,34,46,36,53,11,27,39,32,47,32,31,31,73,14,50,39
v8,45,20,20,16,46,36,35,0,7,26,16,30,17,24,14,20,32,9,13,39,18,20,31,35,22,29,56,5,16,11,6,33,38,18,17,22,28,31,33,38,46,7,44,8,34,26,27,36,15,22,16,27,22,24,14,22,37,14,40,22,27,15,51,14,33,19,17,16,39,13,42,24,15,11,28,21,25,35,5,40,27,48,38,36,16,26,22,11,20,23,26,44,22,9,38,30,20,11,20,35,18,28,10,40,17,42,31,21,52,33,41,32,39,3,19,29,33,20,18,34,24,39,17,14,23,39,28,18,18,33,29,28,17,39,11,48,23,53,22,9,43,40,39,20,31,49,54,29,39,5,11,29,27,30,31,37,7,34,19,14,52,10,56,39,39,35,30,38,30,10,23,27,46,19,29,24,11,28,41,53,16,19,23,7,33,33,16,28,27,23,21,15,4,34,33,18,39,32,32,34,24,37,10,26,35,36,29,45,23,42,25,26,34,40,38,35,45,9,15,45,21,15,28,50,18,15,25,26,32,16,17,19,43,38,24,17,29,14,41,43,8,22,35,37,25,26,17,27,33,32,16,43,50,27,51,20,43,40,32,35,21,34,26,29,20,34,12,42,26,49,58,8,12,40,26,6,37,15,33,26,41,19,21,38,44,9,8,7,31,19,22,6,15,25,32,33,59,33,37,20,28,37,14,28,53,53,43,24,24,18,4,39,12,7,50,50,38,25,17,46
v9,40,27,25,11,41,29,42,7,0,33,21,33,22,19,21,21,25,4,18,32,13,13,38,42,21,22,51,10,23,18,1,28,33,25,12,27,23,24,28,31,39,6,39,3,27,27,20,43,18,19,17,34,17,17,9,17,32,7,35,15,22,10,46,7,26,12,24,15,34,20,35,19,20,18,35,20,18,28,6,33,34,43,31,31,21,33,29,16,25,30,19,37,15,16,33,31,25,4,15,30,25,35,5,35,24,37,26,14,45,40,36,25,32,4,14,28,28,13,13,29,19,46,16,21,18,46,23,11,13,28,24,35,22,34,14,41,16,48,27,12,38,47,46,25,24,44,49,22,34,12,6,36,22,25,38,44,6,29,24,7,47,17,51,34,32,30,25,45,25,13,28,22,41,24,22,29,16,35,36,48,9,26,26,8,40,40,9,23,32,30,14,18,11,41,26,17,34,27,25,31,31,32,15,21,30,31,22,38,28,37,32,21,39,35,45,32,38,14,22,40,28,8,21,45,23,20,20,21,39,9,10,14,38,33,29,12,24,7,34,38,13,15,42,32,20,19,22,22,30,27,9,38,45,34,46,25,38,33,39,30,14,27,33,22,13,29,5,49,31,44,53,15,19,47,33,13,32,10,28,19,36,24,28,45,39,6,13,12,26,24,29,13,8,30,25,38,54,26,30,25,35,32,19,21,48,48,38,19,31,15,5,34,7,10,45,45,31,32,22,41
v10,51,6,36,36,52,62,25,26,33,0,26,36,21,30,14,26,58,33,39,65,38,46,23,31,48,55,62,23,10,15,32,51,54,8,23,22,34,57,55,64,72,33,50,30,60,32,53,28,41,48,42,17,38,50,40,40,53,40,46,48,33,31,57,40,59,45,13,22,45,13,68,30,13,15,10,47,51,61,27,66,13,54,64,42,12,6,6,27,34,13,52,70,48,17,44,36,26,37,36,41,8,8,36,46,21,48,51,47,78,17,47,58,65,29,37,35,39,46,28,40,42,17,43,12,29,15,34,44,24,49,35,6,13,45,19,74,49,59,42,35,49,20,23,26,57,55,60,55,45,21,29,25,33,36,21,23,27,46,13,40,58,16,62,53,65,41,36,14,36,20,29,43,52,19,55,36,21,16,47,59,42,21,29,25,27,31,42,46,33,7,47,21,22,28,59,24,45,38,58,40,4,45,18,32,41,42,55,71,25,48,23,32,28,46,28,41,71,27,11,51,5,41,54,56,26,33,39,42,34,42,43,39,49,44,28,33,51,40,67,49,24,48,23,43,43,52,37,45,39,54,42,49,56,1,57,38,49,66,30,41,47,60,4,55,46,40,38,18,38,55,64,18,16,14,18,20,43,37,39,52,47,27,23,24,50,35,22,23,37,31,26,20,41,19,58,29,65,59,63,30,22,43,32,54,59,59,49,44,16,24,30,45,38,23,56,56,64,11,41,52
