,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v211,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v231,v232,v233,v234,v235,v236,v237,v238,v239,v240,v241,v242,v243,v244,v245,v246,v247,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261,v262,v263,v264,v265,v266,v267,v268,v269,v270,v271,v272,v273,v274,v275,v276,v277,v278,v279,v280,v281,v282,v283,v284,v285,v286,v287,v288,v289,v290,v291,v292,v293,v294,v295,v296,v297,v298,v299,v300,v301,v302,v303,v304,v305,v306,v307,v308,v309,v310,v311,v312,v313,v314,v315,v316,v317,v318,v319,v320
v1,0,43,38,49,51,16,14,29,12,62,28,36,9,42,70,57,3,20,23,56,17,19,62,30,41,41,5,43,57,32,25,26,26,46,64,25,37,34,35,49,55,29,24,48,30,8,52,28,36,10,13,45,33,42,12,53,26,56,19,22,37,9,42,28,55,50,15,63,19,46,34,38,21,18,68,57,28,49,62,35,63,44,10,32,13,33,31,25,30,25,51,18,18,47,42,12,29,16,33,6,43,58,42,22,21,25,12,51,42,28,4,16,62,51,34,45,33,42,29,41,49,61,65,21,16,10,35,44,27,32,31,9,38,19,20,38,62,52,52,35,7,21,23,52,41,10,28,8,53,12,23,18,57,30,26,42,19,57,64,46,37,57,45,51,46,26,40,54,58,29,28,15,8,43,18,19,45,42,38,40,27,24,23,17,28,45,37,31,47,48,28,21,54,36,24,7,1,33,13,27,45,64,44,25,7,21,24,66,11,33,20,9,47,14,44,14,32,7,53,31,49,54,16,41,32,43,4,23,51,16,26,16,30,47,43,58,38,59,26,20,30,32,26,11,49,26,40,54,54,35,26,17,41,59,24,20,44,58,18,15,15,41,51,17,4,36,22,33,12,60,29,48,50,26,5,33,6,2,65,47,16,41,37,37,24,18,15,35,35,49,34,58,28,34,17,26,13,44,11,58,53,40,15,13,16,49,39,57,36,24,30,28,31,6,50,43,9,23,7,18
v2,43,0,35,22,8,27,47,14,39,19,41,23,48,9,27,14,44,23,50,13,26,34,19,13,20,36,48,16,30,55,48,27,17,17,37,50,20,23,38,22,28,48,41,11,51,35,25,15,51,45,30,18,10,15,35,14,53,19,32,49,22,52,39,25,28,23,28,36,26,9,55,29,34,33,41,20,49,30,35,42,20,1,53,51,38,34,12,62,43,38,8,43,39,8,37,49,42,37,48,49,42,31,1,21,30,28,55,24,13,21,45,51,35,26,9,8,30,17,54,14,22,34,22,64,57,33,18,13,44,27,32,34,5,46,47,19,19,9,21,8,50,48,20,9,2,53,19,47,26,55,30,29,22,27,45,15,30,14,37,19,22,30,32,36,19,39,45,11,15,50,37,42,35,38,25,62,8,45,37,39,60,19,50,34,39,44,6,20,30,11,19,32,19,37,19,46,42,46,56,24,30,21,9,50,40,22,43,39,38,16,23,34,20,49,29,29,33,36,10,30,24,33,49,12,39,18,47,42,28,43,33,33,35,20,16,15,5,16,49,33,23,15,23,38,38,17,9,27,21,38,43,32,22,32,45,25,37,31,61,28,30,16,30,58,43,53,41,56,31,17,56,21,23,25,40,10,37,41,22,32,59,36,50,32,19,57,54,28,8,22,17,19,55,9,26,19,56,17,42,31,26,5,28,30,33,6,10,14,7,51,33,15,12,43,7,32,52,32,40,61
v3,38,35,0,57,29,22,42,21,32,24,36,44,43,26,32,39,39,28,23,34,21,19,30,36,49,3,43,51,65,50,43,34,24,18,72,45,45,12,43,57,63,43,14,46,46,30,60,22,46,40,25,53,27,20,26,21,18,18,19,44,13,47,50,10,63,58,23,71,27,44,50,6,17,20,76,19,44,11,70,7,33,34,48,46,33,41,39,57,38,33,41,38,34,43,4,44,37,22,43,44,51,66,36,28,29,13,50,59,48,14,40,46,70,59,30,43,5,50,49,49,57,69,31,59,52,28,17,48,39,8,7,29,38,23,18,16,34,28,14,33,45,17,31,38,33,48,16,42,61,50,15,20,19,38,12,50,19,29,72,54,45,65,7,59,54,12,48,38,36,15,36,23,30,51,20,57,27,50,46,48,55,20,45,29,36,53,37,39,55,24,36,29,16,2,26,41,37,41,51,11,53,32,26,15,35,29,38,74,33,41,18,29,55,44,52,24,6,31,45,7,57,62,44,47,6,51,42,15,13,22,34,22,38,55,51,40,34,25,44,18,12,20,12,33,57,22,44,62,16,3,38,27,13,67,14,18,52,66,56,23,25,19,59,53,38,48,36,51,26,22,21,56,58,34,35,29,32,36,27,55,54,49,45,45,30,52,49,7,43,57,42,20,20,36,21,34,51,52,37,66,61,30,23,25,28,29,25,25,38,16,8,20,25,38,42,5,47,31,35,56
v4,49,22,57,0,28,41,45,36,61,37,39,21,46,31,29,18,52,29,72,23,40,56,27,21,18,58,50,6,8,53,46,25,33,39,19,48,18,45,36,6,18,46,63,11,49,57,3,35,49,43,42,14,30,37,57,36,75,41,54,47,44,50,37,47,16,19,40,16,30,13,53,51,56,55,19,42,47,52,17,64,24,23,51,49,36,32,18,60,41,36,16,41,37,14,59,47,40,59,46,49,40,11,21,29,28,50,53,2,9,43,53,49,21,24,27,14,52,15,52,12,20,24,26,62,55,51,40,9,42,49,54,40,19,68,69,41,23,29,43,24,48,70,26,19,24,51,41,45,6,53,52,51,44,25,67,11,52,28,15,3,20,26,54,34,9,61,43,19,21,72,35,64,43,36,37,60,30,43,35,37,58,37,48,32,37,42,20,18,28,33,21,30,41,59,31,44,50,44,54,46,28,25,31,72,42,28,41,19,60,16,39,54,18,47,27,51,55,56,12,52,22,31,47,10,61,16,49,64,50,65,31,55,33,2,6,17,23,32,47,55,45,37,45,38,36,35,13,25,43,60,41,32,44,18,67,47,35,13,59,46,34,38,28,56,45,51,39,54,37,37,78,13,17,23,54,28,45,49,34,30,57,34,48,30,27,55,52,50,14,10,15,41,77,21,44,23,54,7,40,25,20,27,48,52,33,28,32,32,19,73,55,37,32,43,15,54,50,30,56,59
v5,51,8,29,28,0,35,55,22,45,11,49,31,56,9,19,10,52,31,44,5,34,32,11,21,28,30,56,22,36,63,56,35,25,11,43,58,28,17,46,28,34,56,35,17,59,43,31,23,59,53,38,24,18,9,39,8,47,13,32,57,16,60,47,23,34,29,36,42,34,15,63,23,30,33,47,14,57,24,41,36,12,7,61,59,46,42,20,70,51,46,12,51,47,14,31,57,50,35,56,57,50,37,9,29,38,26,63,30,19,23,53,59,41,34,17,14,24,25,62,22,30,40,14,72,65,41,16,19,52,21,26,42,13,40,41,13,11,1,15,16,58,42,28,9,10,61,23,55,32,63,28,33,16,35,39,21,32,6,43,25,30,36,26,44,25,33,53,9,7,44,45,36,43,46,33,70,6,53,45,47,68,27,58,42,47,52,14,28,38,5,27,40,13,31,27,54,50,54,64,24,38,13,7,44,48,30,51,45,46,24,31,42,28,57,37,37,27,44,16,24,32,41,57,18,33,26,55,36,22,37,41,35,43,26,22,11,13,8,57,31,21,19,25,46,46,25,15,35,15,32,51,40,16,38,39,31,45,37,69,36,38,10,38,66,51,61,49,64,39,9,50,27,29,33,48,18,45,49,14,40,67,44,58,40,27,65,62,22,16,28,25,13,49,17,34,27,64,23,50,37,32,11,36,38,41,2,12,6,15,45,27,23,20,51,13,26,60,40,48,69
v6,16,27,22,41,35,0,20,13,20,46,20,28,21,26,54,41,17,12,31,40,1,15,46,20,33,25,21,35,49,28,21,18,10,30,56,23,29,18,27,41,47,21,22,32,24,16,44,12,28,18,3,37,17,26,16,37,34,40,13,22,21,25,34,12,47,42,1,55,11,30,28,22,15,14,60,41,22,33,54,23,47,28,26,24,11,25,23,35,22,17,35,16,12,31,26,22,21,18,25,22,35,50,26,12,13,9,28,43,32,12,18,24,54,43,18,29,17,34,27,33,41,53,49,37,30,10,19,32,19,16,15,7,22,27,28,22,46,36,36,19,23,29,15,36,25,26,12,20,45,28,11,10,41,22,26,34,11,41,56,38,29,49,29,43,38,20,32,38,42,31,20,23,8,35,4,35,29,34,30,32,33,8,23,9,20,37,21,23,39,32,20,13,38,20,10,19,15,25,29,11,37,48,28,31,13,13,16,58,19,25,4,13,39,22,36,10,16,15,37,15,41,46,22,31,20,35,20,23,35,24,18,14,22,39,35,42,22,43,22,14,14,16,10,11,41,10,28,46,38,19,18,9,25,51,26,6,36,50,34,5,7,25,43,31,16,28,14,29,4,44,37,40,42,18,13,17,10,14,49,39,32,33,29,29,14,30,27,19,27,41,26,42,36,20,3,18,29,36,15,50,45,24,7,11,8,33,23,41,22,32,14,12,15,16,34,27,25,15,15,34
v7,14,47,42,45,55,20,0,33,26,66,14,24,5,46,74,61,17,24,37,60,21,23,66,34,27,45,15,41,43,18,11,20,30,50,50,11,27,38,21,39,41,15,28,52,16,22,42,32,22,4,17,31,37,46,22,57,40,60,23,8,41,13,28,32,41,36,19,49,21,50,20,42,25,22,54,61,14,53,48,39,67,48,6,18,9,19,35,15,16,11,55,4,8,51,46,2,15,24,19,14,29,44,46,26,17,29,8,43,46,32,18,4,48,37,38,49,37,30,15,33,35,47,69,17,10,16,39,48,13,36,35,13,42,33,34,42,66,56,56,39,7,35,27,56,45,8,32,6,39,8,27,22,61,20,32,34,23,61,50,48,25,43,49,37,36,30,26,58,62,37,14,29,12,29,22,15,49,28,24,26,13,28,9,13,14,31,41,27,33,52,28,15,58,40,28,7,15,19,9,31,31,68,48,37,7,25,10,52,25,31,24,19,33,2,30,18,36,21,57,35,35,40,2,45,36,29,14,29,55,30,14,20,16,47,45,62,42,63,12,24,34,36,30,9,35,30,44,40,58,39,12,15,45,45,32,24,30,44,14,19,17,45,37,11,10,22,8,19,16,64,43,34,36,22,19,37,10,14,69,33,12,27,23,23,28,10,7,39,39,35,30,62,42,38,21,28,9,38,5,44,39,44,19,17,14,53,43,61,40,38,34,32,35,8,54,47,5,15,21,14
v8,29,14,21,36,22,13,33,0,25,33,27,23,34,13,41,28,30,9,36,27,12,20,33,15,28,22,34,30,44,41,34,13,3,17,51,36,24,9,24,36,42,34,27,25,37,21,39,1,37,31,16,32,6,13,21,24,39,27,18,35,8,38,29,11,42,37,14,50,12,23,41,15,20,19,55,28,35,20,49,28,34,15,39,37,24,20,18,48,29,24,22,29,25,22,23,35,28,23,34,35,30,45,15,7,16,14,41,38,27,7,31,37,49,38,9,22,16,29,40,28,36,48,36,50,43,19,6,27,30,13,18,20,17,32,33,9,33,23,23,12,36,34,10,23,12,39,5,33,40,41,16,15,28,17,31,29,16,28,51,33,24,44,18,38,33,25,31,25,29,36,23,28,21,30,11,48,16,31,25,27,46,5,36,20,25,32,16,18,34,19,15,18,25,23,5,32,28,32,42,10,32,35,15,36,26,8,29,53,24,20,9,20,34,35,31,15,19,22,24,16,36,41,35,26,25,30,33,28,22,29,19,19,21,34,30,29,13,30,35,19,9,3,9,24,36,3,23,41,25,24,29,18,12,46,31,11,31,45,47,14,16,12,38,44,29,39,27,42,17,31,42,35,37,13,26,8,23,27,36,34,45,28,36,24,9,43,40,14,22,36,21,29,41,15,12,13,42,31,28,45,40,11,14,16,19,20,10,28,17,37,19,1,4,29,21,18,38,18,26,47
v9,12,39,32,61,45,20,26,25,0,56,40,48,21,36,64,51,9,32,11,50,21,13,56,40,53,35,11,55,69,44,37,38,28,40,76,37,49,28,47,61,67,41,18,50,42,4,64,26,48,22,19,57,31,36,6,47,18,50,13,34,31,15,54,22,67,62,21,75,31,48,46,32,15,12,80,51,40,43,74,29,57,38,20,44,25,45,43,37,42,37,45,30,30,47,36,24,41,10,45,12,55,70,40,32,33,19,24,63,52,22,8,28,74,63,34,47,27,54,41,53,61,73,59,27,28,10,29,52,39,26,25,21,42,9,14,32,56,46,46,37,19,15,35,46,37,18,22,20,65,22,17,12,51,42,20,54,13,51,76,58,49,69,39,63,58,20,52,48,52,23,40,9,18,55,24,25,39,54,50,52,39,24,35,29,40,57,41,43,59,42,40,33,48,30,30,19,11,45,23,21,57,58,38,19,19,33,36,78,1,45,22,7,59,26,56,10,26,5,49,25,61,66,28,51,26,55,12,17,45,10,38,10,42,59,55,52,38,53,38,14,24,26,20,23,61,26,48,66,48,29,38,29,35,71,18,14,56,70,24,15,27,35,63,29,16,48,34,45,24,54,17,60,62,38,7,33,16,12,59,59,24,53,49,49,34,30,27,29,47,61,46,52,16,40,17,38,25,56,23,70,65,34,13,9,28,43,33,51,42,18,24,24,29,18,46,37,21,35,5,26
v10,62,19,24,37,11,46,66,33,56,0,60,42,67,20,8,19,63,42,47,14,45,43,10,32,39,21,67,31,45,74,67,46,36,16,52,69,39,28,57,37,43,67,38,26,70,54,40,34,70,64,49,35,29,20,50,9,38,6,43,68,25,71,58,34,43,40,47,51,45,24,74,24,41,44,56,5,68,15,50,27,13,18,72,70,57,53,31,81,62,57,21,62,58,23,22,68,61,46,67,68,61,46,20,40,49,37,74,39,28,34,64,70,50,45,28,23,29,36,73,33,41,49,11,83,76,52,27,28,63,30,31,53,24,47,42,24,14,10,10,27,69,41,39,18,21,72,34,66,41,74,39,44,7,46,36,32,43,9,52,34,41,47,17,55,34,36,64,18,16,35,56,47,54,57,44,81,17,64,56,58,79,38,69,53,58,63,25,39,49,14,38,51,8,26,38,65,61,65,75,35,49,12,18,37,59,41,62,54,57,35,42,53,39,68,48,48,30,55,25,31,43,52,68,27,30,37,66,39,13,46,52,46,54,35,31,20,24,5,68,42,32,30,36,57,57,36,24,46,8,27,62,51,21,47,38,42,56,46,80,47,49,21,49,77,62,72,60,75,50,2,41,36,38,44,59,29,56,60,3,51,78,55,69,51,38,76,73,27,27,37,36,4,40,28,45,38,75,32,61,46,41,22,47,49,52,13,23,5,26,38,32,34,31,62,22,19,71,51,59,80
