,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v211,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v231,v232,v233,v234,v235,v236,v237,v238,v239,v240,v241,v242,v243,v244,v245,v246,v247,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261,v262,v263,v264,v265,v266,v267,v268,v269,v270,v271,v272,v273,v274,v275,v276,v277,v278,v279,v280,v281,v282,v283,v284,v285,v286,v287,v288,v289,v290,v291,v292,v293,v294,v295,v296,v297,v298,v299,v300,v301,v302,v303,v304,v305,v306,v307,v308,v309,v310,v311,v312,v313,v314,v315,v316,v317,v318,v319,v320
v1,0,24,7,2,40,30,16,49,27,50,6,18,34,35,31,33,21,37,48,39,18,1,23,25,21,15,15,26,8,41,10,36,21,22,38,26,55,32,17,15,15,23,31,34,31,23,24,12,46,38,42,31,13,8,20,5,16,26,15,25,52,21,36,55,27,25,40,43,50,22,38,29,8,31,15,30,35,14,56,11,18,18,36,37,40,18,20,28,19,18,35,41,36,55,44,19,32,46,36,18,30,30,25,23,36,18,10,17,24,7,18,10,45,45,23,17,61,48,15,20,50,35,49,17,30,27,41,42,12,31,48,23,5,24,48,17,33,45,43,24,33,8,6,28,36,51,18,16,9,25,11,30,3,16,52,13,10,42,12,7,22,25,16,37,26,25,16,38,41,39,18,42,42,36,33,11,17,11,43,36,5,10,22,28,33,46,8,10,14,14,26,28,12,40,29,34,34,5,16,51,33,11,32,37,45,18,16,17,20,40,25,27,43,17,40,17,23,19,39,3,16,13,36,23,54,12,10,38,22,35,31,20,13,43,23,31,22,15,38,28,43,10,29,36,37,6,34,24,24,20,32,60,17,22,46,17,57,22,25,13,34,6,28,32,13,14,34,34,21,41,42,18,33,16,14,51,29,20,43,45,22,24,42,7,47,31,35,39,35,24,20,30,12,36,14,20,24,32,34,27,24,27,19,55,16,31,40,39,29,54,37,54,22,20,7,29,26,46,39,15
v2,24,0,27,26,54,54,20,35,51,36,18,10,20,41,55,9,27,59,72,45,36,23,37,39,45,9,27,50,22,31,14,60,35,26,62,6,79,18,13,39,15,47,45,20,31,27,38,36,70,14,66,49,15,32,10,19,14,40,13,1,76,15,60,41,25,39,64,47,48,8,62,43,32,17,17,40,21,38,42,15,8,42,60,61,64,28,12,14,11,14,59,27,22,41,52,43,26,32,34,6,6,44,39,47,32,6,24,33,8,21,32,14,31,35,37,41,47,72,29,8,74,35,73,31,30,51,41,46,36,17,34,39,25,48,48,11,57,69,67,22,57,28,20,8,60,75,6,30,33,49,23,54,25,40,42,37,30,52,28,21,46,31,26,61,8,11,32,62,65,53,12,66,66,54,57,21,37,17,29,50,23,34,46,22,23,70,32,34,10,34,48,10,36,26,37,58,58,27,22,37,39,33,56,51,31,6,8,7,40,64,3,19,67,37,44,17,47,33,57,21,8,37,30,47,40,26,34,24,46,59,55,40,31,67,33,55,44,29,24,34,67,34,23,56,33,18,20,18,24,34,56,46,41,46,70,33,43,28,49,11,58,20,52,18,23,10,58,36,45,27,34,42,43,30,28,75,53,44,33,47,46,34,66,29,47,21,23,63,37,48,4,54,36,60,38,18,4,56,58,29,38,5,33,41,8,17,42,63,49,78,31,78,6,16,21,13,4,70,27,9
v3,7,27,0,5,33,27,19,42,24,43,9,17,27,28,28,36,14,32,45,32,11,8,30,18,24,18,8,23,15,34,13,33,28,15,35,29,52,25,14,12,12,20,38,27,24,16,31,13,43,41,39,24,16,11,23,8,19,33,14,28,49,14,33,48,20,32,37,36,43,19,35,36,5,24,18,23,28,19,49,12,19,15,33,34,37,11,23,27,22,21,32,34,29,48,37,16,25,39,29,21,33,37,32,20,29,21,17,10,27,14,25,13,38,38,30,14,54,45,22,19,47,28,46,24,23,24,34,35,9,28,41,30,2,21,41,16,30,42,40,17,30,1,13,31,33,48,21,23,6,22,16,27,10,17,45,18,3,35,5,14,19,18,9,34,29,28,9,35,38,32,15,39,39,29,30,6,24,14,36,29,12,13,25,21,26,43,13,7,17,7,21,31,9,33,22,31,31,12,9,44,26,6,29,30,38,21,19,20,13,37,28,20,40,10,33,20,20,26,32,10,19,10,29,20,47,19,7,31,19,32,28,27,6,40,16,28,17,22,31,21,40,7,22,29,30,9,27,17,17,27,29,53,14,19,43,24,50,15,22,16,31,13,25,25,16,17,31,27,18,34,35,25,26,9,21,48,26,17,36,38,19,17,39,14,40,24,28,36,28,21,23,27,9,33,11,23,27,29,31,20,31,30,26,48,19,24,33,36,22,51,30,51,25,23,14,32,29,43,32,18
v4,2,26,5,0,38,28,18,47,25,48,8,16,32,33,29,35,19,35,46,37,16,3,25,23,19,17,13,24,10,39,12,34,23,20,36,28,53,30,15,13,13,21,33,32,29,21,26,10,44,40,40,29,15,6,22,7,18,28,13,27,50,19,34,53,25,27,38,41,48,20,36,31,6,29,17,28,33,14,54,11,18,16,34,35,38,16,22,26,21,20,33,39,34,53,42,17,30,44,34,20,32,32,27,21,34,20,12,15,26,9,20,12,43,43,25,15,59,46,17,18,48,33,47,19,28,25,39,40,10,29,46,25,3,22,46,15,31,43,41,22,31,6,8,30,34,49,20,18,7,23,13,28,5,14,50,13,8,40,10,9,20,23,14,35,28,27,14,36,39,37,16,40,40,34,31,9,19,13,41,34,7,8,20,26,31,44,8,8,16,12,24,30,10,38,27,32,32,7,14,49,31,9,30,35,43,20,18,19,18,38,27,25,41,15,38,19,21,21,37,5,18,11,34,21,52,14,8,36,20,33,29,22,11,41,21,29,20,17,36,26,41,8,27,34,35,8,32,22,22,22,30,58,15,20,44,19,55,20,23,15,32,8,26,30,15,16,32,32,19,39,40,20,31,14,16,49,27,18,41,43,20,22,40,9,45,29,33,37,33,22,22,28,10,34,12,22,26,30,32,25,26,29,21,53,18,29,38,37,27,52,35,52,24,22,9,31,28,44,37,17
v5,40,54,33,38,0,38,46,25,53,30,36,44,42,13,9,63,27,5,26,9,22,41,63,15,57,45,27,24,48,23,40,26,61,28,30,56,25,40,41,25,39,49,71,38,23,27,64,46,30,68,26,9,43,44,50,41,46,66,41,55,28,39,44,25,29,65,12,7,10,46,8,69,32,49,45,14,51,52,30,39,46,28,18,7,32,26,50,54,49,48,5,29,50,29,4,29,28,30,20,48,60,70,65,43,22,48,50,23,54,47,58,40,29,19,63,41,21,18,55,46,24,19,19,57,24,15,13,8,42,55,32,63,35,42,8,43,27,29,13,32,15,32,46,58,14,21,48,56,35,17,49,24,43,50,12,51,30,2,28,47,32,23,28,13,56,55,24,20,13,1,42,12,40,4,39,33,57,43,31,4,45,46,58,32,31,24,46,38,44,26,14,58,28,30,17,32,48,45,32,27,15,29,28,3,39,48,46,47,20,10,55,35,31,23,10,47,53,59,3,43,46,41,24,51,18,52,34,36,28,33,13,60,27,21,21,39,18,55,48,20,13,40,31,4,21,38,46,36,30,60,26,24,39,50,16,57,17,26,49,43,42,46,22,46,49,44,36,18,47,37,20,58,11,24,54,23,13,30,21,7,36,20,22,47,7,33,31,15,17,18,50,20,30,20,26,50,54,8,40,25,64,57,59,27,46,47,12,17,11,26,23,24,52,50,47,59,56,28,27,45
v6,30,54,27,28,38,0,46,47,15,48,36,44,42,33,29,63,27,35,18,37,18,31,25,23,19,45,27,14,36,39,40,12,23,28,8,56,25,40,41,15,39,11,33,38,29,27,26,18,16,68,12,29,43,22,50,35,46,28,41,55,22,39,6,53,29,27,26,41,48,46,30,31,22,49,45,28,51,16,54,39,46,12,20,31,10,26,50,54,49,48,33,39,50,53,42,11,30,44,34,48,60,32,27,7,34,48,36,21,54,37,26,40,43,43,29,13,59,20,39,46,20,33,19,37,28,23,39,40,18,55,46,25,29,6,46,43,11,15,25,32,23,26,34,58,24,21,48,32,21,21,41,14,29,14,50,17,24,40,26,33,8,23,28,25,56,55,22,18,25,37,42,28,12,34,3,33,19,41,41,34,31,20,20,32,31,16,22,20,44,20,24,58,18,38,27,6,10,27,32,49,31,21,10,35,43,48,46,47,18,28,55,35,13,17,38,47,15,21,37,33,46,17,34,13,52,36,20,36,10,5,25,22,23,17,21,1,20,31,48,26,27,20,31,34,35,36,46,36,30,22,12,58,13,12,22,21,55,26,11,43,4,36,16,46,43,44,4,32,9,39,40,20,31,24,26,21,25,10,41,43,8,22,16,25,45,33,33,23,33,20,50,18,18,18,16,50,54,30,4,25,26,57,27,53,46,47,38,21,27,24,35,24,52,50,35,59,56,16,37,45
v7,16,20,19,18,46,46,0,55,43,56,10,24,40,41,47,23,27,51,64,45,28,15,23,31,37,15,21,42,10,47,14,52,27,28,54,14,71,38,23,31,21,39,27,40,37,29,24,28,62,24,58,41,5,24,10,11,6,20,21,19,68,27,52,61,33,27,56,49,56,28,54,23,24,37,3,36,41,30,62,17,24,34,52,53,56,24,8,34,9,6,51,47,42,61,50,35,38,52,42,16,26,26,23,39,42,18,10,25,12,9,20,10,51,51,17,33,67,64,9,26,66,41,65,11,36,43,47,48,28,37,54,31,17,40,54,23,49,61,59,30,49,20,12,28,52,67,14,14,25,41,5,46,17,32,58,29,22,48,20,13,38,31,22,53,28,9,24,54,57,45,24,58,58,46,49,17,29,5,49,42,15,26,38,34,39,62,24,26,14,26,40,12,28,46,35,50,50,19,22,57,39,25,48,43,51,20,14,21,32,56,17,33,59,29,46,3,39,25,49,13,18,29,42,39,60,10,26,44,38,51,47,32,23,59,29,47,36,15,44,34,59,26,35,48,43,10,40,30,30,24,48,66,33,38,62,25,63,28,41,17,50,10,44,38,3,18,50,40,37,47,48,34,39,22,20,67,45,36,49,51,38,30,58,21,53,37,41,55,41,40,22,46,28,52,30,4,24,48,50,33,20,25,19,61,20,37,46,55,41,70,43,70,26,4,11,33,16,62,45,21
v8,49,35,42,47,25,47,55,0,62,5,45,31,17,14,26,38,28,30,43,16,31,50,72,24,66,40,34,33,57,8,41,35,70,27,39,41,50,17,32,34,34,58,80,15,18,26,73,55,41,43,37,20,50,53,45,50,49,75,34,36,47,28,53,6,22,74,35,18,19,27,33,78,41,24,52,19,26,61,7,38,31,37,31,32,41,31,47,29,46,49,30,8,25,6,23,38,17,5,13,39,35,79,74,52,13,37,59,32,43,56,67,45,4,6,72,50,12,43,64,29,45,14,44,66,19,24,12,17,51,30,7,72,44,51,19,32,36,40,38,25,28,41,55,33,31,46,41,65,44,26,58,33,52,59,13,60,39,23,37,56,41,24,33,32,31,46,33,33,36,24,31,37,49,25,48,38,66,52,6,21,54,55,67,21,16,41,55,47,41,35,23,45,37,9,20,41,57,54,33,2,16,38,37,22,14,35,41,34,29,35,38,22,40,32,15,52,62,68,28,52,37,50,13,60,7,61,43,11,37,42,26,69,36,38,26,48,27,64,23,21,38,49,20,27,12,47,21,25,25,69,35,11,48,59,41,66,12,27,58,38,51,55,31,21,58,37,45,15,56,12,7,67,16,33,63,46,24,39,6,18,45,25,37,56,18,18,14,34,14,27,33,29,39,31,35,53,31,27,49,22,73,32,68,6,35,22,13,34,20,49,12,49,29,51,56,34,39,41,10,34
v9,27,51,24,25,53,15,43,62,0,63,33,41,47,48,44,60,34,50,27,52,31,28,20,38,6,42,28,29,33,54,37,27,16,35,23,53,30,45,38,28,36,4,18,47,44,36,19,15,23,65,27,44,40,19,47,32,43,23,38,52,25,36,9,68,40,16,41,56,63,43,45,22,21,46,42,43,48,13,69,36,43,25,35,46,21,31,47,51,46,45,48,54,49,68,57,24,45,59,49,45,57,17,20,10,49,45,33,30,51,34,23,37,58,58,26,12,74,35,36,43,29,48,34,34,43,38,54,55,15,52,61,12,26,11,61,40,26,24,40,37,38,23,31,55,39,32,45,29,18,36,38,29,26,11,65,14,23,55,25,30,21,38,29,40,53,52,29,33,40,52,39,43,15,49,14,30,14,38,56,49,28,17,5,41,46,29,19,17,41,27,39,55,25,53,42,21,7,24,29,64,46,24,25,50,58,45,43,44,33,43,52,40,22,30,53,44,4,18,52,30,43,14,49,4,67,33,19,51,25,20,40,11,26,32,36,14,35,28,51,41,42,17,42,49,50,33,47,37,37,19,27,73,14,5,37,18,70,35,4,40,11,33,31,45,40,41,17,47,6,54,55,9,46,29,23,30,40,23,56,58,17,37,31,22,60,44,48,38,48,35,47,33,23,33,27,47,51,45,13,40,23,54,24,68,43,44,53,36,42,27,50,31,49,47,32,56,53,25,52,42
v10,50,36,43,48,30,48,56,5,63,0,46,32,16,17,31,33,29,35,48,21,32,51,73,25,67,41,35,34,58,9,42,36,71,28,40,42,55,18,33,35,35,59,81,16,19,27,74,56,46,38,42,25,51,54,46,51,50,76,35,37,52,29,54,5,23,75,40,23,24,28,38,79,42,19,53,20,21,62,6,39,32,38,36,37,42,32,48,24,47,50,35,9,20,5,28,39,18,4,14,40,30,80,75,53,14,38,60,33,44,57,68,46,5,11,73,51,11,48,65,30,50,15,49,67,20,27,17,22,52,25,2,73,45,52,24,33,37,45,43,26,33,42,56,28,36,51,42,66,45,27,59,34,53,60,18,61,40,28,38,57,42,25,34,37,28,47,34,38,41,29,32,42,50,30,49,39,67,53,7,26,55,56,68,22,17,46,56,48,42,36,24,46,38,10,21,42,58,55,34,3,17,39,38,27,9,36,42,35,30,40,39,23,43,33,20,53,63,69,33,53,38,51,14,61,12,62,44,12,38,43,31,70,37,43,27,49,28,65,18,22,43,50,21,32,13,48,16,26,26,70,36,10,49,60,46,67,17,28,59,39,52,56,32,18,59,38,46,16,57,9,10,68,19,34,64,51,29,40,9,23,46,26,42,57,23,19,15,39,15,28,34,30,40,36,36,54,32,32,50,23,74,31,69,5,36,19,18,39,25,54,13,54,30,52,57,29,40,46,11,35
