,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v211,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v231,v232,v233,v234,v235,v236,v237,v238,v239,v240,v241,v242,v243,v244,v245,v246,v247,v248,v249,v250,v251,v252,v253,v254,v255,v256,v257,v258,v259,v260,v261,v262,v263,v264,v265,v266,v267,v268,v269,v270,v271,v272,v273,v274,v275,v276,v277,v278,v279,v280,v281,v282,v283,v284,v285,v286,v287,v288,v289,v290,v291,v292,v293,v294,v295,v296,v297,v298,v299,v300,v301,v302,v303,v304,v305,v306,v307,v308,v309,v310,v311,v312,v313,v314,v315,v316,v317,v318,v319,v320
v1,0,37,22,34,11,30,18,21,59,14,15,19,43,39,25,20,29,48,48,31,2,44,51,59,46,43,47,49,33,53,12,60,51,20,43,34,32,17,22,3,6,35,35,53,23,49,50,44,13,12,11,52,50,37,62,23,53,24,36,15,49,54,37,36,19,37,7,27,61,66,60,10,18,28,16,5,46,14,47,38,45,39,27,7,20,38,32,57,41,56,30,16,14,41,66,15,14,36,19,29,6,4,34,14,39,35,71,36,42,22,37,17,53,21,12,40,48,69,36,38,59,15,21,68,9,27,43,10,14,13,9,74,73,50,28,1,18,27,38,29,27,52,43,37,36,16,53,45,28,33,61,39,10,29,31,29,37,64,50,67,52,60,69,26,32,4,37,36,18,34,24,46,61,45,49,26,39,51,68,24,33,36,24,72,48,27,40,20,23,31,31,34,40,35,25,49,30,39,31,37,48,20,26,40,59,49,15,42,27,6,41,39,22,45,40,55,62,44,25,57,22,22,34,28,54,42,5,24,3,42,61,32,35,30,54,27,29,27,56,18,59,42,25,18,9,63,48,51,47,6,50,25,13,53,41,39,36,12,46,41,19,37,39,18,49,41,54,32,11,5,3,29,28,14,36,9,33,32,7,50,37,10,26,27,50,37,50,42,21,38,53,48,27,72,45,16,52,28,9,11,36,15,34,15,28,46,26,41,25,8,11,66,60,34,44,34,63,31,11,50
v2,37,0,21,31,28,31,29,36,48,23,52,48,64,60,46,17,12,13,15,52,35,65,22,28,67,64,56,24,4,26,33,23,34,41,64,19,13,38,43,34,43,14,38,38,40,12,31,7,24,41,42,73,13,58,33,18,42,45,57,36,70,17,58,35,52,54,30,10,24,45,81,27,47,37,25,32,67,35,10,59,66,60,14,40,35,59,31,38,30,33,29,21,35,62,43,24,25,37,40,8,31,35,55,35,60,52,36,57,63,19,58,38,34,34,33,37,69,34,15,59,30,22,18,31,30,18,64,27,43,24,32,37,36,71,49,38,33,10,59,50,48,15,14,36,25,53,74,42,9,30,26,12,27,38,52,50,58,35,37,34,73,39,32,23,53,33,20,57,35,55,13,25,24,12,14,47,10,50,41,15,12,11,13,35,19,12,19,19,14,12,36,21,31,56,46,70,7,60,26,58,69,41,17,55,42,38,36,63,16,41,26,50,43,66,61,76,43,39,46,32,15,21,3,41,19,63,40,13,40,5,42,53,14,7,75,48,50,22,41,53,44,21,30,37,28,48,69,72,68,31,15,46,28,74,62,38,33,43,67,62,18,58,8,19,48,10,75,7,48,36,40,16,39,35,57,40,28,53,36,35,58,43,15,20,13,38,33,63,28,59,46,69,36,35,26,21,53,21,46,26,5,22,13,36,25,23,47,38,36,45,32,41,47,51,45,55,26,6,48,71
v3,22,21,0,32,11,32,30,37,49,16,35,41,65,61,47,16,13,32,32,53,20,66,35,43,68,65,57,33,17,37,34,44,35,42,65,20,10,39,44,21,28,13,39,39,41,33,34,28,13,34,33,74,34,59,46,3,43,46,58,37,71,38,59,36,41,55,17,11,45,50,82,16,40,38,6,23,68,36,31,60,67,61,15,29,36,60,32,41,31,40,30,14,36,63,50,25,26,38,41,13,22,18,56,36,61,53,55,58,64,2,59,39,37,35,34,38,70,53,14,60,43,13,3,52,31,19,65,20,36,19,13,58,57,72,50,21,34,11,60,51,49,36,27,37,26,32,75,43,12,31,45,23,18,39,53,51,59,48,38,51,74,44,53,24,54,24,21,58,36,56,10,30,45,29,33,48,23,51,52,16,13,20,8,56,32,13,24,2,13,15,37,22,32,57,47,71,14,61,27,59,70,42,4,56,43,39,37,64,5,28,27,51,44,67,62,77,46,40,47,41,6,22,18,42,38,64,19,8,25,26,45,54,19,14,76,49,51,23,42,40,45,26,31,38,23,49,70,73,69,18,34,47,9,75,63,39,34,34,68,63,15,59,23,10,49,25,76,16,27,27,21,17,40,36,58,31,29,54,29,36,59,32,16,21,34,39,34,64,29,60,47,70,37,56,29,10,54,22,25,27,20,9,18,37,26,30,48,39,37,28,33,50,48,52,46,56,47,15,33,72
v4,34,31,32,0,25,4,16,13,25,20,49,45,33,29,41,16,19,18,16,37,32,34,17,25,36,33,25,15,27,19,24,26,17,28,33,12,42,27,16,31,40,45,7,19,11,23,16,30,21,38,39,42,22,31,28,33,19,22,28,33,39,20,27,4,49,23,27,25,27,32,50,24,44,6,26,29,36,24,27,28,35,29,17,37,14,28,2,23,7,22,4,18,26,31,32,19,20,6,35,27,28,32,24,32,29,21,37,26,32,32,27,25,19,13,30,6,38,35,46,28,25,19,31,34,27,13,33,24,40,21,29,40,39,40,38,35,16,33,28,29,35,18,17,5,6,50,43,11,26,1,27,19,24,7,25,23,27,30,16,33,42,26,35,8,22,30,11,26,16,24,22,12,27,19,17,38,21,19,34,16,43,20,34,38,14,19,12,30,19,19,5,10,6,27,15,39,34,29,5,27,38,38,36,24,25,15,19,32,37,38,7,19,36,35,30,45,28,10,33,23,30,12,32,10,20,32,37,28,37,28,27,22,17,24,44,29,35,9,22,50,25,10,9,16,25,29,38,41,37,28,16,15,25,43,31,7,2,40,36,31,17,27,23,22,17,21,44,38,45,33,37,15,8,22,26,37,3,22,33,16,27,40,16,11,24,7,16,32,13,28,19,38,7,38,11,22,22,10,43,23,36,23,18,21,6,12,16,7,9,42,29,32,26,20,14,24,29,35,45,40
v5,11,28,11,25,0,21,19,26,50,5,24,30,54,50,36,11,20,39,39,42,9,55,42,50,57,54,46,40,24,44,23,51,42,31,54,25,21,28,33,10,17,24,28,44,30,40,41,35,4,23,22,63,41,48,53,12,44,35,47,26,60,45,48,27,30,44,6,18,52,57,71,5,29,27,5,12,57,25,38,49,56,50,18,18,25,49,23,48,32,47,21,7,25,52,57,14,15,27,30,20,11,7,45,25,50,42,62,47,53,11,48,28,44,24,23,31,59,60,25,49,50,6,10,59,20,18,54,9,25,8,4,65,64,61,39,10,23,18,49,40,38,43,34,28,27,25,64,36,19,24,52,30,7,28,42,40,48,55,41,58,63,51,60,17,43,13,28,47,25,45,15,37,52,36,40,37,30,42,59,15,22,27,15,63,39,18,31,9,14,22,26,25,31,46,36,60,21,50,22,48,59,31,15,45,50,40,26,53,16,17,32,40,33,56,51,66,53,35,36,48,13,13,25,31,45,53,12,15,14,33,52,43,26,21,65,38,40,18,47,29,50,33,20,27,12,54,59,62,58,7,41,36,2,64,52,30,27,23,57,52,10,48,30,9,40,32,65,23,20,16,12,20,29,25,47,20,24,43,18,41,48,21,17,18,41,28,41,53,18,49,44,59,26,63,36,7,43,19,18,16,27,6,25,26,19,37,37,32,26,17,22,57,51,41,35,45,54,22,22,61
v6,30,31,32,4,21,0,12,9,29,16,45,41,33,29,37,16,19,18,18,33,28,34,21,29,36,33,25,19,27,23,20,30,21,24,33,12,42,23,12,27,36,45,7,23,9,23,20,30,19,34,35,42,22,27,32,33,23,18,26,29,39,24,27,6,45,23,23,25,31,36,50,20,40,6,26,25,36,20,27,28,35,29,17,33,10,28,2,27,11,26,2,18,22,31,36,15,16,6,31,27,24,28,24,28,29,21,41,26,32,32,27,21,23,9,26,10,38,39,46,28,29,19,31,38,23,13,33,20,36,17,25,44,43,40,34,31,12,33,28,25,31,22,17,7,6,46,43,15,26,3,31,19,20,7,21,19,27,34,20,37,42,30,39,8,22,26,11,26,12,24,22,16,31,19,19,34,21,21,38,16,43,20,34,42,18,19,12,30,19,19,5,10,10,25,15,39,34,29,5,27,38,34,36,24,29,19,15,32,37,34,11,19,32,35,30,45,32,14,29,27,30,10,32,10,24,32,33,28,33,28,31,22,17,24,44,25,31,9,26,46,29,12,5,12,21,33,38,41,37,24,20,15,23,43,31,9,6,36,36,31,17,27,23,22,19,21,44,38,41,29,33,15,8,18,26,33,3,22,29,20,27,36,16,11,24,7,20,32,9,28,23,38,5,42,15,22,22,10,39,19,36,23,18,17,6,16,16,11,5,38,25,36,30,20,14,24,33,35,41,40
v7,18,29,30,16,19,12,0,7,41,14,33,29,35,31,25,14,17,30,30,23,16,36,33,41,38,35,29,31,25,35,8,42,33,12,35,16,40,11,14,15,24,43,17,35,11,31,32,28,17,22,23,44,32,29,44,31,35,16,28,17,41,36,29,18,33,25,13,23,43,48,52,14,28,10,24,13,38,8,29,30,37,31,15,21,6,30,14,39,23,38,12,16,10,33,48,5,4,18,19,25,12,16,26,16,31,23,53,28,34,30,29,9,35,5,14,22,40,51,44,30,41,17,29,50,11,11,35,10,24,11,17,56,55,42,22,19,4,31,30,21,19,34,25,19,18,34,45,27,24,15,43,21,12,11,23,21,29,46,32,49,44,42,51,8,24,14,19,28,6,26,20,28,43,27,31,22,21,33,50,14,41,18,32,54,30,17,22,28,17,17,13,16,22,27,17,41,32,31,13,29,40,22,34,26,41,31,7,34,35,22,23,21,20,37,32,47,44,26,17,39,28,8,30,12,36,34,21,26,21,26,43,24,17,22,46,19,21,9,38,34,41,24,7,8,9,45,40,43,39,12,32,17,21,45,33,21,18,24,38,33,15,29,21,20,31,23,46,36,29,17,21,13,10,6,28,21,15,24,17,32,29,24,14,9,32,19,32,34,3,30,35,40,9,54,27,20,34,10,27,7,34,21,16,7,10,28,18,23,7,26,13,48,42,22,26,26,45,33,29,42
v8,21,36,37,13,26,9,7,0,38,21,36,32,28,24,28,21,24,27,27,24,19,29,30,38,31,28,26,28,32,32,11,39,30,15,28,17,47,14,7,18,27,50,14,32,4,28,29,35,24,25,26,37,29,22,41,38,32,9,21,20,34,33,22,15,36,18,20,30,40,45,45,21,31,7,31,16,31,11,32,23,30,24,22,24,1,23,11,36,20,35,9,23,13,26,45,12,11,15,22,32,15,19,19,19,24,16,50,21,27,37,22,12,32,2,17,19,33,48,51,23,38,24,36,47,14,18,28,17,27,18,24,53,52,35,25,22,3,38,23,16,22,31,22,16,15,37,38,24,31,12,40,24,19,8,16,14,22,43,29,46,37,39,48,13,17,17,16,21,3,19,27,25,40,24,28,25,26,30,47,21,48,25,39,51,27,24,19,35,24,24,10,15,19,20,10,34,39,24,10,22,33,25,41,19,38,28,6,27,42,25,20,18,23,30,25,40,41,23,20,36,35,15,37,7,33,27,24,33,24,33,40,17,22,29,39,16,22,14,35,37,38,21,6,3,14,42,33,36,32,19,29,10,28,38,26,18,15,27,31,26,22,22,28,27,28,26,39,43,32,20,24,20,7,9,21,24,12,17,20,29,22,27,21,16,29,16,29,27,8,23,32,33,6,51,24,27,31,15,30,10,41,28,23,8,11,25,11,20,4,29,16,45,39,15,23,19,42,40,32,35
v9,59,48,49,25,50,29,41,38,0,45,74,70,24,52,66,39,36,35,33,62,57,29,26,20,19,46,12,24,44,22,49,25,14,53,16,29,59,52,41,56,65,62,24,10,36,40,17,47,46,63,64,33,39,56,15,50,6,47,53,58,22,31,28,23,74,22,52,42,24,7,33,49,69,31,47,54,31,49,44,27,48,32,34,62,39,25,27,10,18,15,29,43,51,24,7,44,45,23,60,44,53,57,45,57,20,24,12,31,19,49,36,50,14,38,55,19,45,14,63,43,18,44,48,17,52,32,50,49,65,46,54,17,14,33,63,60,41,50,51,54,60,33,34,22,23,75,32,14,43,26,22,36,49,30,50,48,42,13,11,14,25,9,20,33,31,55,28,27,41,47,39,23,30,36,34,63,38,8,9,35,60,37,51,17,29,36,29,47,36,36,28,27,19,52,34,34,51,28,28,34,35,63,53,19,6,10,44,27,54,63,22,20,61,38,53,28,5,15,58,16,47,37,49,31,29,25,62,45,62,45,6,47,34,41,27,54,60,32,7,75,4,27,34,41,50,4,21,42,20,53,33,36,50,36,52,20,23,65,33,34,40,46,40,41,10,38,33,55,70,58,62,32,31,47,43,62,26,29,58,13,32,65,33,32,41,22,15,17,38,31,6,43,32,19,22,43,7,31,68,48,53,44,35,46,31,25,41,18,34,67,54,7,1,25,15,39,24,52,70,25
v10,14,23,16,20,5,16,14,21,45,0,29,25,49,45,31,6,15,34,34,37,12,50,37,45,52,49,41,35,19,39,18,46,37,26,49,20,26,23,28,11,20,29,23,39,25,35,36,30,3,18,19,58,36,43,48,17,39,30,42,21,55,40,43,22,29,39,7,13,47,52,66,4,24,22,10,9,52,20,33,44,51,45,13,17,20,44,18,43,27,42,16,2,20,47,52,9,10,22,25,15,8,12,40,20,45,37,57,42,48,16,43,23,39,19,18,26,54,55,30,44,45,3,15,54,15,13,49,4,20,3,9,60,59,56,34,15,18,17,44,35,33,38,29,23,22,30,59,31,14,19,47,25,4,23,37,35,43,50,36,53,58,46,55,12,38,10,23,42,20,40,10,32,47,31,35,32,25,37,54,10,27,22,18,58,34,13,26,14,9,17,21,20,26,41,31,55,18,45,17,43,54,26,20,40,45,35,21,48,21,18,27,35,28,51,46,61,48,30,31,43,14,8,20,26,40,48,17,12,17,28,47,38,21,16,60,33,35,13,42,30,45,28,15,22,7,49,54,57,53,8,36,31,7,59,47,25,22,20,52,47,5,43,25,6,35,27,60,22,25,13,17,15,24,20,42,17,19,38,13,36,43,20,12,13,36,23,36,48,13,44,39,54,21,58,31,6,38,14,23,11,22,7,20,21,14,32,32,27,21,22,17,52,46,36,30,40,49,19,25,56
