,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100
v1,0,5,40,10,50,9,26,33,62,30,15,55,6,35,14,5,35,27,58,26,35,29,41,3,17,15,9,43,46,14,29,23,52,49,17,21,37,29,8,46,25,17,29,21,33,35,32,27,23,31,10,10,7,12,20,21,21,30,30,30,24,56,38,33,38,57,32,37,39,26,3,32,30,14,9,30,52,27,34,52,52,18,34,34,33,24,34,19,28,39,18,25,39,39,18,8,16,27,26,34
v2,5,0,35,7,47,12,23,28,59,35,12,50,9,32,11,8,30,22,55,31,32,24,38,4,22,10,6,40,41,9,26,18,49,46,20,26,32,24,3,41,20,22,24,18,30,30,27,24,18,26,11,13,12,7,17,16,22,25,35,35,19,53,33,30,35,54,29,32,34,21,8,29,27,11,4,25,49,24,29,47,49,23,29,31,30,21,31,24,23,34,13,22,34,34,15,11,11,30,31,31
v3,40,35,0,30,20,47,24,39,24,70,43,21,44,31,30,43,39,25,26,66,47,49,31,39,57,31,39,5,22,34,17,23,34,21,55,61,7,45,38,6,17,57,35,33,51,23,30,43,27,49,46,48,47,42,26,25,57,52,70,70,24,18,22,15,30,35,30,15,23,54,43,50,42,36,31,14,14,47,16,12,28,58,34,46,19,48,6,59,46,19,44,37,31,27,50,46,28,65,66,60
v4,10,7,30,0,40,19,16,23,52,40,13,45,16,25,4,15,25,17,48,36,25,21,31,9,27,5,9,33,36,6,19,13,42,39,27,31,27,19,10,36,15,27,19,11,23,25,22,17,13,21,18,20,17,14,10,11,29,24,40,40,14,46,28,23,28,47,22,27,29,26,13,22,20,6,3,20,42,17,24,42,42,28,24,24,23,18,24,29,18,29,16,15,29,29,22,18,6,37,36,30
v5,50,47,20,40,0,59,24,51,12,50,35,35,56,15,36,55,51,37,8,46,27,61,11,47,37,43,41,15,34,46,21,35,14,1,67,43,19,57,50,26,29,41,47,29,31,35,42,23,39,61,58,60,45,54,30,37,69,64,50,50,36,6,34,17,12,15,18,27,35,66,51,30,22,36,43,26,6,27,28,32,8,38,46,26,17,28,16,39,58,31,56,25,43,39,62,58,40,77,46,40
v6,9,12,47,19,59,0,35,30,71,33,24,52,7,44,23,6,32,24,67,29,44,26,50,12,22,16,18,52,43,13,38,24,61,58,8,24,40,26,9,43,30,20,26,30,42,32,29,36,20,28,7,7,14,9,29,22,18,27,33,33,23,65,35,42,47,66,41,34,36,23,8,41,39,23,16,33,61,36,31,49,61,23,31,43,42,33,43,22,25,36,15,34,36,36,15,3,19,18,29,43
v7,26,23,24,16,24,35,0,27,36,46,19,39,32,9,12,31,27,13,32,42,23,37,15,23,33,19,17,19,30,22,7,11,26,23,43,37,21,33,26,30,9,33,23,9,27,19,18,19,15,37,34,36,23,30,6,13,45,40,46,46,12,30,22,9,12,31,6,21,23,42,27,26,18,12,19,14,26,23,18,36,26,34,22,22,7,24,18,35,34,23,32,13,23,23,38,34,16,53,42,36
v8,33,28,39,23,51,30,27,0,63,63,36,22,37,36,23,36,2,14,59,59,40,10,42,32,50,18,32,44,17,19,30,16,53,50,22,54,32,6,25,33,22,50,4,26,44,16,9,36,12,10,23,37,40,21,21,14,18,13,63,63,15,57,17,34,39,58,33,24,16,15,36,43,35,29,24,25,53,40,23,29,53,51,5,39,34,41,35,52,7,20,15,30,8,12,15,27,17,26,59,53
v9,62,59,24,52,12,71,36,63,0,48,47,45,68,27,48,67,63,49,4,44,27,73,21,59,49,55,53,19,46,58,33,47,12,13,79,55,31,69,62,30,41,53,59,41,29,47,54,35,51,73,70,72,57,66,42,49,81,76,48,48,48,6,46,29,24,13,30,39,47,78,63,30,32,48,55,38,10,35,40,34,10,48,58,28,29,38,28,49,70,43,68,37,55,51,74,70,52,89,44,38
v10,30,35,70,40,50,33,46,63,48,0,27,85,28,39,40,27,65,57,44,4,23,59,39,31,13,45,31,65,76,44,53,53,36,49,41,15,67,59,38,76,55,13,59,37,19,65,62,27,53,61,40,32,23,42,44,51,51,60,6,2,54,52,68,55,40,35,40,67,69,56,27,20,28,34,39,60,56,23,64,82,42,12,64,24,51,22,64,11,58,69,48,33,69,69,48,36,46,49,4,12
