,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100
v1,0,45,25,18,16,49,37,19,36,49,65,4,41,10,35,23,64,44,46,33,14,25,9,35,30,28,26,23,37,5,48,56,72,66,12,14,49,47,23,14,5,64,35,39,38,28,30,43,47,27,35,54,52,39,44,13,12,7,71,30,68,55,17,31,47,35,37,48,14,48,51,8,50,53,19,23,56,38,48,28,16,21,33,28,43,40,58,42,75,18,26,21,36,34,30,46,75,61,34,46
v2,45,0,42,27,61,38,54,28,53,66,20,43,58,35,52,50,19,61,63,12,31,50,40,30,47,17,43,40,38,40,39,11,33,29,39,31,44,12,26,53,50,33,16,56,7,19,15,8,14,18,12,33,53,56,43,34,33,40,26,47,25,72,62,48,32,44,44,13,35,55,10,53,67,48,26,40,27,21,43,17,37,24,40,17,32,11,25,47,30,35,27,40,9,51,19,23,30,38,51,41
v3,25,42,0,19,27,38,12,44,17,24,54,21,16,19,10,16,53,19,21,34,29,16,34,24,5,35,9,10,26,28,37,45,61,55,13,33,38,36,16,19,28,53,58,14,39,53,49,34,36,40,30,43,41,14,33,12,35,32,60,5,57,30,28,12,36,24,26,37,11,37,40,21,25,42,40,2,45,63,37,29,41,18,22,47,32,31,47,31,64,7,51,6,45,11,55,35,64,50,9,35
v4,18,27,19,0,34,31,31,25,30,43,47,16,35,8,29,23,46,38,40,15,10,23,15,17,24,16,20,17,19,13,30,38,54,48,12,14,31,29,5,26,23,46,39,33,20,34,30,25,29,21,17,36,34,33,26,7,16,13,53,24,50,49,35,25,29,21,21,30,8,32,33,26,44,35,21,17,38,44,30,10,22,3,17,28,25,22,40,24,57,12,32,15,26,28,36,28,57,43,28,28
v5,16,61,27,34,0,65,35,33,44,43,81,18,35,26,37,17,80,40,40,49,30,19,21,51,28,44,36,37,53,21,64,72,88,82,22,30,65,63,39,8,11,80,51,39,54,42,46,59,63,43,51,70,68,33,60,27,28,21,87,26,84,49,1,39,63,51,53,64,26,64,67,8,44,69,35,27,72,44,64,44,24,37,49,44,59,56,74,58,91,34,34,21,52,38,42,62,91,77,28,62
v6,49,38,38,31,65,0,30,40,21,30,18,47,30,39,28,54,19,25,27,30,35,54,44,14,37,31,29,28,12,44,1,27,23,17,43,35,6,26,26,57,54,15,54,26,35,49,45,30,24,36,26,5,15,32,5,38,37,44,22,39,19,34,66,26,6,14,12,25,39,17,28,57,29,10,36,38,11,59,5,25,41,28,16,43,6,27,13,9,26,31,47,44,41,27,51,15,26,12,41,3
v7,37,54,12,31,35,30,0,56,9,12,46,33,4,31,2,24,45,7,9,46,41,24,46,24,7,47,11,14,18,40,29,43,53,47,25,45,30,42,28,27,40,45,70,4,51,65,61,46,40,52,42,35,33,2,25,24,47,44,52,9,49,18,36,6,28,16,18,41,23,29,44,33,13,34,52,14,37,75,29,41,53,30,14,59,24,43,39,23,56,19,63,16,57,3,67,31,56,42,11,27
v8,19,28,44,25,33,40,56,0,55,68,48,23,60,25,54,42,47,63,65,16,15,44,12,32,49,11,45,42,40,16,41,39,55,49,31,11,46,30,28,33,22,47,18,58,21,9,13,26,30,10,18,37,55,58,45,32,9,12,54,49,51,74,34,50,34,46,46,31,33,57,34,25,69,50,4,42,39,19,45,15,9,26,42,11,34,23,41,49,58,37,7,40,19,53,11,29,58,44,53,43
v9,36,53,17,30,44,21,9,55,0,13,37,32,9,30,7,33,36,8,10,45,40,33,45,23,16,46,10,13,15,39,20,42,44,38,24,44,21,41,27,36,39,36,69,5,50,64,60,45,39,51,41,26,24,11,16,23,46,43,43,18,40,19,45,5,21,9,9,40,22,20,43,36,14,25,51,17,28,74,20,40,52,29,13,58,21,42,30,14,47,18,62,23,56,6,66,30,47,33,20,18
v10,49,66,24,43,43,30,12,68,13,0,46,45,8,43,14,26,47,5,3,58,53,24,58,36,19,59,23,26,28,52,29,55,53,47,37,57,30,54,40,35,52,45,82,10,63,77,73,58,52,64,54,35,33,10,25,36,59,56,52,19,49,14,42,18,34,22,22,53,35,29,56,45,1,34,64,26,39,87,29,53,65,42,26,71,34,55,41,23,56,31,75,28,69,15,79,43,56,42,15,27
