,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100
v1,0,35,15,25,27,47,19,35,26,34,19,24,38,40,35,12,14,8,32,33,21,14,42,34,26,24,41,45,28,20,16,32,25,14,36,9,29,47,42,19,11,18,27,61,30,21,21,20,36,5,31,16,4,16,12,27,15,26,4,29,18,16,48,15,36,31,32,16,38,26,40,32,26,10,20,53,47,48,19,2,17,33,16,10,40,40,19,11,15,21,51,17,27,29,34,12,26,41,44,62
v2,35,0,50,26,8,44,54,20,61,43,36,27,35,17,40,23,49,43,3,16,56,37,39,31,23,43,6,14,53,23,19,33,36,43,71,26,26,14,7,52,46,17,62,58,5,36,36,55,19,40,6,19,31,39,25,52,26,29,37,26,21,31,23,50,33,66,35,33,35,41,37,29,29,43,17,50,12,15,34,37,52,30,19,41,23,37,20,24,50,56,48,18,20,6,69,31,39,6,9,59
v3,15,50,0,30,42,52,12,50,23,39,14,25,43,55,40,27,11,7,47,48,12,19,47,39,37,29,56,60,33,33,31,37,30,9,21,24,34,62,57,24,4,33,12,66,45,16,26,9,51,10,46,31,19,11,25,32,24,29,13,34,29,19,63,18,45,24,37,17,49,31,45,37,25,15,35,58,62,63,24,13,20,38,31,15,55,45,30,26,6,22,56,32,42,44,19,19,31,56,59,67
v4,25,26,30,0,22,22,28,26,35,17,44,49,13,31,14,33,23,29,25,24,30,11,19,9,13,17,32,36,27,45,19,7,10,39,45,16,10,38,33,26,34,33,36,36,23,46,10,29,27,26,22,29,27,41,13,26,10,51,21,4,7,41,39,24,21,40,9,41,25,15,15,7,51,17,11,28,38,39,8,27,26,8,31,15,31,15,6,14,24,30,26,34,42,22,43,13,13,32,35,37
v5,27,8,42,22,0,44,46,20,53,35,28,27,35,17,32,15,41,35,5,16,48,29,39,31,23,35,14,18,45,23,11,29,28,35,63,18,26,20,15,44,38,11,54,58,3,28,28,47,19,32,6,11,23,31,17,44,18,29,29,26,15,23,23,42,33,58,29,25,35,33,37,29,29,35,17,50,20,21,26,29,44,30,11,33,23,37,16,16,42,48,48,12,20,2,61,23,31,14,17,59
v6,47,44,52,22,44,0,40,38,29,13,66,71,9,43,12,55,41,51,47,36,40,33,31,13,25,23,44,48,19,67,41,15,22,61,33,38,22,50,45,28,56,55,40,14,45,68,26,43,39,48,38,51,49,63,35,20,32,73,43,18,29,63,51,34,33,28,15,63,37,21,7,15,73,37,27,6,50,51,28,49,32,14,53,37,43,7,28,36,46,30,26,56,64,44,35,35,21,46,47,15
v7,19,54,12,28,46,40,0,54,11,27,26,31,31,59,28,31,5,11,51,52,2,17,47,27,41,17,60,64,21,37,35,25,18,21,17,28,38,66,61,12,16,37,8,54,49,28,18,3,55,14,50,35,23,23,29,20,28,33,17,32,33,23,67,6,49,12,25,23,53,19,33,25,33,11,39,46,66,67,20,17,8,28,35,13,59,33,34,30,6,10,44,36,46,48,15,23,19,60,63,55
v8,35,20,50,26,20,38,54,0,61,43,42,47,29,5,40,31,49,43,23,4,56,37,19,31,13,43,14,10,53,43,19,33,36,43,71,26,16,12,19,52,46,31,62,38,21,44,36,55,1,40,14,27,31,39,25,52,26,49,37,22,21,39,13,50,13,66,35,39,15,41,33,29,49,43,15,32,20,13,34,37,52,26,29,41,5,35,20,24,50,56,28,32,40,20,69,31,39,22,19,39
v9,26,61,23,35,53,29,11,61,0,18,37,42,32,66,21,38,12,22,58,59,11,24,54,30,48,18,67,71,10,44,42,28,25,32,10,35,45,73,68,9,27,44,11,43,56,39,25,14,62,21,57,42,30,34,36,9,35,44,24,39,40,34,74,11,56,5,26,34,60,20,28,32,44,18,46,35,73,74,27,24,9,35,42,20,66,26,41,37,17,5,49,43,53,55,8,30,22,67,70,44
v10,34,43,39,17,35,13,27,43,18,0,53,58,14,48,3,42,28,38,40,41,27,20,36,12,30,10,49,53,10,54,28,10,9,48,28,25,27,55,50,15,43,42,27,27,38,55,13,30,44,35,39,38,36,50,22,9,19,60,30,21,22,50,56,21,38,23,8,50,42,8,10,14,60,24,28,19,55,56,15,36,19,17,40,24,48,8,23,23,33,17,31,43,51,37,26,22,8,49,52,28
v11,19,36,14,44,28,66,26,42,37,53,0,11,57,41,54,13,25,15,33,38,26,33,61,53,45,43,42,46,47,19,25,51,44,7,35,28,48,48,43,38,10,19,26,80,31,2,40,23,41,18,32,17,17,3,31,46,34,15,23,48,37,5,49,32,55,38,51,3,57,45,59,51,11,29,39,72,48,49,38,17,34,52,17,29,45,59,38,30,20,36,70,18,28,30,33,31,45,42,45,81
v12,24,27,25,49,27,71,31,47,42,58,11,0,62,44,59,16,30,20,24,43,31,38,66,58,50,48,33,41,52,8,30,56,49,18,46,33,53,41,32,43,21,16,37,85,26,11,45,30,46,23,33,20,22,14,36,51,39,4,28,53,42,8,50,37,60,43,56,8,62,50,64,56,2,34,44,77,37,42,43,22,39,57,18,34,50,64,43,35,25,41,75,15,17,27,44,36,50,31,34,86
v13,38,35,43,13,35,9,31,29,32,14,57,62,0,34,11,46,32,42,38,27,31,24,22,4,16,14,35,39,24,58,32,6,13,52,42,29,13,41,36,23,47,46,33,23,36,59,17,34,30,39,29,42,40,54,26,23,23,64,34,9,20,54,42,25,24,37,6,54,28,12,4,6,64,28,18,15,41,42,19,40,23,5,44,28,34,6,19,27,37,27,17,47,55,35,40,26,12,37,38,24
v14,40,17,55,31,17,43,59,5,66,48,41,44,34,0,45,28,54,48,20,7,61,42,22,36,18,48,11,5,58,40,24,38,41,48,76,31,21,7,16,57,51,28,67,41,18,41,41,60,4,45,11,24,36,44,30,57,31,46,42,27,26,36,8,55,16,71,40,38,18,46,38,34,46,48,20,37,17,8,39,42,57,31,26,46,6,40,25,29,55,61,31,29,37,17,74,36,44,19,16,42
v15,35,40,40,14,32,12,28,40,21,3,54,59,11,45,0,43,29,39,37,38,28,21,33,9,27,11,46,50,13,55,29,7,10,49,31,26,24,52,47,16,44,43,28,26,35,56,14,31,41,36,36,39,37,51,23,12,20,61,31,18,19,51,53,22,35,26,5,51,39,9,7,11,61,25,25,18,52,53,16,37,20,14,41,25,45,5,20,24,34,18,28,44,52,34,29,23,9,46,49,27
