,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100
v1,0,17,16,38,16,10,73,38,76,24,76,30,68,39,38,36,17,46,31,23,72,57,49,17,59,43,54,58,67,5,54,28,51,32,58,47,41,47,42,47,26,60,39,42,33,36,16,48,43,58,10,19,39,36,34,48,42,57,55,57,39,70,50,34,70,19,28,27,61,47,23,18,15,24,7,64,59,26,9,13,42,21,17,34,59,56,25,43,2,63,5,52,16,35,46,37,72,24,32,64
v2,17,0,9,55,11,9,56,21,59,7,59,47,51,56,21,19,34,29,48,6,55,40,32,4,42,26,37,41,50,22,37,35,50,47,41,64,24,40,25,30,9,43,46,25,50,33,21,31,26,41,21,36,22,53,17,31,33,40,38,40,38,53,33,17,53,32,11,16,44,30,14,1,30,39,24,47,42,9,26,8,25,16,10,37,42,39,16,26,19,46,22,41,33,44,33,54,55,7,15,47
v3,16,9,0,54,2,6,65,30,68,16,68,46,60,55,30,28,33,38,47,15,64,49,41,5,51,35,46,50,59,21,46,34,49,46,50,63,33,39,34,39,18,52,45,34,49,32,20,32,35,50,20,35,31,52,26,40,34,49,47,49,37,62,42,26,62,31,20,19,53,39,15,10,29,38,15,56,51,10,17,3,34,15,9,36,51,48,17,35,18,55,13,44,32,43,38,53,64,8,16,56
v4,38,55,54,0,54,48,53,52,48,48,48,8,40,11,40,56,21,46,7,55,48,29,45,55,43,53,46,30,45,33,72,20,23,8,34,11,79,19,54,57,50,64,11,74,5,22,34,86,51,46,34,19,49,2,50,62,22,57,65,29,17,42,42,68,42,23,48,39,33,43,41,56,25,16,39,36,55,64,41,51,50,39,45,18,51,30,39,41,36,39,43,24,22,11,22,7,44,62,70,50
v5,16,11,2,54,0,6,67,32,70,18,70,46,62,55,32,30,33,40,47,17,66,51,43,7,53,37,48,52,61,21,48,34,49,46,52,63,35,41,36,41,20,54,45,36,49,32,20,34,37,52,20,35,33,52,28,42,36,51,49,51,37,64,44,28,64,31,22,21,55,41,17,12,29,38,15,58,53,10,15,3,36,15,11,36,53,50,19,37,18,57,11,46,32,43,40,53,66,10,18,58
v6,10,9,6,48,6,0,65,30,68,16,68,40,60,49,30,28,27,38,41,15,64,49,41,7,51,35,46,50,59,15,46,28,43,40,50,57,33,39,34,39,18,52,39,34,43,28,14,38,35,50,14,29,31,46,26,40,34,49,47,49,31,62,42,26,62,25,20,19,53,39,15,10,23,32,15,56,51,16,17,3,34,13,9,30,51,48,17,35,12,55,13,44,26,37,38,47,64,14,22,56
v7,73,56,65,53,67,65,0,35,11,49,23,49,15,54,35,37,60,27,46,50,5,38,24,60,14,30,19,37,8,76,19,45,48,45,19,62,32,38,31,26,47,13,44,31,48,37,57,33,30,15,63,56,34,51,39,25,31,16,18,24,36,21,23,39,23,54,45,46,38,26,50,55,58,49,80,29,14,59,82,64,31,52,56,39,14,23,48,30,71,14,78,39,61,42,31,52,21,57,49,9
v8,38,21,30,52,32,30,35,0,38,14,38,44,30,53,12,4,31,8,45,15,34,37,11,25,21,5,16,36,29,41,20,32,47,44,20,61,27,37,4,9,12,22,43,22,47,30,22,34,5,20,28,33,3,50,4,10,30,19,17,23,35,32,12,16,32,29,10,13,37,9,15,20,27,36,45,28,21,24,47,29,4,17,21,34,21,22,13,11,36,25,43,38,30,41,30,51,34,22,18,26
v9,76,59,68,48,70,68,11,38,0,52,12,52,8,43,38,40,63,30,47,53,6,27,27,63,17,33,22,26,9,79,30,48,37,44,18,51,37,29,34,29,50,22,37,34,51,40,60,44,33,18,66,59,37,48,42,28,34,19,23,19,37,10,26,42,12,57,48,49,27,29,53,58,61,52,83,18,17,62,85,67,34,55,59,42,17,20,51,33,74,13,81,28,64,41,30,41,10,60,52,12
v10,24,7,16,48,18,16,49,14,52,0,52,40,44,49,14,12,27,22,41,7,48,33,25,11,35,19,30,34,43,27,30,28,43,40,34,57,31,33,18,23,2,36,39,26,43,26,14,38,19,34,14,29,15,46,10,24,26,33,31,33,31,46,26,20,46,25,4,9,37,23,7,8,23,32,31,40,35,16,33,15,18,9,7,30,35,32,9,19,22,39,29,34,26,37,26,47,48,14,22,40
v11,76,59,68,48,70,68,23,38,12,52,0,52,8,37,38,40,63,30,47,53,18,19,27,63,17,33,22,18,15,79,42,48,25,44,18,39,49,29,34,29,50,34,37,44,51,40,60,56,33,18,66,59,37,48,42,32,34,27,35,19,37,6,26,42,6,57,48,49,15,29,53,58,61,52,83,12,25,62,85,67,34,55,59,42,21,20,51,33,74,13,81,24,64,41,30,41,4,60,52,20
v12,30,47,46,8,46,40,49,44,52,40,52,0,44,15,32,48,13,38,5,47,48,33,37,47,35,45,38,34,43,27,64,12,27,8,34,17,71,23,46,49,42,56,15,66,3,14,26,78,43,38,26,11,41,6,42,54,18,49,57,33,15,46,34,60,46,15,40,31,37,35,33,48,17,8,31,40,47,56,33,43,42,31,37,10,43,32,31,33,28,39,35,28,14,11,22,11,48,54,62,42
v13,68,51,60,40,62,60,15,30,8,44,8,44,0,39,30,32,55,22,39,45,10,23,19,55,9,25,14,22,7,71,34,40,33,36,10,47,41,23,26,21,42,26,29,36,43,32,52,48,25,10,58,51,29,40,34,24,26,19,27,11,29,6,18,34,8,49,40,41,23,21,45,50,53,44,75,14,17,54,77,59,26,47,51,34,13,12,43,25,66,5,73,24,56,33,22,37,6,52,44,12
v14,39,56,55,11,55,49,54,53,43,49,37,15,39,0,41,57,26,47,10,56,49,18,46,56,44,54,47,19,46,42,73,21,12,9,35,8,80,16,55,58,51,65,10,75,14,23,35,87,52,47,35,22,50,11,51,63,23,58,66,30,18,33,43,69,31,24,49,40,22,44,42,57,26,17,46,25,56,65,48,52,51,40,46,19,52,31,40,42,37,40,44,15,27,12,23,4,33,63,71,51
v15,38,21,30,40,32,30,35,12,38,14,38,32,30,41,0,16,25,8,33,15,34,25,11,25,21,13,16,24,29,41,32,20,35,32,20,49,39,25,14,17,12,24,31,34,35,18,22,46,11,20,28,21,9,38,10,22,18,19,25,19,23,32,12,28,32,19,10,11,25,9,15,20,23,24,45,26,21,24,47,29,10,17,21,22,21,18,13,5,36,25,43,26,26,29,18,39,34,22,30,26
v16,36,19,28,56,30,28,37,4,40,12,40,48,32,57,16,0,35,10,49,13,36,41,13,23,23,7,18,40,31,39,18,36,51,48,22,65,23,41,6,11,10,24,47,18,51,34,22,30,7,22,26,37,7,54,6,12,34,21,19,27,39,34,14,12,34,33,8,17,41,13,15,18,31,40,43,32,23,22,45,27,6,17,19,38,23,26,17,15,34,27,41,42,34,45,34,55,36,20,14,28
v17,17,34,33,21,33,27,60,31,63,27,63,13,55,26,25,35,0,33,16,34,59,44,36,34,46,32,41,45,54,16,51,15,38,19,45,30,58,34,33,36,29,47,26,53,16,23,13,65,30,45,13,4,28,19,29,41,29,44,44,44,26,57,37,47,57,6,27,18,48,34,20,35,4,11,20,51,46,43,22,30,29,18,24,21,46,43,18,30,15,50,22,39,1,22,33,22,59,41,49,51
