,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100
v1,0,40,32,26,49,16,10,11,5,25,41,28,23,42,29,10,30,26,22,18,37,20,11,17,21,47,9,17,45,4,29,9,15,15,17,45,20,11,17,12,25,16,16,26,11,24,36,24,23,31,7,14,30,23,13,30,12,44,26,31,13,7,21,13,25,19,32,28,28,23,25,7,42,10,27,40,24,44,30,32,10,28,18,18,13,52,27,30,19,43,21,40,24,15,27,25,20,17,26,23
v2,40,0,22,66,31,56,38,29,45,15,3,44,63,14,35,34,50,46,18,48,57,40,51,23,41,27,49,57,11,44,11,49,31,27,37,25,40,37,23,52,65,24,28,30,51,64,6,54,43,39,43,46,10,49,43,26,28,4,20,37,29,33,61,27,41,59,44,22,12,19,15,47,30,50,67,20,30,40,70,52,40,12,34,48,53,12,67,70,21,9,31,26,50,55,67,17,24,53,26,43
v3,32,22,0,58,51,48,30,21,37,15,25,36,55,10,31,26,28,24,10,40,35,28,43,15,25,49,41,49,13,36,23,41,23,19,23,13,26,29,15,44,57,16,16,8,43,56,28,46,27,33,35,38,20,41,35,4,20,20,6,15,19,25,53,19,33,51,36,4,22,25,9,39,44,42,59,42,8,46,62,30,32,20,26,40,45,20,59,62,13,13,11,42,42,47,59,7,22,45,6,23
v4,26,66,58,0,57,12,28,37,21,51,67,36,23,68,37,32,40,50,48,18,37,30,15,43,33,55,17,9,71,22,55,17,35,39,35,71,32,29,43,14,11,42,42,52,15,14,62,32,31,39,23,20,56,17,23,56,38,70,52,57,39,33,23,39,33,21,40,54,54,47,51,19,50,16,21,48,50,52,14,30,26,54,32,26,13,78,29,8,45,69,47,48,16,11,15,51,42,13,52,35
v5,49,31,51,57,0,45,59,44,54,36,32,21,34,43,20,59,79,75,41,67,86,69,42,42,70,4,52,56,40,49,28,44,34,34,66,54,69,38,52,45,46,43,57,59,44,43,27,25,72,18,42,63,31,72,36,55,47,35,49,66,58,46,34,46,24,36,17,51,29,26,42,56,7,49,36,11,59,9,43,81,59,31,31,31,62,43,36,49,50,38,60,9,73,64,42,46,29,66,55,72
v6,16,56,48,12,45,0,18,27,11,41,57,24,11,58,25,22,34,40,38,22,41,24,5,33,25,43,7,11,61,12,45,7,25,29,25,61,24,19,33,4,9,32,32,42,5,8,52,20,27,27,13,18,46,27,13,46,28,60,42,47,29,23,11,29,21,9,28,44,44,37,41,11,38,6,11,36,40,40,14,36,16,44,22,14,17,68,17,14,35,59,37,36,28,19,11,41,32,21,42,27
v7,10,38,30,28,59,18,0,15,7,23,39,38,25,40,39,4,20,22,20,10,27,10,17,17,11,57,11,19,43,10,31,15,25,25,7,43,10,21,15,14,27,16,14,24,15,26,36,34,13,41,17,8,28,13,23,28,12,42,24,29,11,13,25,13,35,23,42,26,30,33,23,9,52,12,29,50,22,54,32,22,2,28,28,28,15,50,31,32,17,41,19,50,14,17,29,23,30,15,24,13
v8,11,29,21,37,44,27,15,0,16,14,30,23,34,31,24,15,35,31,11,23,42,25,22,6,26,42,20,28,34,15,18,20,10,10,22,34,25,8,8,23,36,5,13,15,22,35,25,25,28,26,14,19,19,28,14,19,3,33,15,22,14,4,32,2,20,30,27,17,17,18,14,18,37,21,38,35,15,39,41,37,15,17,13,19,24,41,38,41,8,32,16,35,29,26,38,14,15,24,15,28
v9,5,45,37,21,54,11,7,16,0,30,46,33,20,47,34,11,25,29,27,13,32,15,12,22,16,52,4,12,50,5,34,10,20,20,14,50,15,16,22,9,20,21,21,31,10,19,41,29,18,36,12,9,35,18,18,35,17,49,31,36,18,12,20,18,30,18,37,33,33,28,30,2,47,5,22,45,29,49,25,27,5,33,23,23,8,57,26,25,24,48,26,45,19,10,22,30,25,12,31,18
v10,25,15,15,51,36,41,23,14,30,0,16,29,48,17,20,23,43,39,5,33,50,33,36,8,34,34,34,42,20,29,8,34,16,12,30,20,33,22,16,37,50,9,21,23,36,49,13,39,36,24,28,31,5,36,28,19,13,19,13,30,22,18,46,12,26,44,29,15,7,10,6,32,29,35,52,27,23,31,55,45,25,5,19,33,38,27,52,55,14,18,24,27,37,40,52,10,9,38,19,36
v11,41,3,25,67,32,57,39,30,46,16,0,45,64,17,36,35,53,49,19,49,60,43,52,24,44,28,50,58,14,45,12,50,32,28,40,28,43,38,26,53,66,25,31,33,52,65,5,55,46,40,44,47,11,50,44,29,29,5,23,40,32,34,62,28,42,60,45,25,13,20,16,48,31,51,68,21,33,41,71,55,41,13,35,49,54,11,68,71,24,12,34,27,51,56,68,20,25,54,29,46
v12,28,44,36,36,21,24,38,23,33,29,45,0,19,46,9,38,58,54,26,46,65,48,21,21,49,19,31,35,49,28,33,23,13,17,45,49,48,17,31,24,25,22,36,38,23,22,40,10,51,5,21,42,34,51,15,34,26,48,30,45,37,25,17,25,3,15,4,32,32,25,29,35,14,28,23,24,38,16,26,60,38,32,10,10,41,56,23,28,29,47,39,18,52,43,23,29,20,45,34,51
v13,23,63,55,23,34,11,25,34,20,48,64,19,0,65,28,29,45,47,45,33,52,35,12,40,36,36,18,22,68,19,52,14,32,36,32,68,35,26,40,11,12,39,39,49,12,9,59,9,38,24,20,29,53,38,20,53,35,67,49,54,36,30,2,36,22,4,19,51,51,44,48,22,33,15,4,43,47,29,9,47,25,51,29,15,28,75,6,15,42,66,44,37,39,30,8,48,39,32,49,38
v14,42,14,10,68,43,58,40,31,47,17,17,46,65,0,37,36,36,32,20,50,43,38,53,25,35,41,51,59,3,46,15,51,33,29,33,11,36,39,25,54,67,26,26,16,53,66,20,56,37,41,45,48,12,51,45,12,30,12,16,23,29,35,63,29,43,61,46,14,14,21,17,49,36,52,69,34,18,42,72,38,42,14,36,50,55,10,69,72,23,5,21,34,52,57,69,17,26,55,16,33
v15,29,35,31,37,20,25,39,24,34,20,36,9,28,37,0,39,59,55,21,47,66,49,22,22,50,18,32,36,40,29,24,24,14,14,46,40,49,18,32,25,30,23,37,39,24,29,31,19,52,4,22,43,25,52,16,35,27,39,29,46,38,26,26,26,6,24,9,31,23,16,22,36,13,29,32,15,39,15,35,61,39,23,11,13,42,47,32,35,30,38,40,11,53,44,32,26,11,46,35,52
v16,10,34,26,32,59,22,4,15,11,23,35,38,29,36,39,0,20,18,18,14,27,10,17,17,11,57,15,23,39,10,31,15,25,25,7,39,10,21,11,18,31,16,10,20,17,30,36,34,13,41,17,12,28,15,23,24,12,38,20,25,7,13,27,13,35,25,42,22,30,33,19,13,52,16,33,50,18,54,36,22,6,28,28,28,19,46,33,36,13,37,15,50,16,21,33,19,30,19,20,13
v17,30,50,28,40,79,34,20,35,25,43,53,58,45,36,59,20,0,10,38,22,7,10,37,37,9,77,27,31,39,30,51,35,45,45,13,31,10,41,27,34,39,36,22,20,35,38,56,54,9,61,37,20,48,23,43,24,32,48,30,17,21,33,45,33,55,43,62,28,50,53,37,23,72,30,43,70,20,74,44,10,20,48,48,48,27,42,51,44,29,41,19,70,24,29,41,33,50,27,24,7
v18,26,46,24,50,75,40,22,31,29,39,49,54,47,32,55,18,10,0,34,32,13,20,35,33,17,73,33,41,35,28,47,33,41,41,15,21,18,37,23,36,49,32,18,16,35,48,52,50,19,57,33,30,44,33,39,20,28,44,26,9,17,29,45,29,51,43,58,24,46,49,33,31,68,34,51,66,16,70,54,20,24,44,44,44,37,38,51,54,25,37,15,66,34,39,51,29,46,37,20,15
v19,22,18,10,48,41,38,20,11,27,5,19,26,45,20,21,18,38,34,0,30,45,28,33,5,29,39,31,39,23,26,13,31,13,9,25,23,28,19,11,34,47,6,16,18,33,46,18,36,31,23,25,28,10,31,25,14,10,22,8,25,17,15,43,9,23,41,26,10,12,15,3,29,34,32,49,32,18,36,52,40,22,10,16,30,35,30,49,52,9,21,19,32,32,37,49,5,12,35,14,31
v20,18,48,40,18,67,22,10,23,13,33,49,46,33,50,47,14,22,32,30,0,19,12,25,25,15,65,15,11,53,18,39,23,33,33,17,53,14,29,25,22,21,24,24,34,23,24,44,42,13,49,25,4,38,5,31,38,20,52,34,39,21,21,33,21,43,31,50,36,38,41,33,11,60,18,31,58,32,62,24,14,8,36,36,36,5,60,39,22,27,51,29,58,6,7,25,33,38,5,34,17
v21,37,57,35,37,86,41,27,42,32,50,60,65,52,43,66,27,7,13,45,19,0,17,44,44,16,84,34,30,46,37,58,42,52,52,20,34,17,48,34,41,40,43,29,27,42,43,63,61,14,68,44,23,55,20,50,31,39,55,37,20,28,40,52,40,62,50,69,35,57,60,44,30,79,37,50,77,27,81,43,7,27,55,55,55,24,49,58,41,36,48,26,77,21,26,44,40,57,24,31,14
v22,20,40,28,30,69,24,10,25,15,33,43,48,35,38,49,10,10,20,28,12,17,0,27,27,3,67,17,21,41,20,41,25,35,35,5,41,2,31,17,24,29,26,12,22,25,28,46,44,3,51,27,10,38,13,33,26,22,40,22,27,11,23,35,23,45,33,52,24,40,43,27,13,62,20,33,60,20,64,34,12,10,38,38,38,17,48,41,34,19,39,17,60,14,19,31,23,40,17,22,5
v23,11,51,43,15,42,5,17,22,12,36,52,21,12,53,22,17,37,35,33,25,44,27,0,28,28,40,10,14,56,7,40,2,20,24,24,56,27,14,28,3,14,27,27,37,2,13,47,17,30,24,8,21,41,30,8,41,23,55,37,42,24,18,10,24,18,8,25,39,39,32,36,14,35,7,16,33,35,37,19,39,17,39,17,11,20,63,16,19,30,54,32,33,31,22,16,36,27,24,37,30
v24,17,23,15,43,42,33,17,6,22,8,24,21,40,25,22,17,37,33,5,25,44,27,28,0,28,40,26,34,28,21,14,26,8,8,24,28,27,14,10,29,42,1,15,17,28,41,19,31,30,24,20,23,13,30,20,13,5,27,9,24,16,10,38,4,18,36,25,11,13,16,8,24,35,27,44,33,17,37,47,39,17,11,11,25,30,35,44,47,8,26,18,33,31,32,44,8,13,30,13,30
v25,21,41,25,33,70,25,11,26,16,34,44,49,36,35,50,11,9,17,29,15,16,3,28,28,0,68,18,24,38,21,42,26,36,36,4,38,1,32,18,25,32,27,13,19,26,31,47,45,2,52,28,13,39,16,34,23,23,39,21,24,12,24,36,24,46,34,53,21,41,44,28,14,63,21,34,61,17,65,37,11,11,39,39,39,20,45,42,37,20,36,14,61,17,22,34,24,41,20,19,2
v26,47,27,49,55,4,43,57,42,52,34,28,19,36,41,18,57,77,73,39,65,84,67,40,40,68,0,50,54,38,47,26,42,32,32,64,52,67,36,50,43,44,41,55,57,42,41,23,27,70,16,40,61,29,70,34,53,45,31,47,64,56,44,34,44,22,34,17,49,27,24,40,54,5,47,40,7,57,13,43,79,57,29,29,29,60,39,40,47,48,36,58,7,71,62,40,44,27,64,53,70
v27,9,49,41,17,52,7,11,20,4,34,50,31,18,51,32,15,27,33,31,15,34,17,10,26,18,50,0,8,54,5,38,8,18,22,18,54,17,14,26,7,16,25,25,35,8,15,45,27,20,34,10,11,39,20,16,39,21,53,35,40,22,16,18,22,28,16,35,37,37,30,34,4,45,3,18,43,33,47,21,29,9,37,21,21,10,61,24,21,28,52,30,43,21,12,18,34,25,14,35,20
v28,17,57,49,9,56,11,19,28,12,42,58,35,22,59,36,23,31,41,39,11,30,21,14,34,24,54,8,0,62,13,46,12,26,30,26,62,23,20,34,11,10,33,33,43,12,13,53,31,22,38,14,11,47,16,20,47,29,61,43,48,30,24,22,30,32,20,39,45,45,38,42,10,49,7,20,47,41,51,13,25,17,45,25,25,6,69,28,13,36,60,38,47,17,8,14,42,33,10,43,26
v29,45,11,13,71,40,61,43,34,50,20,14,49,68,3,40,39,39,35,23,53,46,41,56,28,38,38,54,62,0,49,16,54,36,32,36,14,39,42,28,57,70,29,29,19,56,69,17,59,40,44,48,51,15,54,48,15,33,9,19,26,32,38,66,32,46,64,49,17,17,24,20,52,35,55,72,31,21,45,75,41,45,17,39,53,58,7,72,75,26,2,24,31,55,60,72,20,29,58,19,36
v30,4,44,36,22,49,12,10,15,5,29,45,28,19,46,29,10,30,28,26,18,37,20,7,21,21,47,5,13,49,0,33,5,15,17,17,49,20,11,21,8,21,20,20,30,7,20,40,24,23,31,7,14,34,23,13,34,16,48,30,35,17,11,17,17,25,15,32,32,32,25,29,7,42,6,23,40,28,44,26,32,10,32,18,18,13,56,23,26,23,47,25,40,24,15,23,29,20,17,30,23
v31,29,11,23,55,28,45,31,18,34,8,12,33,52,15,24,31,51,47,13,39,58,41,40,14,42,26,38,46,16,33,0,38,20,16,38,26,41,26,24,41,54,15,29,31,40,53,7,43,44,28,32,35,3,44,32,27,19,15,21,38,30,22,50,18,30,48,33,23,1,8,14,36,21,39,56,19,31,29,59,53,31,3,23,37,42,23,56,59,22,14,32,19,45,44,56,18,13,42,27,44
v32,9,49,41,17,44,7,15,20,10,34,50,23,14,51,24,15,35,33,31,23,42,25,2,26,26,42,8,12,54,5,38,0,18,22,22,54,25,12,26,3,16,25,25,35,2,15,45,19,28,26,6,19,39,28,8,39,21,53,35,40,22,16,12,22,20,10,27,37,37,30,34,12,37,5,18,35,33,39,21,37,15,37,15,13,18,61,18,21,28,52,30,35,29,20,18,34,25,22,35,28
v33,15,31,23,35,34,25,25,10,20,16,32,13,32,33,14,25,45,41,13,33,52,35,20,8,36,32,18,26,36,15,20,18,0,4,32,36,35,6,18,21,34,9,23,25,20,33,27,23,38,16,12,29,21,38,12,21,13,35,17,32,24,12,30,12,10,28,17,19,19,12,16,22,27,19,36,25,25,29,39,47,25,19,3,17,28,43,36,39,16,34,26,25,39,30,36,16,7,32,21,38
v34,15,27,19,39,34,29,25,10,20,12,28,17,36,29,14,25,45,41,9,33,52,35,24,8,36,32,22,30,32,17,16,22,4,0,32,32,35,10,18,25,38,9,23,25,24,37,23,27,38,16,16,29,17,38,16,21,13,31,15,32,24,12,34,12,14,32,17,17,15,8,12,22,27,23,40,25,25,29,43,47,25,15,7,21,28,39,40,43,16,30,26,25,39,30,40,12,5,32,21,38
v35,17,37,23,35,66,25,7,22,14,30,40,45,32,33,46,7,13,15,25,17,20,5,24,24,4,64,18,26,36,17,38,22,32,32,0,36,3,28,14,21,34,23,9,17,22,33,43,41,6,48,24,15,35,18,30,21,19,35,17,22,8,20,32,20,42,30,49,19,37,40,24,16,59,19,36,57,15,61,39,15,9,35,35,35,22,43,38,39,16,34,12,57,19,24,36,20,37,22,17,6
v36,45,25,13,71,54,61,43,34,50,20,28,49,68,11,40,39,31,21,23,53,34,41,56,28,38,52,54,62,14,49,26,54,36,32,36,0,39,42,28,57,70,29,29,19,56,69,31,59,40,44,48,51,23,54,48,15,33,23,19,14,32,38,66,32,46,64,49,17,25,28,20,52,47,55,72,45,21,49,75,41,45,23,39,53,58,17,72,75,26,16,24,45,55,60,72,20,29,58,19,36
