,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100
v1,0,40,16,31,30,29,12,20,18,31,35,55,36,53,18,5,17,19,45,18,30,38,49,20,19,62,23,22,37,30,13,22,43,28,39,24,35,23,30,30,36,33,31,10,51,54,54,16,16,17,17,19,45,19,15,28,34,17,25,34,13,32,12,33,52,16,26,33,18,52,20,57,17,26,25,43,25,36,37,18,33,11,29,16,43,16,44,13,47,5,24,7,31,28,21,23,48,46,28,51
v2,40,0,30,39,28,29,36,20,32,9,35,55,10,15,22,35,29,39,45,58,36,2,49,34,59,62,63,18,41,38,27,36,43,34,39,64,25,49,40,36,30,7,19,34,19,54,54,48,24,23,23,39,47,23,49,26,18,57,65,6,31,8,40,15,12,56,28,7,40,14,60,57,49,26,25,43,39,36,17,22,7,29,21,42,43,24,4,41,47,35,62,35,31,28,61,57,48,16,48,51
v3,16,30,0,47,44,13,6,10,34,21,51,71,26,43,8,13,33,9,61,28,14,28,65,4,33,78,35,28,53,46,7,38,59,12,55,40,41,39,46,46,46,23,35,6,41,70,70,18,10,31,7,35,61,7,31,42,34,27,39,24,29,22,28,31,42,28,42,23,34,42,34,73,19,42,41,59,41,52,33,20,23,27,37,12,59,6,34,29,63,21,40,23,47,44,31,39,64,36,44,67
v4,31,39,47,0,29,60,43,49,13,30,34,24,35,52,47,34,14,50,14,21,61,37,18,51,20,31,24,21,6,1,40,9,12,59,10,25,34,10,1,3,35,32,30,41,50,23,23,47,37,16,40,12,14,50,16,27,33,28,26,37,18,37,19,32,51,19,11,38,13,51,21,26,48,21,24,12,6,29,36,27,32,20,28,47,24,41,43,18,22,26,23,24,12,21,36,18,17,45,9,20
v5,30,28,44,29,0,57,40,46,22,23,7,27,18,23,44,31,19,47,17,48,58,26,23,48,49,34,53,16,31,28,37,26,33,56,19,54,5,39,30,26,6,27,9,38,21,26,26,44,34,13,37,29,37,47,39,2,10,47,55,34,21,34,30,13,22,46,18,35,30,22,50,29,45,8,5,23,29,8,11,24,29,19,7,44,15,38,24,31,19,25,52,25,17,8,51,47,22,16,38,23
v6,29,29,13,60,57,0,17,11,47,34,64,84,39,44,13,26,46,10,74,39,7,31,78,9,46,91,48,41,66,59,20,51,72,5,68,53,54,52,59,59,59,30,48,19,48,83,83,19,23,44,20,48,74,10,44,55,47,32,52,23,42,23,41,44,41,41,55,22,47,43,47,86,20,55,54,72,54,65,46,33,28,40,50,13,72,19,33,42,76,34,53,36,60,57,32,52,77,45,57,80
v7,12,36,6,43,40,17,0,16,30,27,47,67,32,49,14,9,29,7,57,22,18,34,61,8,29,74,31,24,49,42,9,34,55,16,51,36,37,35,42,42,42,29,31,2,47,66,66,12,12,27,13,31,57,13,27,38,30,21,35,30,25,28,24,29,48,24,38,29,30,48,30,69,13,38,37,55,37,48,33,16,29,23,33,6,55,12,40,25,59,17,36,19,43,40,25,35,60,42,40,63
v8,20,20,10,49,46,11,16,0,36,23,53,73,28,33,2,15,35,19,63,38,16,20,67,14,39,80,43,30,55,48,9,40,61,14,57,44,43,41,48,48,48,19,37,14,37,72,72,28,12,33,9,37,63,3,33,44,36,37,45,14,31,12,30,33,32,36,44,13,36,32,40,75,29,44,43,61,43,54,35,22,17,29,39,22,61,8,24,31,65,23,42,25,49,46,41,41,66,34,46,69
v9,18,32,34,13,22,47,30,36,0,23,27,37,28,45,34,21,3,37,27,26,48,30,31,38,27,44,31,14,19,12,27,4,25,46,21,32,27,17,12,12,28,25,23,28,43,36,36,34,24,9,27,7,27,37,17,20,26,25,33,26,5,24,8,25,44,24,8,25,8,44,28,39,35,14,17,25,7,22,29,14,25,7,21,34,25,28,36,9,29,13,30,11,13,14,29,25,30,38,16,33
v10,31,9,21,30,23,34,27,23,23,0,30,50,5,22,21,26,20,30,40,49,35,7,44,25,50,57,54,9,32,29,18,27,38,33,34,55,20,40,31,27,25,4,14,25,20,49,49,39,15,14,14,30,40,24,40,21,13,48,56,11,22,11,31,10,21,47,21,12,31,21,51,52,40,21,20,38,30,31,12,13,6,20,16,33,38,15,13,32,42,26,53,26,26,23,52,48,43,15,39,46
v11,35,35,51,34,7,64,47,53,27,30,0,28,25,20,51,38,24,54,20,53,65,33,28,55,54,29,58,23,36,33,44,31,38,63,24,59,10,44,35,31,5,34,16,45,16,19,27,51,41,20,44,34,42,54,44,9,17,52,60,41,26,41,35,20,25,51,23,42,35,21,55,34,52,13,10,28,34,5,18,31,36,24,14,51,10,45,31,36,12,30,57,30,22,13,56,52,27,19,43,26
v12,55,55,71,24,27,84,67,73,37,50,28,0,45,46,71,58,38,74,10,45,85,53,6,75,38,7,36,43,18,25,64,33,12,83,16,31,30,32,25,25,29,54,36,65,44,9,1,71,61,40,64,36,14,74,40,29,37,52,32,61,42,61,43,40,45,43,29,62,37,45,37,6,72,29,30,12,30,23,38,51,56,44,34,71,18,65,51,42,16,50,31,48,24,27,60,32,7,39,27,4
v13,36,10,26,35,18,39,32,28,28,5,25,45,0,17,26,31,25,35,35,54,40,8,39,30,55,52,59,14,37,34,23,32,39,38,29,60,15,45,36,32,20,9,9,30,15,44,44,44,20,19,19,35,43,29,45,16,8,53,61,16,27,16,36,5,16,52,24,17,36,16,56,47,45,16,15,33,35,26,7,18,11,25,11,38,33,20,8,37,37,31,58,31,23,18,57,53,38,10,44,41
v14,53,15,43,52,23,44,49,33,45,22,20,46,17,0,35,48,42,52,38,71,49,15,46,47,72,47,76,31,54,51,40,49,56,47,42,77,18,62,53,49,17,20,22,47,4,39,45,61,37,36,36,52,60,36,62,25,19,70,78,21,44,21,53,20,5,69,41,22,53,1,73,52,62,31,28,46,52,23,16,35,20,42,24,55,28,37,11,54,32,48,75,48,40,31,74,70,45,7,61,44
v15,18,22,8,47,44,13,14,2,34,21,51,71,26,35,0,13,33,17,61,36,14,20,65,12,37,78,41,28,53,46,7,38,59,12,55,42,41,39,46,46,46,17,35,12,35,70,70,26,10,31,7,35,61,3,31,42,34,35,43,16,29,14,28,31,34,34,42,15,34,34,38,73,27,42,41,59,41,52,33,20,15,27,37,20,59,6,26,29,63,21,40,23,47,44,39,39,64,32,44,67
v16,5,35,13,34,31,26,9,15,21,26,38,58,31,48,13,0,20,16,48,23,27,33,52,17,24,65,28,17,40,33,8,25,46,25,42,29,30,26,33,33,33,28,26,7,46,57,57,13,11,18,12,22,48,16,18,29,29,22,30,29,16,27,15,28,47,21,29,28,21,47,25,60,14,29,28,46,28,39,32,13,28,14,24,13,46,11,39,16,50,8,27,10,34,31,26,26,51,41,31,54
v17,17,29,33,14,19,46,29,35,3,20,24,38,25,42,33,20,0,36,28,29,47,27,32,37,30,45,34,11,20,13,26,7,26,45,22,35,24,20,13,13,25,22,20,27,40,37,37,33,23,6,26,10,28,36,20,17,23,28,36,23,4,23,11,22,41,27,9,24,11,41,31,40,34,11,14,26,10,19,26,13,22,6,18,33,26,27,33,12,30,12,33,10,14,11,32,28,31,35,19,34
v18,19,39,9,50,47,10,7,19,37,30,54,74,35,52,17,16,36,0,64,29,11,37,68,5,36,81,38,31,56,49,12,41,62,9,58,43,44,42,49,49,49,32,38,9,50,73,73,9,15,34,16,38,64,16,34,45,37,22,42,33,32,31,31,34,51,31,45,32,37,51,37,76,10,45,44,62,44,55,36,23,32,30,40,3,62,15,43,32,66,24,43,26,50,47,22,42,67,45,47,70
