,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100
v1,0,51,48,63,48,22,27,31,23,63,55,24,64,56,58,42,30,59,60,14,24,58,63,45,56,66,25,38,30,55,32,38,63,36,4,43,61,24,50,27,55,27,8,40,48,32,8,42,23,16,37,7,39,36,44,21,38,40,39,40,8,68,25,54,43,21,38,65,44,31,31,6,15,49,36,24,32,42,68,12,24,57,55,56,43,47,2,44,66,4,26,65,41,13,43,55,30,24,39,52
v2,51,0,31,12,23,29,24,60,28,56,20,27,15,49,19,45,29,24,19,37,37,23,56,24,7,59,26,41,71,48,19,31,12,25,47,36,54,41,13,24,48,24,53,41,41,25,57,35,28,41,20,44,32,29,27,30,13,55,32,27,43,17,36,47,48,30,13,58,9,40,30,45,36,12,31,27,53,37,17,39,63,50,48,21,36,22,53,37,59,47,71,20,34,38,60,4,21,27,12,51
v3,48,31,0,21,8,52,23,57,57,31,11,36,16,36,12,42,26,11,12,46,34,10,25,7,24,28,31,38,68,17,48,26,19,12,44,19,23,38,18,29,31,25,50,38,36,18,54,26,43,38,11,41,11,20,4,27,18,52,19,8,40,20,33,34,45,43,36,27,40,37,27,42,33,19,28,54,50,34,20,36,60,19,21,10,11,9,50,20,28,44,68,17,11,37,57,29,32,24,31,48
v4,63,12,21,0,15,41,36,72,40,46,10,39,5,51,9,57,41,14,9,49,49,13,46,18,7,49,38,53,83,38,31,41,2,27,59,34,44,53,13,36,46,36,65,53,51,33,69,41,40,53,26,56,26,35,19,42,25,67,34,23,55,7,48,49,60,42,25,48,19,52,42,57,48,14,43,39,65,49,5,51,75,40,38,11,26,16,65,35,49,59,83,10,26,50,72,8,33,39,24,63
v5,48,23,8,15,0,44,21,57,49,33,7,28,16,36,10,42,26,11,12,38,34,10,33,3,16,36,23,38,68,25,40,26,15,12,44,19,31,38,10,21,31,21,50,38,36,18,54,26,35,38,11,41,11,20,4,27,10,52,19,8,40,20,33,34,45,35,28,35,32,37,27,42,33,11,28,46,50,34,20,36,60,27,25,8,13,1,50,20,36,44,68,17,11,35,57,21,24,24,23,48
v6,22,29,52,41,44,0,29,45,5,77,41,16,42,70,40,56,44,45,40,8,38,44,77,45,34,80,21,52,44,69,10,52,41,46,18,57,75,38,34,23,69,27,24,54,62,46,28,56,9,30,41,15,53,50,48,33,34,54,53,48,14,46,39,68,57,9,16,79,22,45,45,20,21,33,50,2,46,56,46,16,38,71,69,42,57,43,24,58,80,18,42,43,55,15,57,33,20,36,21,66
v7,27,24,23,36,21,29,0,36,34,48,28,13,37,41,31,27,15,32,33,23,13,31,48,18,29,51,8,23,47,40,25,23,36,17,23,28,46,17,23,6,40,2,29,25,33,17,33,27,20,17,12,20,24,21,19,6,11,31,24,19,19,41,12,39,28,20,13,50,17,16,16,21,12,22,21,31,29,27,41,15,39,42,40,29,28,20,29,29,51,23,47,38,26,14,36,28,9,7,12,37
v8,31,60,57,72,57,45,36,0,50,32,64,33,73,25,67,15,31,68,69,39,23,67,38,54,65,41,34,19,11,42,41,31,72,45,29,38,44,19,59,36,26,36,23,19,21,39,23,31,36,19,46,30,46,37,53,30,47,9,38,49,33,77,24,23,12,36,47,36,53,20,30,25,24,58,29,47,7,23,77,29,7,46,36,65,46,56,29,37,35,31,11,74,46,30,12,64,39,33,48,21
v9,23,28,57,40,49,5,34,50,0,82,46,21,41,75,45,61,49,50,45,11,43,49,82,50,33,85,26,57,49,74,9,57,40,51,21,62,80,43,39,28,74,32,27,59,67,51,29,61,14,35,46,20,58,55,53,38,39,59,58,53,17,45,44,73,62,14,21,84,21,50,50,25,26,38,55,3,51,61,45,21,43,76,74,47,62,48,25,63,85,19,45,46,60,20,62,32,25,41,26,71
v10,63,56,31,46,33,77,48,32,82,0,38,61,47,7,41,21,33,42,43,71,39,41,12,32,49,15,56,25,37,16,73,25,46,31,61,20,18,39,43,54,8,50,55,23,15,31,55,21,68,47,36,62,24,27,29,44,43,23,24,29,65,51,38,9,20,68,61,10,65,32,32,57,56,44,27,79,31,21,51,61,39,20,10,39,20,34,61,19,9,63,37,48,22,62,26,54,57,41,56,17
