,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100
v1,0,12,31,24,28,11,29,28,41,16,12,35,26,21,26,7,54,22,36,35,9,15,13,51,27,39,45,31,20,27,23,33,46,26,41,20,37,19,12,16,37,33,15,15,25,36,18,45,43,11,5,31,34,4,45,42,37,35,33,5,29,50,35,6,55,17,22,28,36,32,33,26,12,18,37,21,43,14,25,34,32,22,28,51,24,38,34,45,12,45,24,26,26,13,47,11,3,48,52,26
v2,12,0,37,36,34,17,35,40,47,22,6,41,24,33,32,11,66,34,42,29,3,13,19,57,39,45,57,23,28,39,35,39,52,38,47,32,25,25,24,28,49,45,21,3,31,48,30,51,55,13,13,37,40,8,57,48,43,41,39,17,41,56,47,12,61,23,16,40,48,44,39,38,2,22,49,17,55,26,23,40,38,28,34,63,30,44,42,57,6,51,36,38,38,25,59,21,15,60,64,38
v3,31,37,0,49,9,42,6,23,10,15,43,6,57,16,13,38,49,31,19,66,36,46,18,20,52,8,40,36,11,22,30,22,15,45,12,21,42,12,43,23,32,28,16,34,14,31,23,14,38,42,26,16,9,29,40,27,20,6,4,34,24,19,40,25,24,14,27,49,31,27,10,25,35,49,32,26,38,25,56,15,9,53,5,46,23,7,25,40,43,14,19,41,21,26,42,42,30,43,47,21
v4,24,36,49,0,46,19,47,36,59,34,32,53,12,35,44,25,30,18,54,17,33,23,31,69,3,57,27,55,38,41,19,51,64,4,59,28,61,37,12,26,33,29,35,39,43,32,26,63,43,23,23,49,52,28,21,60,55,53,51,19,43,68,11,28,73,35,46,4,30,34,51,24,36,14,39,45,31,24,13,52,50,8,46,29,42,56,52,45,36,63,42,8,32,23,27,15,21,32,28,36
v5,28,34,9,46,0,39,3,14,17,18,40,7,54,11,4,35,40,28,28,63,33,43,21,23,49,11,31,45,8,13,27,13,18,42,21,18,51,9,40,20,23,19,25,31,23,22,20,17,29,39,23,7,6,26,31,18,11,15,13,31,15,22,37,22,27,11,36,46,22,18,19,22,32,46,23,35,29,22,53,24,18,50,4,37,32,10,16,31,40,17,10,38,14,23,33,39,27,34,38,12
v6,11,17,42,19,39,0,40,29,52,27,13,46,15,28,37,6,49,17,47,24,14,4,24,62,22,50,40,36,31,34,18,44,57,21,52,21,42,30,7,19,32,28,26,20,36,31,19,56,38,4,16,42,45,13,40,53,48,46,44,8,36,61,30,17,66,28,27,23,31,27,44,21,17,7,32,26,38,17,14,45,43,11,39,46,35,49,45,40,17,56,35,21,25,16,42,4,12,43,47,29
v7,29,35,6,47,3,40,0,17,14,15,41,6,55,12,7,36,43,29,25,64,34,44,18,22,50,10,34,42,9,16,28,16,17,43,18,19,48,10,41,21,26,22,22,32,20,25,21,16,32,40,24,10,5,27,34,21,14,12,10,32,18,21,38,23,26,12,33,47,25,21,16,23,33,47,26,32,32,23,54,21,15,51,1,40,29,9,19,34,41,16,13,39,15,24,36,40,28,37,41,15
v8,28,40,23,36,14,29,17,0,31,32,36,17,44,7,10,29,26,18,42,53,37,33,35,33,39,21,17,59,12,5,17,15,28,32,35,8,65,15,30,12,9,7,39,43,37,8,10,27,15,29,27,13,16,32,17,24,19,29,27,23,7,32,27,32,37,19,50,36,8,4,33,12,40,36,9,49,15,14,43,38,32,40,18,23,46,20,16,17,40,27,6,28,4,15,19,29,25,20,24,2
v9,41,47,10,59,17,52,14,31,0,25,53,14,67,24,21,48,57,41,11,76,46,56,28,10,62,10,48,28,21,30,40,30,5,55,4,31,34,22,53,33,40,36,26,44,16,39,33,10,46,52,36,24,17,39,48,35,28,6,8,44,32,9,50,35,14,24,31,59,39,35,8,35,45,59,40,30,46,35,66,7,9,63,13,54,17,15,33,48,53,16,27,51,29,36,50,52,40,51,55,29
v10,16,22,15,34,18,27,15,32,25,0,28,19,42,25,22,23,58,26,20,51,21,31,3,35,37,23,49,27,20,31,27,31,30,30,25,24,33,17,28,20,41,37,7,19,9,40,22,29,47,27,11,25,18,14,49,36,29,19,17,19,33,34,39,10,39,13,18,34,40,36,17,30,20,34,41,17,47,18,41,18,16,38,14,55,14,22,34,49,28,29,28,30,30,17,51,27,15,52,56,30
v11,12,6,43,32,40,13,41,36,53,28,0,47,20,29,38,7,62,30,48,23,7,9,25,63,35,51,53,29,32,35,31,45,58,34,53,28,29,31,20,24,45,41,27,9,37,44,26,57,51,9,17,43,46,14,53,54,49,47,45,13,37,62,43,18,67,29,22,36,44,40,45,34,8,18,45,23,51,22,19,46,44,24,40,59,36,50,46,53,4,57,36,34,34,21,55,17,13,56,60,34
v12,35,41,6,53,7,46,6,17,14,19,47,0,61,18,9,42,43,35,25,70,40,50,22,16,56,4,34,42,15,16,34,16,11,49,18,25,48,16,47,27,26,24,22,38,20,25,27,10,32,46,30,10,3,33,34,21,14,12,10,38,18,15,44,29,20,18,33,53,25,21,16,29,39,53,26,32,32,29,60,21,15,57,7,40,29,3,19,34,47,10,13,45,21,30,36,46,34,37,41,17
v13,26,24,57,12,54,15,55,44,67,42,20,61,0,43,52,19,42,26,62,9,21,11,39,77,15,65,35,43,46,49,27,59,72,14,67,36,49,45,14,34,41,37,41,27,51,40,34,71,51,15,31,57,60,28,33,68,63,61,59,23,51,76,23,32,81,43,36,16,38,42,59,32,24,8,47,37,39,32,1,60,58,4,54,39,50,64,60,53,24,71,50,16,40,31,35,15,27,40,40,44
v14,21,33,16,35,11,28,12,7,24,25,29,18,43,0,9,24,33,17,35,52,30,32,28,34,38,22,24,52,5,6,16,16,29,31,28,7,58,8,29,9,16,12,32,36,30,15,9,28,22,28,20,14,17,25,24,25,20,22,20,20,8,33,26,25,38,12,43,35,15,11,26,11,33,35,16,42,22,11,42,31,25,39,11,30,39,21,17,24,33,28,7,27,5,12,26,28,18,27,31,5
v15,26,32,13,44,4,37,7,10,21,22,38,9,52,9,0,33,36,26,32,61,31,41,25,25,47,13,27,49,6,9,25,9,20,40,25,16,55,7,38,18,19,15,29,33,27,18,18,19,25,37,21,5,8,24,27,16,11,19,17,29,11,24,35,22,29,9,40,44,18,14,23,20,30,44,19,39,25,20,51,28,22,48,8,33,36,12,12,27,38,19,6,36,12,21,29,37,25,30,34,8
