,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100
v1,0,28,36,11,10,45,20,37,45,16,20,16,7,30,24,18,33,12,45,28,43,39,23,41,27,23,37,29,39,29,23,19,18,20,16,23,25,30,33,41,28,33,12,21,8,10,31,37,17,33,23,28,17,35,5,10,34,8,24,23,11,17,42,21,16,44,37,46,18,23,37,50,47,40,37,1,26,20,11,48,26,27,58,30,14,49,15,37,28,26,24,23,17,29,26,23,38,20,4,37
v2,28,0,34,37,38,33,42,59,67,12,48,32,35,22,46,16,15,40,23,2,65,13,7,63,55,7,23,51,29,57,51,37,20,34,28,45,3,26,35,29,50,21,30,43,30,28,33,59,15,55,25,10,15,57,33,36,16,30,18,15,33,45,32,49,24,40,21,68,40,51,9,40,69,22,33,27,14,42,39,70,48,43,30,52,36,33,25,35,46,22,46,45,11,51,30,45,60,36,32,19
v3,36,34,0,45,46,9,44,25,33,22,56,20,43,42,18,18,19,48,11,36,31,21,35,29,63,27,11,31,5,65,59,45,30,16,20,27,33,42,3,5,42,45,38,19,28,26,5,35,29,23,13,40,19,23,41,44,46,38,16,19,29,53,6,57,32,8,13,34,34,59,27,14,35,12,1,35,38,40,47,36,44,9,22,18,34,13,33,1,12,38,14,21,25,37,38,23,32,44,40,15
v4,11,37,45,0,1,54,31,48,56,25,17,25,6,19,35,27,42,23,54,37,54,48,30,52,18,32,46,40,48,20,14,8,17,29,25,34,34,19,42,50,39,22,7,32,19,19,40,48,22,44,32,27,26,46,6,1,23,7,33,32,22,8,51,26,13,53,46,57,29,22,46,59,58,49,46,12,23,31,8,59,37,36,67,41,25,58,12,46,37,15,35,34,26,40,15,34,49,9,7,46
v5,10,38,46,1,0,55,30,47,55,26,16,26,5,20,34,28,43,22,55,38,53,49,31,51,17,33,47,39,49,19,13,9,18,30,26,33,35,20,43,51,38,23,8,31,18,20,41,47,23,43,33,28,27,45,5,2,24,8,34,33,21,7,52,25,14,54,47,56,28,21,47,60,57,50,47,11,24,30,7,58,36,37,68,40,24,59,13,47,38,16,34,33,27,39,16,33,48,10,6,47
v6,45,33,9,54,55,0,53,26,34,29,65,29,52,41,27,27,18,57,10,35,32,20,34,34,72,26,10,40,6,74,68,54,37,25,29,36,32,43,12,4,51,44,47,28,37,35,14,44,32,32,22,39,28,24,50,53,45,47,21,22,38,62,3,66,41,7,12,35,43,68,26,7,36,11,8,44,37,49,56,37,53,18,13,19,43,4,42,8,17,39,23,30,28,46,47,32,41,53,49,14
v7,20,42,44,31,30,53,0,35,27,30,14,24,25,50,26,26,41,8,53,44,31,47,43,21,19,35,45,13,47,21,23,39,38,28,24,17,41,50,41,49,8,53,32,25,16,18,39,17,37,21,31,48,27,37,25,30,54,28,32,31,15,29,50,13,36,52,45,26,10,15,45,58,27,48,45,19,46,4,23,28,6,35,66,38,10,57,35,45,36,46,30,23,33,9,46,21,18,40,24,45
v8,37,59,25,48,47,26,35,0,8,47,47,27,42,67,13,43,44,39,36,61,6,46,60,16,54,52,36,22,30,56,50,56,55,25,31,18,58,67,24,30,33,70,49,16,29,31,26,26,54,14,34,65,44,2,42,47,71,45,41,44,26,46,27,48,53,19,38,15,25,50,52,23,18,37,26,36,63,31,40,15,35,16,31,7,25,26,52,24,13,63,13,14,50,28,63,14,23,57,41,40
v9,45,67,33,56,55,34,27,8,0,55,39,35,50,75,21,51,52,33,44,69,4,54,68,8,46,60,44,16,38,48,48,64,63,33,39,22,66,75,32,38,25,78,57,24,37,39,34,18,62,12,42,73,52,10,50,55,79,53,49,52,34,54,35,40,61,27,46,7,27,42,60,31,10,45,34,44,71,25,48,7,27,24,39,15,31,34,60,32,21,71,21,22,58,20,71,22,15,65,49,48
v10,16,12,22,25,26,29,30,47,55,0,36,20,23,20,34,4,17,28,29,14,53,23,13,51,43,7,21,39,23,45,39,25,8,22,16,33,11,20,23,25,38,23,18,31,18,16,21,47,7,43,13,18,3,45,21,24,24,18,8,7,21,33,26,37,12,28,21,56,28,39,21,34,57,24,21,15,16,30,27,58,36,31,42,40,24,33,13,23,34,16,34,33,3,39,18,33,48,24,20,21
