,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,6,49,34,50,16,39,47,56,42,33,64,17,45,52,43,18,36,31,22
v2,6,0,43,36,52,18,41,41,58,44,35,66,15,39,46,45,22,30,33,24
v3,49,43,0,63,65,61,18,2,27,73,68,49,46,4,3,14,65,17,58,47
v4,34,36,63,0,16,18,45,61,36,10,5,30,51,59,66,49,16,50,5,16
v5,50,52,65,16,0,34,47,63,38,8,17,16,67,61,68,51,32,52,19,28
v6,16,18,61,18,34,0,43,59,40,26,17,48,33,57,64,47,4,48,15,14
v7,39,41,18,45,47,43,0,16,17,55,50,31,56,14,21,4,47,27,40,29
v8,47,41,2,61,63,59,16,0,25,71,66,47,48,2,5,12,63,19,56,45
v9,56,58,27,36,38,40,17,25,0,46,41,22,73,27,30,13,38,44,31,34
v10,42,44,73,10,8,26,55,71,46,0,9,24,59,69,76,59,24,60,15,26
v11,33,35,68,5,17,17,50,66,41,9,0,31,50,64,71,54,15,55,10,21
v12,64,66,49,30,16,48,31,47,22,24,31,0,81,45,52,35,46,52,33,42
v13,17,15,46,51,67,33,56,48,73,59,50,81,0,46,47,60,35,29,48,39
v14,45,39,4,59,61,57,14,2,27,69,64,45,46,0,7,14,61,17,54,43
v15,52,46,3,66,68,64,21,5,30,76,71,52,47,7,0,17,68,18,61,50
v16,43,45,14,49,51,47,4,12,13,59,54,35,60,14,17,0,51,31,44,33
v17,18,22,65,16,32,4,47,63,38,24,15,46,35,61,68,51,0,52,13,18
v18,36,30,17,50,52,48,27,19,44,60,55,52,29,17,18,31,52,0,45,34
v19,31,33,58,5,19,15,40,56,31,15,10,33,48,54,61,44,13,45,0,11
v20,22,24,47,16,28,14,29,45,34,26,21,42,39,43,50,33,18,34,11,0
