,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,30,40,37,7,43,29,41,17,27,29,35,24,34,42,14,40,40,4,17
v2,30,0,14,7,25,43,29,71,45,57,3,35,16,22,12,24,16,40,34,47
v3,40,14,0,11,35,37,43,81,55,67,17,35,16,8,8,34,2,42,44,57
v4,37,7,11,0,32,40,34,78,52,64,8,32,13,19,5,31,13,39,41,54
v5,7,25,35,32,0,36,36,46,20,32,24,28,19,29,37,7,35,33,11,22
v6,43,43,37,40,36,0,72,44,26,58,46,8,27,31,39,29,37,5,47,56
v7,29,29,43,34,36,72,0,44,46,30,26,64,45,51,39,43,45,69,25,20
v8,41,71,81,78,46,44,44,0,26,28,70,46,65,75,83,47,81,39,37,26
v9,17,45,55,52,20,26,46,26,0,32,44,20,39,49,57,21,55,23,21,30
v10,27,57,67,64,32,58,30,28,32,0,56,50,51,61,69,33,67,55,23,10
v11,29,3,17,8,24,46,26,70,44,56,0,38,19,25,13,23,19,43,33,46
v12,35,35,35,32,28,8,64,46,20,50,38,0,19,29,37,21,35,7,39,48
v13,24,16,16,13,19,27,45,65,39,51,19,19,0,10,18,18,16,26,28,41
v14,34,22,8,19,29,31,51,75,49,61,25,29,10,0,16,28,6,36,38,51
v15,42,12,8,5,37,39,39,83,57,69,13,37,18,16,0,36,10,44,46,59
v16,14,24,34,31,7,29,43,47,21,33,23,21,18,28,36,0,34,26,18,27
v17,40,16,2,13,35,37,45,81,55,67,19,35,16,6,10,34,0,42,44,57
v18,40,40,42,39,33,5,69,39,23,55,43,7,26,36,44,26,42,0,44,53
v19,4,34,44,41,11,47,25,37,21,23,33,39,28,38,46,18,44,44,0,13
v20,17,47,57,54,22,56,20,26,30,10,46,48,41,51,59,27,57,53,13,0
