,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,24,15,20,10,37,41,30,22,38,44,39,23,52,19,28,25,58,49,38
v2,24,0,9,24,22,13,17,6,8,42,24,35,1,28,5,10,17,34,25,28
v3,15,9,0,27,13,22,26,15,11,45,29,32,8,37,4,13,14,43,34,25
v4,20,24,27,0,30,25,37,24,16,18,28,59,25,36,23,14,41,42,33,52
v5,10,22,13,30,0,35,39,28,20,48,42,35,21,50,17,26,23,56,47,36
v6,37,13,22,25,35,0,12,7,15,43,25,34,14,25,18,11,16,27,12,27
v7,41,17,26,37,39,12,0,13,21,55,37,22,18,37,22,23,16,39,14,15
v8,30,6,15,24,28,7,13,0,8,42,24,35,7,24,11,10,17,28,19,28
v9,22,8,11,16,20,15,21,8,0,34,22,43,9,30,7,6,25,36,27,36
v10,38,42,45,18,48,43,55,42,34,0,18,77,43,18,41,32,59,24,41,70
v11,44,24,29,28,42,25,37,24,22,18,0,59,25,8,25,16,41,14,23,52
v12,39,35,32,59,35,34,22,35,43,77,59,0,34,59,36,45,18,61,36,7
v13,23,1,8,25,21,14,18,7,9,43,25,34,0,29,4,11,16,35,26,27
v14,52,28,37,36,50,25,37,24,30,18,8,59,29,0,33,24,41,6,23,52
v15,19,5,4,23,17,18,22,11,7,41,25,36,4,33,0,9,18,39,30,29
v16,28,10,13,14,26,11,23,10,6,32,16,45,11,24,9,0,27,30,21,38
v17,25,17,14,41,23,16,16,17,25,59,41,18,16,41,18,27,0,43,24,13
v18,58,34,43,42,56,27,39,28,36,24,14,61,35,6,39,30,43,0,25,54
v19,49,25,34,33,47,12,14,19,27,41,23,36,26,23,30,21,24,25,0,29
v20,38,28,25,52,36,27,15,28,36,70,52,7,27,52,29,38,13,54,29,0
