,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,62,37,22,11,42,18,19,23,31,43,10,33,32,19,41,30,27,29,40
v2,62,0,25,66,67,20,44,81,71,51,19,62,29,94,43,43,54,53,33,22
v3,37,25,0,41,42,19,19,56,46,30,16,37,4,69,18,40,29,28,28,15
v4,22,66,41,0,11,46,22,23,5,15,47,32,37,28,33,23,12,49,49,44
v5,11,67,42,11,0,47,23,14,12,20,48,21,38,27,24,30,19,38,38,45
v6,42,20,19,46,47,0,24,61,51,49,3,42,23,74,23,59,48,33,13,4
v7,18,44,19,22,23,24,0,37,27,29,25,18,15,50,13,39,28,29,29,22
v8,19,81,56,23,14,61,37,0,24,32,62,19,52,13,38,42,31,28,48,59
v9,23,71,46,5,12,51,27,24,0,20,52,33,42,23,34,28,17,50,50,49
v10,31,51,30,15,20,49,29,32,20,0,46,41,26,43,42,10,3,58,58,45
v11,43,19,16,47,48,3,25,62,52,46,0,43,20,75,24,56,45,34,14,3
v12,10,62,37,32,21,42,18,19,33,41,43,0,33,32,19,51,40,17,29,40
v13,33,29,4,37,38,23,15,52,42,26,20,33,0,65,16,36,25,32,32,19
v14,32,94,69,28,27,74,50,13,23,43,75,32,65,0,51,51,40,41,61,72
v15,19,43,18,33,24,23,13,38,34,42,24,19,16,51,0,52,41,16,16,21
v16,41,43,40,23,30,59,39,42,28,10,56,51,36,51,52,0,11,68,68,55
v17,30,54,29,12,19,48,28,31,17,3,45,40,25,40,41,11,0,57,57,44
v18,27,53,28,49,38,33,29,28,50,58,34,17,32,41,16,68,57,0,20,31
v19,29,33,28,49,38,13,29,48,50,58,14,29,32,61,16,68,57,20,0,13
v20,40,22,15,44,45,4,22,59,49,45,3,40,19,72,21,55,44,31,13,0
