,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,30,50,72,43,20,67,50,16,35,57,41,47,16,17,10,44,31,9,26
v2,30,0,24,42,27,36,37,20,20,5,27,25,17,34,27,40,14,29,25,8
v3,50,24,0,22,51,34,35,4,40,27,23,49,21,54,33,60,18,49,45,24
v4,72,42,22,0,57,56,15,22,62,37,15,33,25,76,55,82,28,71,67,46
v5,43,27,51,57,0,63,52,47,27,24,42,24,32,27,54,33,33,14,52,35
v6,20,36,34,56,63,0,51,34,36,39,41,61,33,36,9,30,30,51,11,28
v7,67,37,35,15,52,51,0,31,57,32,12,28,20,71,50,77,23,66,62,41
v8,50,20,4,22,47,34,31,0,40,23,19,45,17,54,33,60,14,49,45,24
v9,16,20,40,62,27,36,57,40,0,25,47,29,37,14,27,20,34,15,25,16
v10,35,5,27,37,24,39,32,23,25,0,22,22,12,39,30,45,9,34,30,11
v11,57,27,23,15,42,41,12,19,47,22,0,26,10,61,40,67,13,56,52,31
v12,41,25,49,33,24,61,28,45,29,22,26,0,28,43,52,49,31,38,50,33
v13,47,17,21,25,32,33,20,17,37,12,10,28,0,51,30,57,3,46,42,21
v14,16,34,54,76,27,36,71,54,14,39,61,43,51,0,27,6,48,15,25,30
v15,17,27,33,55,54,9,50,33,27,30,40,52,30,27,0,27,27,42,12,19
v16,10,40,60,82,33,30,77,60,20,45,67,49,57,6,27,0,54,21,19,36
v17,44,14,18,28,33,30,23,14,34,9,13,31,3,48,27,54,0,43,39,18
v18,31,29,49,71,14,51,66,49,15,34,56,38,46,15,42,21,43,0,40,25
v19,9,25,45,67,52,11,62,45,25,30,52,50,42,25,12,19,39,40,0,21
v20,26,8,24,46,35,28,41,24,16,11,31,33,21,30,19,36,18,25,21,0
