,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,10,55,47,50,20,62,46,27,37,37,23,17,32,39,15,6,33,10,57
v2,10,0,59,51,54,24,66,50,31,47,41,33,27,36,31,25,4,43,14,61
v3,55,59,0,30,13,35,23,21,40,24,18,38,44,23,56,46,57,30,45,14
v4,47,51,30,0,17,27,15,9,20,50,32,36,36,15,26,38,49,46,37,16
v5,50,54,13,17,0,30,12,8,27,33,15,33,39,18,43,41,52,29,40,7
v6,20,24,35,27,30,0,42,26,9,51,33,37,31,12,25,29,22,47,10,37
v7,62,66,23,15,12,42,0,16,35,43,25,45,51,30,35,53,64,39,52,9
v8,46,50,21,9,8,26,16,0,19,41,23,29,35,14,35,37,48,37,36,11
v9,27,31,40,20,27,9,35,19,0,60,42,46,40,21,16,38,29,56,17,30
v10,37,47,24,50,33,51,43,41,60,0,18,14,20,39,76,22,43,6,45,34
v11,37,41,18,32,15,33,25,23,42,18,0,20,26,21,58,28,39,14,27,20
v12,23,33,38,36,33,37,45,29,46,14,20,0,6,25,62,8,29,10,31,40
v13,17,27,44,36,39,31,51,35,40,20,26,6,0,21,56,2,23,16,25,46
v14,32,36,23,15,18,12,30,14,21,39,21,25,21,0,37,23,34,35,22,25
v15,39,31,56,26,43,25,35,35,16,76,58,62,56,37,0,54,33,72,31,42
v16,15,25,46,38,41,29,53,37,38,22,28,8,2,23,54,0,21,18,23,48
v17,6,4,57,49,52,22,64,48,29,43,39,29,23,34,33,21,0,39,12,59
v18,33,43,30,46,29,47,39,37,56,6,14,10,16,35,72,18,39,0,41,32
v19,10,14,45,37,40,10,52,36,17,45,27,31,25,22,31,23,12,41,0,47
v20,57,61,14,16,7,37,9,11,30,34,20,40,46,25,42,48,59,32,47,0
