,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
v1,0,52,21,22,53,34,8,30,7,30,11,36,18,49,28,10,46,17,24,46
v2,52,0,31,46,25,30,58,34,59,22,41,46,66,7,30,42,42,51,28,42
v3,21,31,0,37,44,49,27,15,28,13,20,51,35,28,11,17,61,32,9,61
v4,22,46,37,0,47,16,30,52,15,24,17,14,20,43,48,20,24,5,28,24
v5,53,25,44,47,0,31,59,59,60,31,42,47,67,18,55,43,41,52,35,23
v6,34,30,49,16,31,0,42,64,29,36,29,16,36,27,60,32,12,21,40,12
v7,8,58,27,30,59,42,0,24,15,36,17,44,26,55,34,16,54,25,30,54
v8,30,34,15,52,59,64,24,0,37,28,35,66,48,41,10,32,76,47,24,76
v9,7,59,28,15,60,29,15,37,0,37,18,29,11,56,35,17,39,10,31,39
v10,30,22,13,24,31,36,36,28,37,0,19,38,44,19,24,20,48,29,6,48
v11,11,41,20,17,42,29,17,35,18,19,0,31,25,38,31,3,41,12,13,41
v12,36,46,51,14,47,16,44,66,29,38,31,0,20,43,62,34,10,19,42,24
v13,18,66,35,20,67,36,26,48,11,44,25,20,0,63,44,24,28,15,38,44
v14,49,7,28,43,18,27,55,41,56,19,38,43,63,0,37,39,37,48,25,35
v15,28,30,11,48,55,60,34,10,35,24,31,62,44,37,0,28,72,43,20,72
v16,10,42,17,20,43,32,16,32,17,20,3,34,24,39,28,0,44,15,14,44
v17,46,42,61,24,41,12,54,76,39,48,41,10,28,37,72,44,0,29,52,18
v18,17,51,32,5,52,21,25,47,10,29,12,19,15,48,43,15,29,0,23,29
v19,24,28,9,28,35,40,30,24,31,6,13,42,38,25,20,14,52,23,0,52
v20,46,42,61,24,23,12,54,76,39,48,41,24,44,35,72,44,18,29,52,0
